Precinct,Ballot Style,source_file,rank1,rank2,rank3,Num cands,Num seats
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,Juan D. Ardila,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,Juan D. Ardila,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Juan D. Ardila,skipped,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Juan D. Ardila,Robert F. Holden,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Juan D. Ardila,skipped,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Juan D. Ardila,Robert F. Holden,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,Juan D. Ardila,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,Juan D. Ardila,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Juan D. Ardila,Robert F. Holden,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,Juan D. Ardila,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Juan D. Ardila,Robert F. Holden,skipped,3,1
AD: 28 ED: 017,DEM ABS Ballot Style 40,2021P4V1_ABS_DEM,Robert F. Holden,Juan D. Ardila,skipped,3,1
AD: 28 ED: 074,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Juan D. Ardila,skipped,skipped,3,1
AD: 28 ED: 074,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,Juan D. Ardila,skipped,3,1
AD: 28 ED: 074,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 074,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 074,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 074,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 075,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 075,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 075,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Juan D. Ardila,skipped,skipped,3,1
AD: 28 ED: 075,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 075,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,Juan D. Ardila,skipped,3,1
AD: 28 ED: 075,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 075,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 075,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
AD: 28 ED: 075,DEM ABS Ballot Style 42,2021P4V1_ABS_DEM,Robert F. Holden,skipped,skipped,3,1
