Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
AD: 86 ED: 064,,2021P2V1_ABS,Oswald Feliz,Latchmi Devi Gopal,Ischia J. Bravo,Bernadette Ferrara,Lillithe Lozano,9,1
AD: 86 ED: 064,,2021P2V1_ABS,Oswald Feliz,Latchmi Devi Gopal,Troy Blackwell,John E. Sanchez,Bernadette Ferrara,9,1
AD: 86 ED: 064,,2021P2V1_ABS,Bernadette Ferrara,Oswald Feliz,Ischia J. Bravo,Lillithe Lozano,Latchmi Devi Gopal,9,1
AD: 86 ED: 064,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 86 ED: 064,,2021P2V1_ABS,Oswald Feliz,Bernadette Ferrara,John E. Sanchez,Ischia J. Bravo,Troy Blackwell,9,1
AD: 86 ED: 064,,2021P2V1_ABS,Oswald Feliz,Troy Blackwell,Ischia J. Bravo,skipped,skipped,9,1
AD: 86 ED: 064,,2021P2V1_ABS,Oswald Feliz,John E. Sanchez,Troy Blackwell,Kenny G. Agosto,Ischia J. Bravo,9,1
AD: 86 ED: 064,,2021P2V1_ABS,Ischia J. Bravo,Lillithe Lozano,Latchmi Devi Gopal,Kenny G. Agosto,John E. Sanchez,9,1
AD: 86 ED: 064,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 86 ED: 064,,2021P2V1_ABS,writein,skipped,skipped,skipped,skipped,9,1
AD: 86 ED: 064,,2021P2V1_ABS,John E. Sanchez,Oswald Feliz,Bernadette Ferrara,Lillithe Lozano,Kenny G. Agosto,9,1
AD: 86 ED: 070,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 86 ED: 070,,2021P2V1_ABS,Lillithe Lozano,Kenny G. Agosto,Oswald Feliz,Ischia J. Bravo,Bernadette Ferrara,9,1
AD: 86 ED: 070,,2021P2V1_ABS,Ischia J. Bravo,Oswald Feliz,Troy Blackwell,Lillithe Lozano,John E. Sanchez,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Bernadette Ferrara,John E. Sanchez,Lillithe Lozano,Latchmi Devi Gopal,Oswald Feliz,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Bernadette Ferrara,Troy Blackwell,Ischia J. Bravo,Lillithe Lozano,Oswald Feliz,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Bernadette Ferrara,Oswald Feliz,Ischia J. Bravo,Troy Blackwell,Lillithe Lozano,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Ischia J. Bravo,Oswald Feliz,John E. Sanchez,Lillithe Lozano,Latchmi Devi Gopal,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 86 ED: 052,,2021P2V1_ABS,John E. Sanchez,Troy Blackwell,Kenny G. Agosto,skipped,skipped,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Ischia J. Bravo,skipped,skipped,skipped,skipped,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Oswald Feliz,Ischia J. Bravo,John E. Sanchez,Bernadette Ferrara,Kenny G. Agosto,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Ischia J. Bravo,Oswald Feliz,John E. Sanchez,Bernadette Ferrara,Kenny G. Agosto,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Lillithe Lozano,skipped,skipped,skipped,skipped,9,1
AD: 86 ED: 052,,2021P2V1_ABS,Oswald Feliz,Ischia J. Bravo,Lillithe Lozano,Bernadette Ferrara,John E. Sanchez,9,1
AD: 79 ED: 001,,2021P2V1_ABS,Ischia J. Bravo,skipped,skipped,skipped,skipped,9,1
AD: 79 ED: 001,,2021P2V1_ABS,Troy Blackwell,Ischia J. Bravo,Bernadette Ferrara,Lillithe Lozano,John E. Sanchez,9,1
AD: 79 ED: 001,,2021P2V1_ABS,Ischia J. Bravo,Oswald Feliz,skipped,skipped,skipped,9,1
AD: 79 ED: 001,,2021P2V1_ABS,Troy Blackwell,Latchmi Devi Gopal,Bernadette Ferrara,skipped,skipped,9,1
AD: 79 ED: 001,,2021P2V1_ABS,Ischia J. Bravo,Troy Blackwell,skipped,skipped,skipped,9,1
AD: 79 ED: 001,,2021P2V1_ABS,Bernadette Ferrara,John E. Sanchez,Oswald Feliz,Kenny G. Agosto,Lillithe Lozano,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Kenny G. Agosto,Troy Blackwell,Oswald Feliz,Bernadette Ferrara,Latchmi Devi Gopal,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Kenny G. Agosto,John E. Sanchez,Bernadette Ferrara,Oswald Feliz,Troy Blackwell,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Oswald Feliz,Ischia J. Bravo,Lillithe Lozano,Bernadette Ferrara,Latchmi Devi Gopal,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Oswald Feliz,Bernadette Ferrara,Ischia J. Bravo,Lillithe Lozano,skipped,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Bernadette Ferrara,skipped,skipped,skipped,skipped,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Oswald Feliz,Latchmi Devi Gopal,John E. Sanchez,skipped,skipped,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Bernadette Ferrara,skipped,skipped,skipped,skipped,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Bernadette Ferrara,Oswald Feliz,John E. Sanchez,Kenny G. Agosto,Ischia J. Bravo,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Bernadette Ferrara,skipped,skipped,skipped,skipped,9,1
AD: 87 ED: 020,,2021P2V1_ABS,Oswald Feliz,Ischia J. Bravo,Bernadette Ferrara,Lillithe Lozano,Latchmi Devi Gopal,9,1
AD: 79 ED: 087,,2021P2V1_ABS,Oswald Feliz,Bernadette Ferrara,Troy Blackwell,John E. Sanchez,Ischia J. Bravo,9,1
AD: 79 ED: 087,,2021P2V1_ABS,Troy Blackwell,Oswald Feliz,Bernadette Ferrara,Kenny G. Agosto,Ischia J. Bravo,9,1
AD: 86 ED: 046,,2021P2V1_ABS,Oswald Feliz,Ischia J. Bravo,skipped,skipped,skipped,9,1
AD: 86 ED: 046,,2021P2V1_ABS,Troy Blackwell,John E. Sanchez,Kenny G. Agosto,Oswald Feliz,Bernadette Ferrara,9,1
AD: 86 ED: 046,,2021P2V1_ABS,John E. Sanchez,Oswald Feliz,Ischia J. Bravo,skipped,skipped,9,1
AD: 86 ED: 046,,2021P2V1_ABS,Troy Blackwell,Oswald Feliz,John E. Sanchez,skipped,skipped,9,1
AD: 86 ED: 046,,2021P2V1_ABS,Oswald Feliz,Ischia J. Bravo,skipped,skipped,skipped,9,1
AD: 86 ED: 046,,2021P2V1_ABS,Bernadette Ferrara,Troy Blackwell,John E. Sanchez,Oswald Feliz,Latchmi Devi Gopal,9,1
AD: 86 ED: 046,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Bernadette Ferrara,skipped,skipped,skipped,skipped,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Oswald Feliz,John E. Sanchez,Latchmi Devi Gopal,Bernadette Ferrara,Troy Blackwell,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Oswald Feliz,Bernadette Ferrara,Troy Blackwell,John E. Sanchez,Kenny G. Agosto,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Oswald Feliz,Bernadette Ferrara,Ischia J. Bravo,John E. Sanchez,Troy Blackwell,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Ischia J. Bravo,Kenny G. Agosto,John E. Sanchez,Oswald Feliz,Bernadette Ferrara,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Bernadette Ferrara,Lillithe Lozano,John E. Sanchez,Troy Blackwell,Latchmi Devi Gopal,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Bernadette Ferrara,Troy Blackwell,Kenny G. Agosto,Ischia J. Bravo,Oswald Feliz,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Bernadette Ferrara,Troy Blackwell,Oswald Feliz,Ischia J. Bravo,Lillithe Lozano,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Ischia J. Bravo,Latchmi Devi Gopal,Oswald Feliz,skipped,skipped,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Kenny G. Agosto,skipped,skipped,skipped,skipped,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Bernadette Ferrara,Lillithe Lozano,Kenny G. Agosto,John E. Sanchez,Troy Blackwell,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Oswald Feliz,Troy Blackwell,Kenny G. Agosto,John E. Sanchez,Bernadette Ferrara,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 80 ED: 048,,2021P2V1_ABS,Bernadette Ferrara,Lillithe Lozano,skipped,skipped,skipped,9,1
AD: 80 ED: 053,,2021P2V1_ABS,Bernadette Ferrara,John E. Sanchez,Kenny G. Agosto,Ischia J. Bravo,Latchmi Devi Gopal,9,1
AD: 80 ED: 053,,2021P2V1_ABS,Latchmi Devi Gopal,Troy Blackwell,skipped,skipped,skipped,9,1
AD: 80 ED: 053,,2021P2V1_ABS,Bernadette Ferrara,Troy Blackwell,Oswald Feliz,skipped,skipped,9,1
AD: 80 ED: 053,,2021P2V1_ABS,Bernadette Ferrara,Kenny G. Agosto,Lillithe Lozano,skipped,skipped,9,1
AD: 80 ED: 053,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
AD: 80 ED: 053,,2021P2V1_ABS,Oswald Feliz,skipped,skipped,skipped,skipped,9,1
