Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
AD: 64 ED: 052,DEM ELE Ballot Style 84,2021P5V1_ELE,Radhakrishna Mohan,Lorraine A. Honor,Brandon P. Stradford,Cesar A. Vargas,Mark S. Murphy,6,1
AD: 64 ED: 051,DEM ELE Ballot Style 83,2021P5V1_ELE,Radhakrishna Mohan,skipped,skipped,skipped,skipped,6,1
AD: 64 ED: 050,DEM ELE Ballot Style 82,2021P5V1_ELE,Mark S. Murphy,Cesar A. Vargas,skipped,skipped,skipped,6,1
AD: 64 ED: 047,DEM ELE Ballot Style 80,2021P5V1_ELE,Mark S. Murphy,Brandon P. Stradford,Lorraine A. Honor,Radhakrishna Mohan,Cesar A. Vargas,6,1
AD: 64 ED: 050,DEM ELE Ballot Style 82,2021P5V1_ELE,Brandon P. Stradford,Cesar A. Vargas,Radhakrishna Mohan,Lorraine A. Honor,Mark S. Murphy,6,1
AD: 64 ED: 047,DEM ELE Ballot Style 80,2021P5V1_ELE,Mark S. Murphy,Cesar A. Vargas,Lorraine A. Honor,Brandon P. Stradford,Radhakrishna Mohan,6,1
AD: 64 ED: 051,DEM ELE Ballot Style 83,2021P5V1_ELE,Cesar A. Vargas,Mark S. Murphy,Lorraine A. Honor,Brandon P. Stradford,Radhakrishna Mohan,6,1
AD: 64 ED: 047,DEM ELE Ballot Style 80,2021P5V1_ELE,Lorraine A. Honor,Radhakrishna Mohan,Mark S. Murphy,Brandon P. Stradford,skipped,6,1
AD: 64 ED: 061,DEM ELE Ballot Style 86,2021P5V1_ELE,Cesar A. Vargas,skipped,skipped,skipped,skipped,6,1
AD: 64 ED: 051,DEM ELE Ballot Style 83,2021P5V1_ELE,Mark S. Murphy,skipped,skipped,skipped,skipped,6,1
AD: 64 ED: 053,DEM ELE Ballot Style 85,2021P5V1_ELE,Lorraine A. Honor,skipped,skipped,skipped,skipped,6,1
AD: 64 ED: 053,DEM ELE Ballot Style 85,2021P5V1_ELE,Mark S. Murphy,Lorraine A. Honor,Brandon P. Stradford,Radhakrishna Mohan,Cesar A. Vargas,6,1
AD: 64 ED: 050,DEM ELE Ballot Style 82,2021P5V1_ELE,Mark S. Murphy,Lorraine A. Honor,Brandon P. Stradford,Cesar A. Vargas,Radhakrishna Mohan,6,1
AD: 64 ED: 050,DEM ELE Ballot Style 82,2021P5V1_ELE,Radhakrishna Mohan,Lorraine A. Honor,Brandon P. Stradford,Cesar A. Vargas,skipped,6,1
AD: 64 ED: 053,DEM ELE Ballot Style 85,2021P5V1_ELE,Mark S. Murphy,skipped,skipped,skipped,skipped,6,1
AD: 64 ED: 050,DEM ELE Ballot Style 82,2021P5V1_ELE,Mark S. Murphy,skipped,skipped,skipped,skipped,6,1
AD: 64 ED: 053,DEM ELE Ballot Style 85,2021P5V1_ELE,Mark S. Murphy,skipped,skipped,skipped,skipped,6,1
AD: 64 ED: 047,DEM ELE Ballot Style 80,2021P5V1_ELE,Mark S. Murphy,Cesar A. Vargas,Lorraine A. Honor,Brandon P. Stradford,Radhakrishna Mohan,6,1
AD: 64 ED: 052,DEM ELE Ballot Style 84,2021P5V1_ELE,Lorraine A. Honor,Mark S. Murphy,Cesar A. Vargas,Brandon P. Stradford,Radhakrishna Mohan,6,1
