Precinct,Ballot Style,source_file,rank1,rank2,rank3,Num cands,Num seats
AD: 26 ED: 002,CON ABS Ballot Style 1,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 017,CON ABS Ballot Style 1,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 050,CON ABS Ballot Style 1,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 064,CON ABS Ballot Style 1,2021P4V1_ABS_REP_CON,Dawn A. Anatra,John-Alexander Sakelos,skipped,3,1
AD: 26 ED: 058,CON ABS Ballot Style 1,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 063,CON ABS Ballot Style 1,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 067,CON ABS Ballot Style 1,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,skipped,skipped,3,1
AD: 27 ED: 063,CON ABS Ballot Style 2,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,skipped,skipped,3,1
AD: 40 ED: 002,CON ABS Ballot Style 2,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 40 ED: 017,CON ABS Ballot Style 2,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 055,CON ABS Ballot Style 1,2021P4V1_ABS_REP_CON,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 021,CON ELE Ballot Style 21,2021P4V1_AFF,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 022,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 26 ED: 019,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 023,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 027,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 023,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 066,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 082,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,skipped,3,1
AD: 27 ED: 059,,2021P4V1_ELE2,John-Alexander Sakelos,skipped,skipped,3,1
AD: 26 ED: 065,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,writein,3,1
AD: 26 ED: 067,,2021P4V1_ELE2,John-Alexander Sakelos,Dawn A. Anatra,writein,3,1
