Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,Num cands,Num seats
AD: 80 ED: 061,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 80 ED: 057,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 80 ED: 057,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 80 ED: 057,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 80 ED: 057,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 80 ED: 059,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 80 ED: 059,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 80 ED: 059,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 80 ED: 073,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 80 ED: 073,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 80 ED: 073,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 031,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,writein,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 084,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,writein,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 085,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,writein,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 101,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 83 ED: 071,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 071,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 067,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 067,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 067,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,writein,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,skipped,skipped,4,1
AD: 83 ED: 079,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 052,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
