Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,Num cands,Num seats
AD: 83 ED: 049,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,Shanequa Moore,writein,4,1
AD: 83 ED: 049,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 83 ED: 020,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,skipped,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,skipped,skipped,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,skipped,skipped,skipped,4,1
AD: 82 ED: 096,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 066,,2021P2V1_ABS,Shanequa Moore,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,4,1
AD: 82 ED: 066,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 066,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Kevin Riley,skipped,skipped,4,1
AD: 82 ED: 066,,2021P2V1_ABS,Shanequa Moore,skipped,skipped,skipped,4,1
AD: 82 ED: 066,,2021P2V1_ABS,Kevin Riley,Shanequa Moore,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 066,,2021P2V1_ABS,Kevin Riley,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,4,1
AD: 82 ED: 066,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,Kevin Riley,skipped,4,1
AD: 82 ED: 066,,2021P2V1_ABS,Shanequa Moore,Kevin Riley,Pamela A. Hamilton-Johnson,skipped,4,1
AD: 82 ED: 066,,2021P2V1_ABS,Pamela A. Hamilton-Johnson,Shanequa Moore,skipped,skipped,4,1
