Precinct,Ballot Style,source_file,rank1,rank2,rank3,Num cands,Num seats
AD: 23 ED: 047,REP AB2 Ballot Style 6,2021P4V1_ABS_REP_CON,217580,219566,skipped,3,1
AD: 27 ED: 022,REP AB2 Ballot Style 33,2021P4V1_ABS_REP_CON,writein,219566,217580,3,1
AD: 27 ED: 081,REP AB2 Ballot Style 40,2021P4V1_ABS_REP_CON,217580,219566,writein,3,1
AD: 28 ED: 029,REP AB2 Ballot Style 43,2021P4V1_ABS_REP_CON,219566,skipped,skipped,3,1
AD: 30 ED: 013,REP AB2 Ballot Style 58,2021P4V1_ABS_REP_CON,219566,skipped,skipped,3,1
AD: 30 ED: 014,REP AB2 Ballot Style 59,2021P4V1_ABS_REP_CON,217580,skipped,skipped,3,1
AD: 30 ED: 017,REP AB2 Ballot Style 58,2021P4V1_ABS_REP_CON,219566,217580,skipped,3,1
AD: 30 ED: 017,REP AB2 Ballot Style 58,2021P4V1_ABS_REP_CON,219566,skipped,skipped,3,1
AD: 30 ED: 018,REP AB2 Ballot Style 58,2021P4V1_ABS_REP_CON,219566,217580,skipped,3,1
AD: 23 ED: 013,REP AB2 Ballot Style 1,2021P4V1_ABS_REP_CON,219566,skipped,skipped,3,1
AD: 26 ED: 055,REP AB2 Ballot Style 26,2021P4V1_ABS_REP_CON,217580,219566,skipped,3,1
AD: 26 ED: 055,REP AB2 Ballot Style 26,2021P4V1_ABS_REP_CON,219566,217580,skipped,3,1
AD: 26 ED: 055,REP AB2 Ballot Style 26,2021P4V1_ABS_REP_CON,219566,217580,skipped,3,1
AD: 26 ED: 057,REP AB2 Ballot Style 26,2021P4V1_ABS_REP_CON,219566,217580,skipped,3,1
AD: 31 ED: 078,REP AB2 Ballot Style 57,2021P4V1_ABS_REP_CON,217580,219566,skipped,3,1
AD: 31 ED: 082,REP AB2 Ballot Style 57,2021P4V1_ABS_REP_CON,217580,219566,skipped,3,1
AD: 31 ED: 082,REP AB2 Ballot Style 57,2021P4V1_ABS_REP_CON,217580,skipped,skipped,3,1
AD: 23 ED: 062,REP AB2 Ballot Style 7,2021P4V1_ABS_REP_CON,writein,skipped,skipped,3,1
AD: 26 ED: 018,REP AB2 Ballot Style 26,2021P4V1_ABS_REP_CON,219566,217580,skipped,3,1
AD: 26 ED: 023,REP AB2 Ballot Style 26,2021P4V1_ABS_REP_CON,219566,skipped,skipped,3,1
AD: 30 ED: 065,REP AB2 Ballot Style 27,2021P4V1_ABS_REP_CON,217580,219566,skipped,3,1
AD: 23 ED: 037,REP AB2 Ballot Style 4,2021P4V1_ABS_REP_CON,217580,skipped,skipped,3,1
