Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
AD: 39 ED: 006,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,David Aiken,George Onuorah,Ingrid P. Gomez,Talea E. Wufka,6,1
AD: 39 ED: 006,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 006,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,David Aiken,Francisco P. Moya,George Onuorah,skipped,skipped,6,1
AD: 39 ED: 006,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 006,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,David Aiken,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 006,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,George Onuorah,David Aiken,Talea E. Wufka,skipped,6,1
AD: 39 ED: 006,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 006,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,David Aiken,Talea E. Wufka,Ingrid P. Gomez,George Onuorah,6,1
AD: 39 ED: 007,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,Ingrid P. Gomez,George Onuorah,David Aiken,Talea E. Wufka,6,1
AD: 39 ED: 007,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Talea E. Wufka,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 007,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Ingrid P. Gomez,Francisco P. Moya,George Onuorah,skipped,skipped,6,1
AD: 39 ED: 007,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Ingrid P. Gomez,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 007,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,Ingrid P. Gomez,George Onuorah,David Aiken,Talea E. Wufka,6,1
AD: 39 ED: 007,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,Ingrid P. Gomez,George Onuorah,David Aiken,Talea E. Wufka,6,1
AD: 39 ED: 007,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 007,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,Ingrid P. Gomez,David Aiken,George Onuorah,Talea E. Wufka,6,1
AD: 39 ED: 007,DEM ABS Ballot Style 36,2021P4V1_ABS_DEM,Francisco P. Moya,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 008,DEM ABS Ballot Style 71,2021P4V1_ABS_DEM,Francisco P. Moya,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 008,DEM ABS Ballot Style 71,2021P4V1_ABS_DEM,Francisco P. Moya,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 008,DEM ABS Ballot Style 71,2021P4V1_ABS_DEM,Ingrid P. Gomez,Francisco P. Moya,David Aiken,Talea E. Wufka,George Onuorah,6,1
AD: 39 ED: 009,DEM ABS Ballot Style 71,2021P4V1_ABS_DEM,Ingrid P. Gomez,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 009,DEM ABS Ballot Style 71,2021P4V1_ABS_DEM,George Onuorah,Ingrid P. Gomez,Francisco P. Moya,Talea E. Wufka,David Aiken,6,1
AD: 39 ED: 009,DEM ABS Ballot Style 71,2021P4V1_ABS_DEM,David Aiken,Ingrid P. Gomez,Francisco P. Moya,Talea E. Wufka,George Onuorah,6,1
AD: 39 ED: 009,DEM ABS Ballot Style 71,2021P4V1_ABS_DEM,Francisco P. Moya,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 009,DEM ABS Ballot Style 71,2021P4V1_ABS_DEM,Francisco P. Moya,skipped,skipped,skipped,skipped,6,1
AD: 39 ED: 009,DEM ABS Ballot Style 71,2021P4V1_ABS_DEM,Ingrid P. Gomez,Talea E. Wufka,skipped,skipped,skipped,6,1
