Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
AD: 53 ED: 017,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,Andy J. Marte,Lutchi Gayot,Scott Murphy,skipped,5,1
AD: 53 ED: 017,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,Lutchi Gayot,Andy J. Marte,Scott Murphy,skipped,5,1
AD: 53 ED: 017,DEM ABS Ballot Style 31,2021P3V1_ABS,Jennifer Gutierrez,Scott Murphy,skipped,skipped,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Lutchi Gayot,Andy J. Marte,Scott Murphy,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Scott Murphy,Lutchi Gayot,Jennifer Gutierrez,skipped,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Andy J. Marte,Lutchi Gayot,Jennifer Gutierrez,Scott Murphy,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Andy J. Marte,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Lutchi Gayot,Scott Murphy,Andy J. Marte,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Scott Murphy,Jennifer Gutierrez,Andy J. Marte,Lutchi Gayot,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Jennifer Gutierrez,Andy J. Marte,Lutchi Gayot,Scott Murphy,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Andy J. Marte,Lutchi Gayot,Jennifer Gutierrez,Scott Murphy,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Andy J. Marte,Jennifer Gutierrez,Scott Murphy,Lutchi Gayot,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Andy J. Marte,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Andy J. Marte,skipped,skipped,skipped,skipped,5,1
AD: 53 ED: 025,DEM ABS Ballot Style 32,2021P3V1_ABS,Scott Murphy,Jennifer Gutierrez,Andy J. Marte,skipped,skipped,5,1
