rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
12,12,12,12,1,12,12,2,12,12,12,3,1.0,12.0
12,12,12,12,12,4,12,12,12,1,2,3,,
12,12,12,1,2,12,12,3,4,12,5,12,,
5,4,11,1,6,9,12,10,3,7,2,8,,
7,12,12,3,12,5,8,12,1,6,2,4,,
3,6,5,1,6,6,6,12,2,6,4,6,,
3,6,9,1,4,7,8,5,2,11,12,10,,
8,12,4,3,12,5,12,6,12,7,1,2,,
2,12,12,1,12,12,12,12,12,2,3,12,,
2,6,4,1,5,12,12,12,3,12,12,12,,
8,12,12,1,12,5,4,2,6,7,12,3,,
3,12,4,1,2,12,12,12,12,12,12,12,,
3,7,10,12,10,10,4,7,2,5,7,1,,
12,12,12,12,12,12,12,12,12,10,12,1,,
1,12,5,2,12,6,8,12,3,12,4,7,,
4,12,12,1,6,12,7,8,5,12,12,2,,
4,10,12,2,5,7,8,11,3,6,1,9,,
2,12,2,1,8,6,5,7,8,12,12,1,,
12,12,12,1,12,12,12,12,2,12,12,12,,
4,12,12,2,6,12,12,12,5,3,7,1,,
2,9,9,1,5,9,8,9,3,7,4,6,,
4,12,6,1,9,10,11,5,2,8,3,7,,
8,9,11,1,2,6,10,11,5,3,7,4,,
6,12,12,3,4,5,6,12,6,2,1,12,,
1,12,12,1,2,12,12,1,1,12,1,12,,
2,12,12,1,12,12,12,12,2,12,12,12,,
12,12,5,1,3,6,12,2,5,12,12,6,,
4,4,12,1,12,12,12,12,4,12,2,3,,
5,12,6,1,7,4,8,9,10,3,2,11,,
3,4,4,1,4,4,4,5,4,4,6,2,,
4,9,8,3,4,12,11,10,1,11,12,11,,
1,6,7,2,4,9,8,5,3,11,12,10,,
5,8,12,3,2,6,10,9,1,4,7,11,,
4,8,3,1,11,7,9,10,12,6,5,2,,
4,12,10,1,5,8,9,2,3,7,11,6,,
