rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
7,12,6,8,2,5,10,9,11,3,4,1,Unknown,12.0
12,12,1,12,4,12,12,12,12,2,12,3,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
9,8,11,10,4,6,7,12,2,3,5,1,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
12,6,11,7,4,3,5,10,8,2,9,1,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
12,12,12,12,12,2,12,12,3,12,12,1,Unknown,
7,2,6,4,5,3,12,10,8,11,9,1,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
3,12,7,5,1,4,9,10,11,6,8,2,Unknown,
10,6,11,5,1,4,7,12,8,3,9,2,Unknown,
12,3,12,12,12,12,12,12,12,12,2,1,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
12,9,10,11,2,4,6,7,8,1,5,3,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
6,4,10,7,5,2,9,12,3,8,11,1,Unknown,
12,5,9,7,6,2,8,4,11,3,10,1,Unknown,
1,12,12,12,12,12,12,12,12,12,12,12,Unknown,
12,3,7,4,5,2,8,9,11,6,10,1,Unknown,
