rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
10,10,10,10,10,10,10,1,10,10,1.0,10.0
10,4,5,10,3,2,10,1,10,10,,
7,2,5,8,3,6,1,4,9,9,,
10,3,5,1,10,4,10,2,10,10,,
10,1,10,1,10,10,3,1,10,10,,
5,3,6,6,4,2,5,1,7,7,,
10,2,10,10,5,3,4,1,10,10,,
10,5,10,10,10,4,4,1,4,10,,
4,7,3,6,2,8,10,1,9,5,,
7,2,8,5,4,6,3,1,9,10,,
10,4,9,2,8,6,5,3,7,1,,
10,5,10,4,10,2,10,1,10,10,,
4,2,8,10,5,6,3,1,7,9,,
10,10,10,3,10,2,10,1,10,10,,
10,2,10,10,10,3,4,1,10,10,,
10,1,10,10,10,10,10,1,10,10,,
10,2,10,10,10,1,10,3,10,10,,
6,5,4,6,3,2,6,1,6,6,,
10,2,10,10,10,3,10,1,10,10,,
9,3,10,8,5,1,2,6,4,7,,
10,1,10,6,5,4,3,2,10,10,,
10,10,10,5,10,10,4,2,3,1,,
4,1,4,5,5,5,5,1,10,10,,
9,6,8,4,3,1,10,2,5,7,,
10,3,10,6,5,1,4,2,10,10,,
10,5,10,10,10,1,6,2,10,10,,
10,1,10,10,1,10,1,1,10,2,,
7,3,8,5,10,2,6,1,4,9,,
7,10,3,5,2,9,8,1,6,4,,
8,1,7,4,5,10,3,2,9,6,,
8,3,7,6,5,4,2,1,10,9,,
9,9,9,9,9,9,9,9,10,9,,
3,2,10,10,10,10,10,1,4,10,,
1,10,10,10,10,10,10,10,10,10,,
4,1,9,8,5,10,7,2,6,3,,
2,2,2,2,2,2,2,1,2,2,,
10,4,10,3,10,5,10,2,1,10,,
10,1,10,10,1,1,1,1,10,10,,
8,7,10,4,3,2,5,1,6,9,,
6,3,10,2,5,10,4,1,10,10,,
