rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,numSeats,numCands
81,81,81,81,81,81,81,81,81,1,81,81,3,81,81,2,81,81,81,81,81,81,81,81,7,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,5,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,6,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,1.0,81.0
81,81,6,81,81,81,81,81,81,81,81,81,81,81,2,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,4,81,81,81,3,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,5,81,81,81,7,81,1,81,81,81,8,81,81,81,81,81,81,,
81,81,7,12,32,21,10,22,33,16,81,81,81,73,3,2,20,8,81,4,27,23,81,19,80,81,30,81,81,81,81,81,81,81,24,6,81,81,81,81,81,81,81,1,81,81,81,5,81,18,81,11,13,81,26,56,81,14,81,81,15,81,81,9,81,32,81,81,81,81,29,81,81,17,81,Skipped,28,25,81,81,81,,
64,75,5,29,73,69,20,20,81,20,38,31,37,81,4,6,30,66,31,16,81,81,72,81,28,29,81,81,81,18,81,35,30,71,63,3,25,77,81,13,27,81,29,2,81,17,81,1,81,79,20,21,22,17,81,70,42,30,81,65,15,21,81,13,22,25,36,73,19,81,24,72,81,9,20,70,24,35,81,81,66,,
81,81,4,5,81,81,81,81,81,81,81,81,81,81,2,81,9,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,10,7,3,1,81,81,81,81,81,81,81,81,81,81,81,81,81,81,6,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,
81,81,3,81,81,81,81,9,81,81,8,81,10,81,5,1,12,81,15,8,81,12,81,81,81,81,81,81,81,81,81,81,5,81,81,1,81,81,81,81,81,81,81,8,81,81,81,1,81,81,81,8,8,10,81,81,81,8,13,81,8,81,81,6,11,81,81,81,5,81,9,81,14,81,4,14,81,81,81,81,81,,
20,81,6,5,81,5,68,81,81,5,81,Skipped,2,81,1,3,55,9,75,6,8,10,80,25,81,5,81,68,78,43,80,80,56,67,81,5,53,78,81,81,80,81,81,1,81,81,81,60,80,71,69,74,5,9,81,73,80,7,81,81,5,73,Skipped,1,81,80,72,81,2,74,69,80,Skipped,46,73,81,81,Skipped,81,80,78,,
81,81,3,81,81,81,81,81,81,2,81,4,81,81,81,1,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,8,81,81,81,81,81,81,81,9,81,11,81,81,81,81,10,81,6,81,81,81,81,81,81,81,5,81,81,81,81,81,81,81,81,81,81,81,7,81,81,81,81,81,81,81,81,,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,
20,81,7,5,49,8,73,21,81,17,33,22,4,79,4,7,32,18,10,3,35,70,49,81,71,67,30,20,30,24,71,75,15,35,17,2,25,18,81,81,40,30,79,1,81,15,65,7,35,50,15,22,10,20,60,30,81,19,57,53,6,63,35,3,21,17,35,81,7,62,72,28,51,11,16,35,49,24,81,18,45,,
8,81,81,81,81,81,81,81,81,7,81,5,12,81,81,1,81,81,81,16,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,15,81,11,81,81,81,81,6,4,81,81,14,2,81,13,81,81,81,81,81,81,81,81,81,81,7,81,81,3,81,81,10,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,1,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,
81,81,81,81,2,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,3,81,1,81,81,81,81,81,81,81,81,81,81,4,81,81,81,81,81,81,81,81,81,,
79,81,7,81,80,30,79,30,13,10,7,80,81,81,2,1,78,81,81,30,17,20,81,78,81,11,81,81,81,79,81,78,78,79,81,30,30,81,81,81,78,81,81,4,81,79,81,15,78,81,80,81,78,80,81,39,81,79,80,81,7,79,80,35,81,81,13,48,30,78,81,81,81,14,81,81,11,81,81,81,81,,
26,49,11,24,45,15,40,9,44,7,72,50,8,78,1,5,76,32,23,20,14,18,54,73,46,41,39,25,22,16,71,70,12,63,79,10,33,13,51,69,36,80,53,3,64,29,56,17,77,47,59,30,31,68,81,65,64,61,43,34,4,21,48,2,66,67,74,57,6,28,38,58,52,19,35,55,37,62,75,42,27,,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,
81,81,2,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,1,81,81,81,81,81,81,81,81,81,5,81,81,81,81,81,81,81,81,81,81,81,81,3,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,4,81,81,81,,
81,81,81,81,9,20,81,81,81,6,81,81,13,81,1,2,81,81,81,81,81,81,81,81,16,81,81,81,81,81,81,81,8,81,81,3,19,81,81,81,81,81,81,12,81,81,81,5,81,81,8,81,11,81,81,81,81,81,81,81,4,81,81,14,18,81,81,81,15,81,17,81,81,10,81,81,81,81,81,81,81,,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,1,81,81,81,81,3,81,81,81,81,81,81,81,81,81,81,81,81,10,81,81,1,81,81,81,81,81,81,3,1,81,81,10,1,81,81,10,81,10,81,81,81,81,2,81,81,2,81,81,81,81,81,81,81,81,81,81,81,3,3,10,81,81,81,81,81,81,,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,
45,68,30,2,68,68,21,33,68,5,22,34,6,68,40,29,68,26,68,35,11,68,68,68,68,28,81,44,43,14,81,8,15,68,68,1,39,13,68,68,38,68,68,27,81,68,81,12,32,36,18,68,68,68,68,24,31,16,68,23,7,68,41,17,10,4,68,68,20,37,68,68,68,3,19,68,25,9,42,68,81,,
81,81,81,81,81,81,81,12,81,81,81,81,81,81,1,81,81,81,7,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,2,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,10,81,81,81,81,81,81,81,81,81,,
81,81,4,81,81,81,81,81,75,81,81,47,81,81,81,1,48,67,73,4,36,73,81,81,81,81,62,81,81,81,81,67,4,81,81,1,81,24,81,81,79,81,64,81,81,81,57,81,81,63,81,81,81,81,81,81,81,81,81,81,2,81,81,2,81,81,81,81,81,64,81,81,81,81,81,81,81,81,81,42,81,,
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,
