rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,numSeats,numCands
59,59,59,59,59,59,59,5,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,5,59,59,59,59,59,10,59,59,59,59,59,59,59,59,59,59,59,59,59,5,59,59,59,59,59,59,1,59,59,59,59,59,59,59,59,1.0,59.0
59,59,59,59,59,59,59,2,5,59,59,59,59,9,59,59,59,59,59,59,59,59,59,59,3,59,59,7,59,59,59,59,11,10,59,59,59,4,59,59,8,59,59,1,6,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,
59,59,8,59,7,59,59,3,11,59,59,5,59,59,59,59,59,59,59,59,59,59,59,2,13,59,59,10,59,9,59,16,18,59,59,59,59,59,59,59,4,59,59,59,15,1,59,59,20,17,14,59,59,59,12,59,19,6,59,,
59,59,59,59,59,59,59,3,13,16,59,59,2,19,59,27,8,59,59,59,59,59,59,5,4,59,59,15,31,59,59,3,32,59,59,59,59,59,32,59,26,59,59,31,59,33,59,59,59,59,8,59,1,59,59,59,59,31,59,,
59,59,59,59,59,59,59,59,2,59,59,59,59,59,59,59,59,59,59,59,59,59,59,4,59,59,1,59,59,59,59,59,59,9,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,3,59,59,59,59,59,59,59,59,59,,
59,59,59,59,59,59,59,4,59,4,59,59,59,59,59,59,59,59,59,59,59,59,59,2,59,59,59,59,6,59,59,59,59,59,59,59,59,59,59,59,59,59,59,3,59,7,59,59,59,59,1,59,59,59,59,59,59,8,59,,
59,59,59,59,59,59,59,9,59,46,59,10,58,59,48,59,1,59,59,59,Skipped,59,59,16,59,46,59,56,59,20,59,59,25,59,59,59,59,18,59,59,2,59,59,45,43,59,59,59,59,28,10,59,59,59,59,59,59,13,7,,
59,59,3,59,8,59,59,5,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,5,59,59,3,59,1,59,59,59,59,59,59,59,1,59,2,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,4,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,3,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,6,Skipped,Skipped,59,Skipped,,
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,
