rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1.0,16.0
11,13,12,10,9,3,8,7,2,4,6,14,1,15,5,16,,
13,4,12,11,10,7,3,8,9,14,15,5,2,6,1,16,,
15,6,10,9,11,7,1,8,14,12,16,5,2,4,3,13,,
16,4,8,10,13,7,3,9,14,15,11,5,2,6,1,12,,
14,9,12,10,13,2,5,3,1,11,15,6,7,4,8,16,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,16,,
15,6,10,11,9,2,5,1,16,14,12,8,4,7,3,13,,
16,16,16,16,16,1,16,16,2,16,16,16,16,16,16,16,,
15,16,10,14,11,16,2,9,16,16,12,7,3,16,1,13,,
14,5,4,9,8,11,3,12,15,10,13,6,2,7,1,16,,
12,5,7,9,8,14,1,15,16,10,11,6,2,4,3,13,,
14,6,7,12,8,10,1,9,11,15,13,3,2,4,5,16,,
1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
16,3,11,10,14,8,6,5,12,9,15,4,2,7,1,13,,
11,5,14,8,13,7,3,15,9,12,16,4,1,6,2,10,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
16,6,10,16,16,16,4,16,16,16,15,2,1,6,3,16,,
10,7,4,1,13,14,2,15,16,12,5,9,8,3,6,11,,
14,9,3,15,11,5,4,1,2,13,16,10,7,8,6,12,,
16,6,8,11,9,7,3,12,15,10,14,5,2,4,1,13,,
13,9,1,4,12,3,2,10,16,11,15,9,9,9,9,14,,
10,7,5,4,16,2,6,3,1,11,9,14,15,13,12,8,,
16,16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,,
16,9,5,15,16,1,2,7,6,15,16,10,4,8,3,16,,
16,4,13,14,10,7,3,8,9,11,15,6,2,5,1,12,,
14,4,14,15,14,14,14,2,14,14,16,14,3,14,1,14,,
16,5,16,16,16,16,1,15,16,16,16,6,2,4,3,16,,
14,3,7,11,10,6,2,8,13,15,12,3,3,1,3,16,,
16,10,9,13,15,13,2,14,15,11,12,8,6,11,1,10,,
14,3,9,12,15,5,4,7,16,11,13,6,2,8,1,10,,
7,10,12,2,14,11,3,6,5,15,1,13,8,4,9,16,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,1,16,,
16,4,7,9,14,8,5,11,15,12,10,3,1,6,2,13,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
16,4,15,15,16,13,2,14,14,15,16,4,3,4,1,14,,
16,16,16,16,16,3,16,2,1,16,16,16,16,16,16,16,,
10,4,9,3,15,11,8,13,6,12,14,1,2,7,5,16,,
15,5,8,13,12,4,3,10,16,11,14,6,2,7,1,9,,
16,16,16,16,16,16,16,16,1,16,16,16,16,16,16,16,,
12,4,9,11,13,1,7,9,8,14,16,5,3,6,2,15,,
12,2,8,10,11,7,5,9,14,16,13,4,3,6,1,15,,
16,6,10,11,13,2,5,8,9,15,12,4,1,7,3,14,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
16,13,16,16,16,16,1,16,16,16,16,12,11,14,2,16,,
16,5,7,11,12,3,4,6,9,14,13,10,7,2,1,15,,
1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
16,4,9,12,11,7,2,5,10,13,15,8,3,6,1,14,,
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
13,6,9,12,10,15,1,14,16,7,11,5,3,2,4,8,,
15,4,9,11,10,8,3,7,16,13,12,6,1,5,2,14,,
16,16,16,16,16,1,2,16,16,16,16,16,4,16,3,16,,
16,5,16,16,16,7,3,16,16,16,16,4,2,6,1,16,,
12,7,2,11,13,1,5,3,16,14,15,8,4,9,6,10,,
