rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,numSeats,numCands
8,20,19,21,3,10,4,11,7,24,9,23,15,12,18,6,17,16,14,1,13,5,22,2,1.0,24.0
4,24,24,24,1,24,24,24,24,3,24,24,24,24,24,24,24,24,24,2,24,24,24,24,,
24,24,24,24,24,24,4,24,24,24,24,24,3,24,24,24,2,24,24,24,24,1,24,24,,
19,22,17,10,20,13,6,5,9,16,7,21,1,23,3,12,2,24,8,4,18,14,11,15,,
20,5,18,19,4,17,6,24,24,3,24,13,1,16,11,14,8,15,21,9,10,7,2,12,,
10,24,15,24,1,13,11,4,14,23,5,2,20,17,19,12,3,21,18,9,16,6,8,7,,
4,11,23,19,10,20,22,14,18,7,5,3,1,17,16,15,3,13,12,8,21,6,2,9,,
24,1,24,24,24,24,24,24,24,6,24,4,3,24,24,24,2,24,24,24,24,5,24,24,,
13,9,20,8,2,14,10,23,5,15,17,21,11,22,19,6,18,7,24,1,12,16,4,3,,
19,12,24,5,4,16,7,24,17,6,20,2,13,15,3,14,21,18,10,9,8,1,11,1,,
4,24,24,24,24,24,24,3,24,24,2,24,1,24,24,24,24,24,24,24,24,24,24,24,,
16,6,22,23,10,7,24,12,17,11,18,21,1,8,20,13,19,14,15,4,9,3,5,2,,
6,24,24,24,4,24,3,24,24,1,1,24,5,24,24,24,24,24,24,24,2,24,24,24,,
4,24,24,24,6,12,7,24,24,8,24,24,3,11,24,24,24,24,24,1,10,5,2,9,,
24,24,6,24,24,24,24,2,24,24,9,8,24,3,1,24,24,24,24,24,4,24,7,5,,
5,24,20,10,16,15,1,23,14,13,17,19,4,21,7,3,9,8,2,11,22,6,18,12,,
4,24,24,24,5,7,24,24,24,24,24,24,8,24,24,6,9,1,24,2,24,10,24,3,,
18,14,23,19,7,15,13,9,21,5,16,10,3,24,1,6,12,20,8,11,4,2,22,17,,
7,24,24,24,24,4,24,24,8,24,24,10,2,24,9,24,1,24,24,6,5,3,24,24,,
4,10,19,20,5,21,24,8,18,7,17,12,3,22,11,14,6,2,15,1,23,9,16,13,,
9,18,15,14,6,7,11,5,19,24,21,23,4,13,22,8,3,20,16,10,12,1,17,2,,
7,18,23,14,3,13,9,10,4,21,5,15,8,16,22,20,12,6,24,2,11,1,19,17,,
7,21,22,23,1,19,10,12,8,6,16,20,5,15,11,9,4,2,24,17,14,13,3,19,,
5,24,24,24,6,8,24,24,24,4,7,24,3,24,24,1,24,24,24,24,24,2,24,24,,
24,24,24,24,8,5,24,24,24,2,1,3,24,24,24,6,24,24,24,9,24,7,24,4,,
15,20,24,12,1,4,6,16,20,5,21,14,10,18,23,19,17,2,11,3,8,9,13,7,,
3,24,24,24,6,24,24,24,24,24,7,1,24,5,24,24,2,24,24,24,24,4,24,24,,
2,23,22,17,5,18,22,4,11,9,8,12,3,1,19,10,15,15,24,6,13,16,7,22,,
1,24,24,24,3,24,24,24,24,24,24,24,24,24,24,24,3,24,24,4,2,24,5,24,,
14,6,13,21,4,18,9,10,24,17,7,3,2,16,12,20,11,23,22,8,15,1,5,19,,
24,24,24,24,4,24,24,24,24,24,24,5,1,24,24,24,24,24,24,2,3,24,24,24,,
1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,24,24,,
20,5,14,16,1,8,17,7,23,10,19,6,2,12,18,21,9,22,24,3,11,13,4,15,,
17,15,18,21,2,19,16,8,22,3,13,20,5,7,23,9,4,10,24,1,12,11,14,6,,
24,24,24,24,24,24,24,24,24,5,24,6,1,24,24,24,2,24,24,24,24,3,4,24,,
3,24,24,10,24,24,5,12,24,8,24,24,2,24,6,4,1,24,24,7,24,24,24,24,,
24,24,24,24,24,2,24,24,24,1,24,24,24,24,24,24,3,24,24,24,24,24,24,24,,
