rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,numSeats,numCands
24,24,3,24,24,24,24,24,24,24,24,24,10,24,1,24,24,24,24,24,24,24,24,7,1.0,24.0
2,10,24,24,24,1,24,3,24,24,4,24,24,7,24,9,24,6,24,5,24,11,8,24,,
13,24,5,23,16,7,20,22,15,21,8,9,6,10,2,18,11,19,14,12,3,4,17,1,,
18,2,16,10,6,8,15,9,7,24,1,20,23,13,19,12,21,11,22,4,17,5,3,14,,
13,20,19,1,10,2,18,1,19,24,1,24,24,11,15,6,20,12,20,5,23,4,12,23,,
9,15,24,24,24,10,24,24,4,24,24,24,24,24,24,8,24,1,24,3,24,2,6,24,,
24,24,24,24,24,24,24,24,24,24,24,24,2,24,1,24,24,24,24,24,3,24,24,4,,
24,24,1,24,24,24,24,24,24,24,24,24,1,24,1,24,24,24,24,24,1,24,24,1,,
24,7,2,16,18,11,14,8,10,9,15,6,3,23,1,17,13,19,12,22,4,21,20,5,,
5,16,16,11,7,10,16,15,13,24,9,16,16,1,14,8,12,2,23,4,16,3,6,16,,
11,10,15,12,6,2,20,1,7,24,8,22,23,4,13,18,16,5,19,3,14,17,9,21,,
24,10,3,24,24,19,24,8,24,24,24,24,4,24,1,24,24,24,24,24,4,18,24,2,,
24,4,5,24,24,24,24,24,24,24,24,24,3,24,1,24,24,24,24,24,2,24,24,6,,
24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,2,24,,
10,24,24,24,24,6,24,24,7,24,6,24,24,11,24,24,24,24,24,24,24,3,24,24,,
24,24,2,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,24,4,24,5,3,,
24,24,24,4,24,1,24,24,24,24,7,24,24,5,24,8,24,3,24,6,24,2,24,24,,
24,20,3,14,11,18,17,12,19,9,10,Skipped,4,23,1,21,16,Skipped,8,22,Skipped,15,13,2,,
24,3,24,24,24,1,5,2,24,24,5,24,24,5,24,24,24,5,24,5,24,4,24,24,,
24,24,24,24,24,24,24,24,24,24,24,24,4,24,1,24,24,24,24,24,3,24,24,2,,
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,1,24,24,24,24,,
24,23,23,23,23,24,24,10,3,1,24,23,23,24,23,23,24,24,4,24,23,24,24,23,,
24,24,2,24,24,24,24,4,24,24,24,24,24,24,1,24,24,24,24,19,3,24,24,4,,
1,24,24,24,10,4,24,24,24,24,24,24,24,2,24,24,24,1,24,4,24,3,4,24,,
21,19,2,3,10,12,21,17,4,24,5,24,24,10,1,14,19,11,19,13,16,10,15,6,,
