rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
3,4,8,2,8,1,9,8,5,10,1.0,10.0
8,2,8,9,8,1,4,10,3,8,,
10,1,10,2,10,3,10,10,10,10,,
3,1,5,4,6,2,8,10,7,9,,
2,10,10,3,10,1,5,6,4,7,,
10,10,10,10,10,10,1,10,10,10,,
4,10,2,6,3,1,7,6,9,8,,
5,8,9,7,10,4,1,2,6,3,,
10,10,10,10,10,10,10,10,10,10,,
10,10,10,3,10,1,2,10,4,10,,
3,9,4,5,7,1,6,10,8,2,,
8,2,9,3,9,1,7,4,6,5,,
6,4,9,3,8,2,7,1,5,10,,
3,9,7,5,6,8,2,10,1,4,,
10,2,10,1,10,10,10,10,10,10,,
10,6,10,3,10,2,5,4,3,1,,
4,7,9,8,10,2,5,6,3,1,,
10,10,10,10,10,10,1,10,10,10,,
3,2,8,9,8,1,4,10,6,5,,
2,6,10,7,10,5,10,1,3,4,,
10,1,10,3,10,10,5,2,4,6,,
5,5,10,4,10,2,3,4,1,3,,
8,2,9,3,9,10,10,1,3,10,,
6,2,8,7,9,1,4,10,5,3,,
8,3,10,6,9,5,4,2,7,1,,
10,10,10,10,10,10,10,10,10,10,,
3,1,10,7,10,2,5,10,4,6,,
7,4,10,10,10,2,3,1,5,10,,
4,3,5,10,6,2,8,1,7,9,,
5,1,9,3,8,2,7,10,6,4,,
3,8,6,7,5,2,1,5,4,4,,
3,4,8,2,9,1,7,10,5,6,,
2,10,4,8,3,1,7,6,5,9,,
9,2,10,3,9,1,6,4,5,9,,
2,10,8,7,9,1,4,6,3,5,,
10,10,10,10,10,10,10,10,10,10,,
3,9,8,7,10,6,1,4,2,5,,
10,10,10,3,10,1,10,2,3,10,,
9,8,4,6,10,2,1,7,5,3,,
8,6,2,10,9,4,1,5,7,3,,
4,2,8,5,9,1,6,10,7,3,,
3,10,6,9,7,4,2,8,1,5,,
