rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,numSeats,numCands
22,4,15,5,25,15,27,16,24,10,21,1,17,7,15,3,15,15,27,9,6,2,23,20,18,8,19,1.0,27.0
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,,
18,7,12,20,25,17,26,9,23,5,19,1,21,6,22,8,13,14,27,3,10,2,16,24,15,4,11,,
11,27,7,10,5,8,3,27,2,15,27,1,27,12,27,27,27,9,6,13,27,14,27,4,27,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
7,25,24,19,10,21,11,27,9,14,8,5,2,13,23,19,20,19,12,19,4,3,6,1,26,15,22,,
15,24,14,18,19,1,6,25,20,5,16,23,26,8,12,2,3,9,22,11,4,7,10,21,27,13,17,,
7,10,12,8,25,4,22,2,24,18,9,11,19,20,15,3,5,13,23,16,14,27,6,21,26,17,1,,
27,27,12,9,27,16,27,27,27,2,8,6,27,3,11,8,15,14,27,4,27,7,1,27,13,5,10,,
10,27,17,16,18,6,19,23,20,4,11,1,26,3,14,12,25,15,22,5,7,2,9,21,24,8,13,,
25,20,22,6,17,13,19,7,16,12,26,2,8,11,23,3,27,5,18,10,14,1,24,15,9,4,21,,
15,26,2,12,24,13,20,25,19,7,1,3,24,6,18,10,16,8,21,10,17,4,9,24,27,5,14,,
10,12,18,8,19,13,22,24,20,2,11,27,25,3,17,6,15,7,23,4,14,1,9,21,26,5,16,,
27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
10,12,18,8,19,13,22,24,20,2,11,27,25,3,17,6,15,7,23,4,14,1,9,21,26,5,16,,
18,3,6,15,11,17,10,27,12,24,19,8,4,23,7,2,25,14,9,22,26,13,20,1,16,21,5,,
27,7,27,27,27,27,5,27,27,27,27,27,1,27,27,4,6,27,27,27,27,27,27,2,27,3,27,,
26,9,10,3,12,8,15,6,13,18,25,1,2,20,17,5,22,4,14,7,23,24,27,11,21,19,16,,
19,1,25,10,24,4,11,13,14,2,20,27,3,8,26,9,18,7,23,5,21,17,16,22,15,6,12,,
26,15,18,11,5,7,8,23,6,16,25,1,4,14,20,3,21,12,9,17,2,24,27,10,22,13,19,,
20,10,18,10,18,11,24,17,24,3,25,26,16,2,18,10,10,10,24,10,10,27,19,24,15,1,14,,
14,12,18,7,25,10,17,25,25,1,19,8,25,3,18,7,13,7,25,4,12,20,9,25,27,5,16,,
10,15,26,16,25,13,22,20,11,4,16,27,21,6,12,7,9,14,17,1,8,2,5,23,24,3,18,,
3,16,6,11,24,16,22,26,22,11,11,9,6,11,6,3,25,11,20,1,16,9,3,20,27,1,16,,
27,27,27,15,4,27,4,27,4,2,27,3,14,9,27,15,27,15,4,9,13,1,27,4,12,9,27,,
17,16,19,13,22,4,20,23,21,6,11,9,27,7,18,8,10,12,25,2,1,15,14,24,26,3,5,,
27,11,5,3,27,27,27,27,27,8,27,13,27,12,4,2,10,6,27,7,9,27,27,27,27,1,27,,
27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,,
20,18,27,12,21,13,21,14,21,1,17,27,14,4,27,4,8,11,21,1,7,1,20,21,6,10,17,,
27,16,24,9,4,19,5,1,6,13,25,22,2,10,23,17,19,11,8,14,15,3,26,7,21,12,20,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
27,27,27,27,27,27,27,4,27,27,27,1,27,27,27,3,2,27,27,27,27,5,27,27,27,27,27,,
27,27,3,27,27,27,27,7,27,26,27,5,7,27,3,27,27,27,27,27,27,27,27,27,4,27,1,,
23,12,13,20,10,27,16,25,17,14,18,1,26,3,15,19,22,8,9,6,5,2,21,7,24,4,11,,
11,26,27,21,27,18,27,27,27,14,13,2,27,15,24,23,22,19,25,17,20,1,12,27,27,16,27,,
14,9,5,10,8,6,16,9,9,10,20,1,7,10,5,9,7,10,9,10,12,10,15,13,9,10,7,,
24,14,7,20,26,14,19,1,16,5,25,12,2,9,8,3,14,18,17,11,21,10,27,23,23,4,6,,
24,24,4,24,24,24,24,7,24,5,24,1,3,9,23,3,24,19,24,4,24,8,24,24,27,4,2,,
18,10,21,8,22,11,25,12,23,2,27,3,13,4,20,1,16,7,26,5,9,15,17,24,14,6,19,,
17,17,13,15,10,27,27,27,27,4,17,6,27,4,12,9,5,14,21,4,7,18,15,11,27,4,8,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
16,19,6,18,27,10,25,3,24,9,2,22,20,14,5,1,8,12,26,13,7,21,15,23,11,17,4,,
27,4,8,9,10,15,12,3,13,17,27,27,2,18,6,14,27,18,27,18,7,16,19,11,1,18,5,,
5,10,23,23,15,4,8,26,16,14,12,2,27,13,23,9,11,23,6,23,23,1,23,23,25,3,7,,
9,13,17,7,22,15,23,26,18,2,10,21,24,1,11,4,16,8,19,4,12,20,6,23,25,5,14,,
26,12,7,3,18,13,20,23,19,5,25,17,21,22,8,1,24,2,9,15,11,14,27,10,16,6,4,,
27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,3,2,27,27,,
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,,
26,4,14,6,17,21,16,5,7,9,27,24,1,11,19,2,22,18,15,12,20,23,25,8,3,10,13,,
9,5,13,21,19,7,17,25,18,2,11,24,26,4,15,8,27,14,20,3,6,23,10,22,16,1,12,,
17,14,13,7,25,8,26,6,23,2,17,18,10,16,12,1,22,5,24,4,9,17,17,27,22,3,11,,
13,6,18,25,15,7,8,10,3,16,14,27,21,20,26,19,24,12,17,11,2,4,5,9,23,22,1,,
27,27,27,27,27,27,27,27,27,27,27,27,27,1,27,27,27,27,27,27,27,27,27,27,27,27,27,,
25,5,25,6,13,7,12,10,11,3,25,27,25,2,25,1,25,4,14,8,25,26,25,25,25,9,25,,
27,17,7,15,4,18,27,10,27,14,20,21,9,3,6,2,16,13,27,11,5,1,27,27,19,12,8,,
12,9,24,4,17,10,22,25,21,2,16,20,27,5,18,3,8,7,13,1,14,23,11,19,26,2,15,,
14,19,18,12,3,20,5,23,4,6,15,27,24,7,17,10,22,11,2,8,21,26,13,1,25,9,16,,
13,26,19,16,2,27,11,22,4,7,24,3,20,5,17,8,23,15,18,9,10,1,14,12,21,6,25,,
23,26,21,27,15,13,17,5,16,7,19,2,25,8,22,12,24,6,18,4,11,1,10,14,20,3,9,,
7,23,10,17,3,1,14,27,12,5,2,11,26,15,9,20,22,16,18,4,25,24,6,13,19,21,8,,
18,15,5,16,22,2,25,7,23,10,21,9,8,14,6,11,20,17,26,12,1,3,19,24,27,13,4,,
27,1,27,27,27,27,27,27,2,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,
25,4,7,22,12,8,2,10,1,16,26,21,23,17,5,9,14,21,3,19,20,24,27,11,15,18,13,,
25,21,14,27,15,2,20,22,18,5,12,6,24,9,16,8,1,26,19,3,11,7,11,17,23,4,13,,
27,27,27,27,4,27,4,27,4,27,27,2,20,27,27,27,27,27,4,27,27,1,27,4,2,5,27,,
