rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
3,16,9,8,4,1,15,11,14,13,10,6,7,2,5,12,Unknown,16.0
16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,Unknown,
3,15,5,7,9,2,13,11,10,16,12,8,4,1,6,14,Unknown,
5,12,6,2,7,16,15,10,4,1,14,8,9,3,13,11,Unknown,
5,16,9,8,3,2,14,10,13,15,12,1,6,4,7,11,Unknown,
14,12,3,2,5,16,10,8,4,1,11,6,9,15,7,13,Unknown,
2,15,16,7,13,1,10,5,3,11,14,8,9,4,6,12,Unknown,
6,14,3,2,8,4,16,13,5,1,15,9,12,7,10,11,Unknown,
16,2,16,16,16,16,1,16,16,16,16,16,16,16,16,16,Unknown,
16,7,5,10,14,13,11,1,4,9,2,15,3,6,8,12,Unknown,
12,16,16,2,16,5,1,16,16,16,16,16,16,3,16,16,Unknown,
1,16,9,12,7,4,8,6,3,15,14,11,2,5,13,10,Unknown,
2,6,16,14,7,3,11,9,12,15,8,5,4,1,10,13,Unknown,
3,16,6,8,9,2,13,10,12,15,14,5,4,1,7,11,Unknown,
1,6,4,16,13,15,3,11,2,8,5,14,9,10,7,12,Unknown,
2,16,1,16,7,5,16,16,6,16,16,16,4,3,16,16,Unknown,
2,14,8,4,16,3,10,13,1,16,11,5,5,13,15,16,Unknown,
1,16,9,11,5,2,14,12,13,15,8,6,4,3,7,10,Unknown,
6,13,2,8,11,4,16,9,5,13,15,10,1,7,16,12,Unknown,
16,14,5,10,15,12,13,1,9,8,6,11,2,3,4,7,Unknown,
8,16,13,9,1,3,14,7,10,12,15,6,4,2,5,11,Unknown,
16,12,3,2,11,15,14,10,4,7,13,5,8,1,6,9,Unknown,
2,16,8,9,7,4,14,12,6,13,15,5,3,1,10,11,Unknown,
7,13,4,6,9,5,16,11,3,14,12,2,1,8,10,15,Unknown,
15,7,3,13,8,16,5,4,2,11,6,14,10,1,12,9,Unknown,
15,9,3,13,5,16,7,2,4,11,8,14,10,1,12,6,Unknown,
4,16,9,8,6,2,11,10,12,15,13,1,5,3,7,14,Unknown,
4,16,9,8,6,3,13,10,12,15,14,1,5,2,7,11,Unknown,
3,16,5,8,9,2,14,10,11,13,12,7,4,1,6,15,Unknown,
15,16,16,16,16,16,16,16,16,16,2,16,1,16,16,16,Unknown,
16,14,3,12,7,15,5,4,2,10,6,13,9,1,11,8,Unknown,
15,10,7,1,12,11,9,13,8,4,6,16,3,2,5,14,Unknown,
6,16,3,2,12,5,11,9,4,13,14,15,7,1,8,10,Unknown,
1,15,2,3,11,8,16,13,7,10,4,9,3,5,6,14,Unknown,
15,5,2,12,6,16,14,7,3,10,4,13,9,1,11,8,Unknown,
1,14,3,6,8,7,15,10,5,9,11,12,4,2,16,13,Unknown,
9,5,16,16,14,10,6,15,13,10,1,14,6,3,16,11,Unknown,
1,16,7,8,5,6,15,12,11,10,14,4,3,2,9,13,Unknown,
2,16,3,5,16,16,16,16,6,16,16,6,4,1,16,6,Unknown,
