rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
10,10,1,10,10,10,5,4,3,2,1.0,10.0
10,10,8,8,10,10,2,3,9,1,,
7,10,1,2,10,10,5,3,6,4,,
10,10,10,1,10,2,10,3,10,10,,
8,10,1,6,9,7,4,5,2,3,,
6,10,2,1,9,8,7,3,4,5,,
6,8,2,1,7,5,10,9,3,4,,
3,2,10,9,1,4,6,5,8,7,,
2,3,4,1,6,5,10,10,10,9,,
8,10,2,1,9,6,5,4,7,3,,
2,1,10,3,6,7,8,4,9,5,,
10,5,2,1,6,10,4,3,8,7,,
7,9,1,4,10,8,6,5,2,3,,
9,10,1,5,10,9,8,8,4,2,,
8,10,5,6,9,7,3,4,2,1,,
10,10,1,2,10,10,10,10,3,10,,
6,10,8,5,9,7,4,3,1,2,,
5,1,10,10,1,6,3,10,10,4,,
4,3,9,1,5,2,7,6,10,8,,
5,7,10,1,8,6,3,4,2,9,,
10,10,1,2,10,10,10,3,4,10,,
4,1,9,5,2,3,7,6,10,8,,
6,8,3,2,9,7,10,1,4,5,,
1,2,6,10,4,3,10,10,5,10,,
2,7,10,1,8,3,6,5,9,4,,
7,10,3,1,9,8,6,5,4,2,,
4,9,10,1,8,7,7,3,2,5,,
4,1,10,2,10,4,5,5,6,6,,
8,10,9,1,10,8,3,4,5,3,,
10,10,3,6,10,10,4,4,1,2,,
2,8,10,4,9,3,5,1,7,6,,
10,10,2,1,10,10,10,10,4,3,,
5,10,2,1,10,10,10,3,4,6,,
1,8,5,10,9,2,7,6,4,3,,
6,5,2,4,10,9,7,1,8,3,,
