rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
9,1,7,3,8,4,10,2,6,5,Unknown,10.0
1,3,6,2,9,7,10,8,4,5,Unknown,
2,10,10,3,10,4,10,10,10,1,Unknown,
2,6,10,3,10,8,10,10,5,1,Unknown,
7,6,1,8,3,4,10,2,9,5,Unknown,
4,1,2,8,9,6,10,3,5,7,Unknown,
1,3,7,5,8,9,10,6,4,2,Unknown,
10,10,10,10,10,1,10,10,10,2,Unknown,
2,6,4,1,10,8,7,5,9,3,Unknown,
1,8,7,4,10,3,5,10,6,2,Unknown,
2,7,10,6,1,10,3,10,6,8,Unknown,
10,10,1,10,10,10,10,10,10,10,Unknown,
2,6,4,8,10,3,7,9,5,1,Unknown,
10,5,6,10,10,1,10,2,3,4,Unknown,
6,10,4,2,1,3,10,5,10,7,Unknown,
10,10,10,2,1,10,10,10,10,10,Unknown,
6,5,3,2,1,4,10,9,7,8,Unknown,
2,5,6,4,1,7,10,9,8,3,Unknown,
4,10,10,6,2,1,3,5,7,10,Unknown,
3,8,6,5,7,1,2,4,10,9,Unknown,
4,6,5,1,8,7,10,9,2,3,Unknown,
8,10,7,2,1,4,3,6,5,10,Unknown,
1,4,9,3,10,5,8,7,6,2,Unknown,
3,9,4,6,7,1,8,9,5,2,Unknown,
1,9,7,3,6,4,10,9,5,2,Unknown,
7,5,2,4,1,8,10,3,6,9,Unknown,
2,10,10,4,6,3,5,10,7,1,Unknown,
10,10,10,10,2,2,1,5,10,10,Unknown,
10,3,1,5,4,2,10,4,4,4,Unknown,
6,1,7,2,3,5,9,8,10,4,Unknown,
4,5,9,3,10,6,7,8,1,2,Unknown,
6,9,4,5,2,2,9,10,6,3,Unknown,
1,6,6,3,8,6,10,2,9,7,Unknown,
8,1,5,2,4,3,9,7,10,6,Unknown,
10,10,10,10,10,1,2,10,10,10,Unknown,
6,7,1,4,8,5,10,9,3,2,Unknown,
9,9,9,9,9,2,9,9,9,9,Unknown,
10,4,10,3,2,10,10,10,10,1,Unknown,
2,4,5,7,10,10,1,8,6,3,Unknown,
2,8,6,5,7,4,10,9,1,3,Unknown,
10,10,2,10,10,10,1,10,10,10,Unknown,
