rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
10,2,3,10,10,4,4,10,10,1,1.0,10.0
2,7,8,6,10,1,5,4,9,3,,
6,2,10,10,10,1,4,7,5,3,,
3,5,6,2,7,1,4,9,10,8,,
3,5,6,10,8,1,4,7,9,2,,
7,8,1,9,10,5,3,2,6,4,,
3,4,5,8,6,10,2,1,7,9,,
10,10,10,10,10,10,10,1,10,10,,
3,10,1,10,10,2,4,10,5,10,,
2,7,1,9,6,8,4,5,10,3,,
6,7,8,9,10,3,1,2,5,4,,
4,6,1,9,10,3,4,7,8,2,,
3,10,6,8,5,1,2,4,7,9,,
2,9,4,8,10,1,3,10,7,5,,
10,10,10,10,10,10,10,1,10,10,,
10,10,10,10,10,10,10,1,10,10,,
3,9,8,2,10,6,7,4,1,5,,
6,2,4,9,8,5,1,7,10,3,,
3,8,7,6,9,1,2,5,10,4,,
3,6,7,5,10,4,2,9,1,8,,
10,10,10,2,5,3,10,1,10,10,,
6,4,1,9,2,10,7,8,5,3,,
3,7,2,9,10,1,4,8,5,6,,
6,4,2,10,8,3,5,9,7,1,,
4,3,9,2,10,1,6,5,8,7,,
4,8,10,9,5,1,7,3,6,2,,
5,6,7,10,9,1,4,3,8,2,,
10,2,3,10,10,10,10,1,10,10,,
2,5,9,8,10,7,1,3,6,4,,
3,5,7,9,10,2,6,8,4,1,,
8,10,9,4,2,3,7,1,5,6,,
1,4,5,10,9,7,2,3,6,8,,
7,5,1,10,9,3,6,4,8,2,,
