rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
1,5,8,17,13,2,3,9,12,10,7,14,4,15,6,11,16,1.0,17.0
1,2,17,15,8,4,3,16,11,6,14,7,12,9,5,13,10,,
5,1,15,15,15,2,16,4,15,15,15,17,6,15,3,7,15,,
3,4,17,6,17,5,17,17,2,17,17,17,17,17,1,17,17,,
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,,
1,1,17,17,5,1,1,5,5,17,17,5,17,5,1,5,5,,
3,2,7,9,15,1,4,5,10,7,6,6,6,15,8,13,12,,
1,2,16,6,9,3,5,7,8,11,14,13,15,10,4,12,17,,
5,2,17,17,12,1,5,7,2,17,3,4,8,7,2,17,7,,
1,3,14,16,17,5,4,9,13,12,10,7,2,11,6,8,15,,
17,1,17,17,17,5,4,17,17,17,17,3,6,17,2,17,17,,
1,2,17,6,5,17,17,17,3,17,17,17,17,17,4,17,17,,
1,17,17,6,17,2,3,17,7,17,17,17,4,17,5,17,17,,
3,1,17,4,17,2,7,17,17,17,5,17,17,17,17,17,6,,
4,3,6,15,16,17,2,5,6,6,6,6,1,6,6,6,6,,
2,1,17,5,4,6,3,17,17,17,17,17,17,17,7,17,17,,
1,2,9,14,16,8,3,4,7,17,15,11,13,12,5,6,10,,
2,5,7,6,16,1,3,10,13,12,11,17,14,8,4,15,9,,
1,2,12,13,14,6,4,7,9,11,16,8,5,10,3,17,15,,
1,2,5,5,5,1,3,4,4,5,5,5,2,5,3,5,5,,
1,4,16,17,9,2,3,6,8,12,11,10,5,14,13,7,15,,
6,1,15,15,9,2,6,6,4,15,5,7,17,9,3,17,9,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
1,3,17,17,17,5,2,4,17,17,17,17,6,17,17,17,17,,
4,2,11,8,14,5,10,3,6,15,9,16,17,12,1,13,7,,
6,3,17,17,17,2,5,4,17,17,17,17,7,17,1,17,17,,
1,1,4,1,2,1,2,1,4,4,4,4,4,4,2,4,4,,
1,4,17,17,17,2,17,17,17,17,3,17,17,5,17,17,17,,
1,2,17,9,17,3,5,8,7,17,9,17,6,9,4,17,9,,
1,10,10,10,10,5,4,10,10,6,9,7,8,10,3,2,10,,
1,17,17,17,17,2,5,4,7,17,17,17,3,17,6,17,17,,
1,17,17,17,17,17,2,17,17,17,17,17,17,17,17,17,17,,
1,2,3,2,2,2,2,3,4,4,3,4,4,4,2,4,4,,
1,4,17,17,17,3,2,7,8,17,5,17,17,17,17,6,17,,
1,3,11,7,5,4,2,14,13,16,10,15,17,8,6,12,9,,
6,2,17,11,10,1,17,4,5,17,7,8,9,17,3,17,17,,
3,4,17,17,17,17,5,17,2,17,17,6,17,17,1,17,17,,
1,2,17,17,17,3,5,17,6,17,17,17,17,17,4,17,17,,
5,1,17,8,2,7,9,3,4,17,17,17,17,17,6,17,17,,
1,3,17,17,17,17,2,17,17,17,4,17,5,17,17,17,17,,
1,2,16,16,16,5,3,6,10,17,8,9,4,16,7,16,16,,
3,4,17,17,17,1,2,7,5,17,17,17,6,17,9,8,17,,
5,6,17,7,2,3,17,17,4,17,17,17,17,17,1,17,17,,
4,2,17,17,17,3,1,17,7,17,6,17,8,17,5,17,17,,
3,1,17,17,17,2,4,17,6,17,17,17,17,17,5,17,17,,
1,3,16,3,4,3,17,8,3,16,16,16,16,16,2,16,16,,
2,3,10,6,14,7,4,15,9,1,11,17,12,5,8,13,17,,
1,7,13,16,15,5,2,6,9,17,3,10,4,11,12,14,8,,
3,17,17,17,17,1,3,17,2,17,17,17,17,5,17,17,2,,
6,8,17,4,2,3,10,17,7,17,5,11,9,12,1,17,13,,
3,2,15,11,10,1,4,6,7,17,13,9,5,12,8,14,16,,
1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
3,1,17,17,17,5,3,5,5,17,17,17,17,17,2,17,17,,
1,14,14,14,14,7,2,14,14,8,6,5,3,14,4,14,14,,
3,2,15,7,6,5,1,11,9,13,17,12,8,14,4,10,16,,
3,4,17,17,17,6,1,2,6,17,17,17,17,17,6,17,17,,
1,2,17,17,17,3,6,5,17,17,7,17,4,17,17,17,17,,
