rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
4,1,6,5,7,2,11,10,8,9,3,1.0,11.0
4,11,1,5,3,2,11,11,11,11,11,,
2,10,5,3,8,1,7,6,9,11,4,,
8,3,1,7,11,6,2,5,4,9,10,,
5,8,6,1,2,3,10,11,7,9,4,,
1,11,3,7,6,2,10,8,4,9,5,,
10,2,1,4,11,9,6,7,5,3,8,,
11,3,8,4,5,1,6,2,7,9,10,,
1,8,9,2,4,5,10,6,7,11,3,,
3,11,8,2,10,7,9,4,5,6,1,,
8,1,2,9,11,5,6,3,4,10,7,,
6,2,1,5,10,4,11,3,8,7,9,,
9,1,4,6,10,7,2,3,8,11,5,,
1,9,7,5,6,4,8,2,3,10,11,,
1,3,9,4,6,2,4,8,11,10,7,,
2,9,7,1,4,8,11,5,6,10,3,,
6,2,1,4,9,3,10,11,7,8,5,,
5,10,3,4,11,1,6,8,2,9,7,,
2,3,4,1,10,9,11,6,5,8,7,,
11,5,6,9,8,1,2,3,7,4,10,,
2,7,3,1,9,8,4,11,6,5,10,,
1,7,10,2,3,5,8,6,9,11,4,,
2,6,10,1,11,3,8,7,4,5,10,,
1,4,5,11,11,3,11,11,2,11,11,,
4,1,3,7,11,11,9,2,5,8,6,,
9,2,1,6,11,3,4,7,5,8,10,,
6,10,2,1,11,3,9,8,4,7,5,,
2,11,11,3,1,11,11,5,11,11,4,,
8,3,2,11,10,6,1,4,9,7,5,,
7,1,2,6,9,3,5,4,11,10,8,,
1,11,11,4,11,3,11,5,11,11,2,,
6,4,8,1,5,2,11,10,7,9,3,,
11,2,6,7,8,9,5,3,1,4,10,,
