rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
12,1,12,12,12,1,12,12,12,12,12,12,1.0,12.0
12,1,12,12,12,4,12,12,5,4,12,12,,
12,12,12,12,12,12,12,12,12,1,12,1,,
12,2,12,12,12,4,12,1,3,5,12,12,,
12,10,4,9,7,5,11,3,2,6,8,1,,
2,4,8,7,10,1,9,12,5,11,6,3,,
12,1,12,12,12,12,12,12,12,12,12,12,,
4,12,12,12,12,1,12,12,2,12,12,3,,
12,12,12,3,12,12,12,1,12,2,12,12,,
11,3,8,2,4,9,10,5,12,6,7,1,,
12,8,5,1,11,2,6,4,9,3,10,7,,
12,12,12,12,12,12,12,12,12,1,12,1,,
12,2,4,3,9,6,7,10,1,11,8,5,,
12,12,6,12,12,12,5,1,4,2,12,3,,
12,12,12,12,12,1,12,12,1,12,12,1,,
10,6,8,2,5,7,12,4,9,1,11,3,,
7,3,9,10,8,2,12,1,5,4,6,11,,
12,12,12,12,12,12,12,12,12,1,12,12,,
7,12,3,5,6,10,2,11,9,8,4,1,,
1,12,12,12,12,12,12,12,12,12,12,12,,
12,1,2,6,3,8,4,11,7,9,5,10,,
2,5,12,12,12,12,12,3,1,4,12,12,,
7,4,6,9,5,12,11,8,1,3,10,2,,
4,12,12,5,12,6,12,1,12,3,2,12,,
8,4,10,5,7,2,11,6,12,1,9,3,,
12,2,1,7,8,3,11,5,6,4,9,10,,
12,2,11,11,11,3,11,4,5,1,11,11,,
11,5,1,4,2,12,8,6,10,7,3,9,,
4,10,6,9,1,2,7,12,3,5,11,8,,
3,12,6,5,4,1,7,12,2,12,12,2,,
11,3,5,2,1,8,7,12,9,10,4,6,,
12,12,12,12,12,12,12,12,1,12,12,12,,
