rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
13,2,14,1,11,3,15,9,2,14,4,8,16,2,12,9,10,1.0,17.0
15,4,6,7,14,9,3,8,13,5,11,12,2,1,10,16,17,,
7,15,2,8,11,5,3,1,16,17,13,12,4,10,14,6,9,,
9,14,4,3,17,13,5,2,8,15,11,7,6,1,10,16,12,,
14,5,7,9,11,8,2,17,13,4,15,6,3,16,12,1,10,,
13,5,16,2,3,14,12,11,15,10,6,1,17,9,4,8,7,,
13,4,3,2,15,11,6,14,12,5,9,17,7,1,10,16,8,,
11,2,12,5,6,15,17,3,11,4,5,14,13,1,11,15,8,,
17,1,7,4,14,14,13,8,9,17,6,11,5,3,12,10,2,,
13,1,6,4,16,10,3,17,8,11,5,14,7,9,12,15,2,,
11,1,5,10,6,9,2,17,14,16,4,13,8,15,3,7,12,,
16,5,4,3,16,13,3,3,10,12,16,17,3,2,12,17,9,,
7,7,3,4,14,11,1,5,12,7,6,8,2,13,10,15,9,,
10,1,5,3,9,13,4,15,6,17,12,7,2,16,11,8,14,,
10,2,1,14,7,11,6,17,12,8,13,4,15,16,3,9,5,,
11,1,6,5,14,13,2,9,10,17,4,12,8,3,16,15,7,,
9,8,2,1,16,17,4,14,11,10,3,12,5,6,15,7,13,,
15,9,10,6,12,14,4,16,11,17,8,5,1,3,13,7,2,,
15,1,4,3,10,13,2,16,14,17,8,6,9,11,12,7,5,,
10,1,13,9,12,4,15,5,11,14,8,7,17,2,3,16,6,,
15,5,3,1,16,4,10,12,11,17,9,7,2,6,14,13,8,,
4,1,2,2,9,4,2,6,4,3,5,8,3,3,4,9,7,,
17,6,1,2,14,11,4,7,13,12,10,9,5,3,16,15,8,,
15,6,3,1,17,13,2,10,14,5,11,9,8,4,12,16,7,,
10,1,1,6,13,14,4,17,9,17,5,12,3,2,16,15,8,,
2,1,5,5,5,3,3,5,8,17,5,2,2,6,3,12,2,,
7,11,2,3,5,13,5,4,8,12,9,8,10,1,14,15,6,,
17,7,2,1,12,15,3,5,16,8,9,13,10,4,14,11,6,,
9,10,6,4,17,15,1,8,11,16,7,12,3,2,14,13,5,,
11,7,1,5,17,13,3,12,10,8,9,14,6,2,15,16,4,,
14,1,5,6,16,13,10,2,11,7,8,12,3,4,17,15,9,,
5,1,10,2,16,9,15,13,12,11,17,6,4,8,3,14,7,,
7,2,3,8,15,5,9,6,11,17,10,16,1,12,4,14,13,,
14,1,11,3,17,12,8,7,15,6,5,9,4,2,13,16,10,,
1,3,14,10,12,7,16,4,6,17,8,5,15,2,9,11,13,,
4,15,1,8,11,14,2,17,3,13,9,6,7,16,10,12,6,,
17,7,4,3,11,8,5,1,17,13,9,17,6,2,14,12,10,,
