rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,numSeats,numCands
20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,1.0,20.0
20,20,20,20,20,1,20,3,20,20,2,20,20,20,20,20,20,20,20,4,,
20,20,20,1,20,6,20,4,20,20,5,20,20,20,20,20,20,20,20,20,,
3,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,2,20,20,4,,
20,20,20,1,2,2,1,20,20,20,1,20,20,20,20,1,20,20,2,20,,
20,20,20,2,20,20,3,20,5,20,4,20,20,20,20,20,20,1,20,20,,
20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
15,20,16,4,10,1,5,7,9,13,2,12,18,17,11,3,8,14,6,19,,
20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
2,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,,
20,20,20,3,20,20,4,5,1,20,20,20,20,20,20,6,20,20,2,20,,
20,2,20,20,20,1,2,2,20,20,20,20,3,20,20,20,20,1,20,20,,
11,11,20,2,20,11,5,20,20,20,4,20,11,12,20,1,11,11,11,20,,
10,15,19,20,19,11,8,2,19,19,1,14,10,16,12,9,19,17,5,18,,
20,20,20,20,1,20,20,20,20,2,20,20,20,20,20,20,20,20,20,20,,
20,20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,,
8,13,12,7,6,9,3,2,17,18,5,19,11,10,15,1,14,4,16,20,,
20,20,20,1,3,20,20,20,20,20,20,20,20,20,20,20,20,20,2,20,,
20,20,20,1,20,20,20,20,2,20,20,20,20,20,5,20,4,20,20,3,,
2,5,20,20,20,20,2,20,20,20,4,20,20,20,10,3,20,1,6,20,,
20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,,
20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,3,20,20,2,20,,
20,20,20,1,20,20,20,20,20,20,2,20,20,20,20,4,3,20,20,20,,
20,20,20,4,2,20,20,3,20,20,1,20,20,20,20,20,20,20,20,20,,
20,20,17,19,17,20,1,18,20,20,20,20,20,20,20,20,20,2,15,20,,
8,20,13,1,2,4,3,10,6,7,15,14,11,12,20,9,20,5,20,20,,
3,20,20,2,20,4,5,20,20,20,1,20,20,20,20,20,20,20,20,20,,
5,19,19,4,19,19,1,19,7,6,2,19,19,19,19,3,20,8,19,9,,
3,19,19,20,19,19,15,17,19,19,10,19,19,19,19,16,8,1,18,18,,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,,
20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,,
2,20,20,1,20,20,20,20,4,20,20,3,20,20,20,20,5,20,20,20,,
2,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,3,20,20,,
3,20,20,20,20,1,2,20,20,20,20,20,20,20,20,20,20,4,20,20,,
6,9,15,8,14,7,3,13,12,20,4,16,18,11,2,5,19,1,10,17,,
20,20,20,1,20,4,20,20,20,6,5,20,20,20,20,20,3,20,20,2,,
1,20,20,4,20,20,2,20,3,20,20,20,20,20,20,20,20,20,20,20,,
