rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
10,10,3,1,5,2,10,6,4,10,Unknown,10.0
3,8,10,9,4,7,1,2,6,5,Unknown,
1,1,7,9,6,8,5,3,2,4,Unknown,
1,9,4,8,7,5,2,3,10,6,Unknown,
10,4,2,2,10,10,10,10,1,5,Unknown,
10,1,2,9,10,10,10,1,10,1,Unknown,
3,1,10,10,10,10,4,5,10,2,Unknown,
2,1,9,5,5,10,10,4,6,3,Unknown,
1,2,10,5,6,10,3,8,4,7,Unknown,
5,5,9,1,1,10,10,5,1,7,Unknown,
8,7,10,9,1,4,5,6,2,3,Unknown,
10,2,10,10,3,10,10,3,1,10,Unknown,
5,6,7,9,2,1,10,3,8,4,Unknown,
2,5,9,8,6,7,3,4,10,1,Unknown,
3,1,10,9,5,8,6,4,7,2,Unknown,
5,2,10,9,6,4,8,7,1,3,Unknown,
3,2,8,10,6,9,4,1,7,5,Unknown,
8,1,9,2,4,10,6,7,3,5,Unknown,
2,4,10,8,5,9,3,6,7,1,Unknown,
3,1,10,6,7,8,4,2,9,5,Unknown,
2,3,10,4,6,9,8,5,7,1,Unknown,
2,1,10,5,4,7,6,10,8,3,Unknown,
1,1,10,10,10,10,10,1,10,1,Unknown,
9,3,4,3,2,5,9,1,5,5,Unknown,
1,2,2,4,10,3,10,10,5,10,Unknown,
1,2,10,5,6,7,8,4,9,3,Unknown,
7,1,10,5,3,6,10,2,4,8,Unknown,
10,10,1,10,10,10,10,10,10,1,Unknown,
2,4,8,6,10,9,5,1,7,3,Unknown,
10,10,1,1,1,1,10,1,1,10,Unknown,
7,1,3,9,4,9,10,1,5,2,Unknown,
3,2,10,10,6,5,1,4,10,7,Unknown,
4,3,10,10,6,10,1,2,10,5,Unknown,
4,3,10,6,7,8,1,2,9,5,Unknown,
3,2,7,6,9,8,4,1,10,5,Unknown,
1,10,10,2,10,10,10,10,10,10,Unknown,
1,1,10,10,2,10,2,1,10,10,Unknown,
1,2,10,8,3,4,9,6,5,7,Unknown,
7,5,9,3,8,10,6,4,2,1,Unknown,
10,1,1,5,1,4,5,5,5,5,Unknown,
1,1,9,8,9,10,1,1,6,1,Unknown,
8,8,10,6,2,1,8,6,2,9,Unknown,
5,1,4,7,2,9,3,10,6,8,Unknown,
5,3,10,2,9,8,7,6,4,1,Unknown,
2,4,10,8,3,5,7,6,1,9,Unknown,
1,3,10,6,10,5,2,10,10,4,Unknown,
8,2,3,9,7,10,4,1,6,4,Unknown,
6,1,2,10,5,10,4,10,3,6,Unknown,
10,3,2,10,10,10,10,10,1,10,Unknown,
4,5,10,9,1,2,8,6,3,7,Unknown,
6,1,5,10,10,10,3,4,10,2,Unknown,
10,3,10,1,5,4,10,2,6,10,Unknown,
3,1,8,7,9,10,4,2,6,5,Unknown,
2,4,10,10,1,10,10,10,3,10,Unknown,
2,1,9,10,6,8,4,5,7,3,Unknown,
10,10,10,2,10,10,10,10,10,1,Unknown,
4,3,9,2,5,7,6,8,1,9,Unknown,
4,6,1,3,2,7,10,8,5,9,Unknown,
