rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
10,11,8,5,2,7,4,1,6,9,3,1.0,11.0
7,10,4,3,2,8,9,1,3,6,5,,
11,11,11,11,11,2,11,1,11,11,11,,
10,9,11,5,7,6,4,1,8,3,2,,
8,11,5,10,3,4,7,1,6,2,9,,
10,9,3,1,9,11,8,4,7,2,7,,
6,5,2,1,2,4,6,3,2,5,5,,
4,8,7,6,2,5,3,1,7,6,3,,
2,9,5,4,6,7,9,1,9,2,4,,
3,6,3,5,2,11,5,1,3,2,4,,
11,3,10,4,9,7,6,5,8,1,2,,
6,6,3,2,3,5,1,6,3,3,3,,
1,5,1,3,3,10,11,2,4,1,2,,
11,11,11,2,11,5,11,1,4,11,3,,
4,4,1,6,1,8,7,5,3,2,3,,
7,9,6,4,10,5,1,3,2,11,8,,
3,7,6,7,1,11,6,8,2,5,4,,
7,5,3,2,6,11,8,5,4,1,2,,
6,6,6,6,3,5,4,1,2,4,4,,
6,11,4,4,5,3,10,2,11,9,1,,
10,10,5,7,5,9,2,1,5,3,3,,
8,11,3,7,1,10,6,9,2,4,5,,
11,11,11,3,11,4,11,1,11,11,2,,
11,11,11,11,11,3,11,1,11,11,2,,
11,11,11,3,5,7,11,1,4,6,2,,
7,11,9,4,3,6,10,2,8,5,1,,
8,11,10,1,7,9,3,2,4,5,6,,
11,11,11,4,11,6,5,1,11,3,2,,
11,11,11,5,11,4,6,2,11,1,3,,
8,10,7,6,1,9,11,5,2,3,4,,
10,9,8,3,4,11,5,1,2,7,6,,
3,7,10,9,5,8,11,6,2,4,1,,
6,7,2,4,3,5,8,1,2,3,4,,
11,11,11,2,11,5,11,1,4,11,3,,
6,4,5,11,1,11,11,7,2,3,3,,
8,11,11,11,2,9,11,11,6,4,1,,
6,5,6,10,2,9,10,6,4,2,1,,
6,8,3,10,1,7,9,9,3,2,5,,
