rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,numSeats,numCands
18,21,18,18,25,18,20,18,18,18,18,19,1,18,18,22,18,23,18,18,24,18,18,18,18,1.0,25.0
5,2,2,24,25,24,2,24,24,24,24,5,1,2,5,2,2,2,2,24,24,5,24,24,3,,
25,22,25,25,25,25,25,25,25,25,25,25,1,25,25,3,25,25,25,25,24,25,25,25,25,,
3,22,18,9,25,18,20,10,18,9,18,23,1,18,18,19,18,21,9,18,24,2,9,9,18,,
2,23,16,18,25,21,22,16,16,16,16,17,1,16,16,20,16,16,16,16,24,16,16,16,19,,
20,20,23,20,21,20,20,20,20,20,20,20,3,24,1,20,25,20,20,20,20,2,20,20,22,,
22,23,22,22,24,22,22,22,22,22,22,22,1,22,22,22,22,22,22,22,25,22,22,22,22,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,,
25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,1,25,25,25,25,25,25,25,,
16,23,16,16,25,18,22,16,16,16,16,19,1,16,16,21,16,16,16,16,24,16,16,17,20,,
18,19,3,17,25,17,20,4,17,3,17,22,1,17,17,21,17,23,17,17,24,17,17,17,17,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,,
2,21,20,13,25,18,13,3,14,13,13,22,1,18,13,19,18,23,13,13,24,13,18,13,18,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,3,20,25,25,25,25,25,25,25,17,,
25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,2,25,25,25,25,25,25,,
12,3,10,25,25,18,6,25,25,13,25,15,2,11,14,5,9,8,4,19,1,17,16,25,7,,
18,18,21,18,18,18,18,25,18,23,18,18,18,20,2,18,19,18,18,18,18,1,22,18,24,,
25,8,25,25,25,25,25,25,25,25,25,25,1,2,25,4,25,25,25,25,24,25,25,23,9,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,,
11,21,11,11,25,14,17,11,13,11,12,22,1,11,4,20,24,18,19,11,23,3,2,16,15,,
14,8,5,14,25,14,7,17,19,20,14,14,1,10,14,9,3,4,6,15,24,18,14,14,2,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,,
25,9,7,25,16,2,12,17,11,5,15,1,8,3,4,25,10,25,13,25,25,25,6,25,14,,
18,23,18,22,24,18,20,18,18,18,18,18,1,18,18,19,18,21,18,18,25,18,18,18,18,,
23,18,17,13,25,16,21,13,20,15,1,24,2,13,13,22,13,19,13,13,23,14,13,13,13,,
17,21,18,13,25,13,22,13,16,13,13,19,1,13,16,23,13,13,13,13,24,14,13,13,20,,
21,17,17,17,17,24,17,20,17,17,17,17,17,17,2,17,17,18,23,22,17,1,17,25,19,,
22,19,18,18,21,18,18,18,18,18,18,18,18,18,2,18,18,23,25,18,18,1,20,18,24,,
24,3,8,25,25,10,16,21,23,4,25,20,1,10,14,15,5,11,17,19,2,17,12,18,7,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,,
3,23,16,16,25,16,18,16,16,20,16,16,16,16,1,17,21,24,22,16,19,2,16,16,16,,
16,19,23,16,17,16,16,16,16,16,18,16,3,24,2,16,25,21,22,16,16,1,16,16,20,,
2,23,13,13,25,16,20,13,13,13,13,17,1,13,19,22,13,13,14,13,24,18,13,15,21,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,25,25,25,,
14,22,7,21,25,19,7,18,23,17,24,15,1,11,13,7,10,7,11,16,12,7,8,20,7,,
16,16,20,16,16,16,17,16,25,21,16,17,16,19,1,16,18,16,24,24,16,2,22,17,16,,
25,18,25,25,25,25,25,25,25,25,25,25,1,25,25,3,25,25,25,25,24,25,25,25,25,,
17,23,17,17,25,17,21,18,17,17,17,17,1,17,17,20,17,22,19,17,24,17,17,17,17,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2,25,25,25,25,,
14,16,23,5,18,4,15,14,3,14,14,14,17,24,1,20,25,19,22,14,14,2,14,14,21,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1,25,25,25,25,,
22,22,25,4,22,22,22,3,22,22,22,22,22,24,2,23,22,22,22,22,22,1,22,22,22,,
