rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,numSeats,numCands
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1.0,104.0
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,37,104,1,104,104,30,104,32,104,104,104,104,14,104,104,104,104,104,104,18,104,23,104,104,104,104,2,13,104,104,33,104,104,104,42,5,104,31,104,104,104,20,36,6,8,104,104,104,24,104,9,104,104,104,104,26,104,27,4,104,11,39,104,22,104,10,104,28,17,7,104,16,29,104,104,21,104,104,104,104,104,104,34,40,35,104,104,12,104,104,104,104,15,104,38,3,41,104,104,25,104,104,19,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
Skipped,8,Skipped,Skipped,Skipped,9,101,21,14,Skipped,Skipped,Skipped,Skipped,104,Skipped,Skipped,Skipped,Skipped,10,Skipped,32,24,Skipped,15,11,50,Skipped,17,Skipped,61,28,Skipped,30,Skipped,17,19,7,Skipped,Skipped,Skipped,41,Skipped,13,9,25,20,16,6,Skipped,16,22,56,31,3,10,Skipped,Skipped,13,Skipped,33,Skipped,Skipped,18,Skipped,Skipped,Skipped,Skipped,57,Skipped,2,2,23,103,55,Skipped,104,4,Skipped,Skipped,104,Skipped,82,26,52,Skipped,1,Skipped,33,11,Skipped,12,29,5,28,Skipped,104,52,40,60,104,Skipped,80,Skipped,100,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
33,33,104,16,104,104,44,104,31,104,33,27,104,18,59,58,38,39,13,104,104,16,104,104,44,15,104,104,36,38,25,104,19,104,47,30,32,104,39,104,43,80,20,40,21,104,33,29,104,104,14,10,1,5,23,60,40,104,53,25,24,49,35,104,55,104,38,39,50,26,11,4,7,104,104,32,3,104,22,29,104,60,104,36,104,104,104,17,9,55,28,104,6,8,40,48,42,104,39,12,55,104,29,2,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,1,104,104,104,104,104,,
104,10,104,104,13,104,104,104,104,104,104,104,104,104,104,18,104,104,104,104,104,104,104,104,12,104,104,104,104,104,11,104,104,104,20,104,15,104,104,104,104,104,104,8,104,104,104,2,104,16,9,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,4,104,5,7,104,104,104,6,104,104,104,104,104,104,104,104,104,104,104,3,104,19,104,104,104,104,104,104,104,104,104,14,104,104,17,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
