rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
5,15,4,15,7,15,15,12,2,15,6,7,3,15,1,1.0,15.0
15,9,11,4,14,7,6,3,8,1,13,2,12,10,5,,
12,14,8,7,10,6,5,11,13,9,3,4,15,2,1,,
15,1,6,2,4,15,3,15,15,15,15,7,15,5,15,,
1,2,11,8,3,12,6,7,14,4,5,13,15,10,9,,
1,6,15,15,2,15,15,15,4,3,15,5,15,7,15,,
4,1,12,7,3,10,6,8,2,11,9,15,13,14,5,,
15,1,15,6,1,15,15,3,15,4,5,4,7,15,15,,
10,1,7,3,12,11,4,6,2,5,9,7,8,6,13,,
14,2,4,13,12,8,6,10,11,1,9,7,3,5,15,,
12,11,6,13,1,14,5,9,2,8,7,10,15,3,4,,
4,1,13,6,2,5,12,9,15,7,10,14,3,8,11,,
2,3,15,15,1,15,6,5,15,4,9,7,10,15,7,,
2,1,9,5,10,11,7,3,12,6,8,14,15,4,13,,
4,2,9,11,7,5,13,12,10,3,14,6,1,15,8,,
1,3,7,10,8,4,9,13,14,5,11,6,15,12,2,,
15,15,3,6,15,15,15,7,15,5,15,4,15,1,2,,
1,2,1,2,1,15,2,1,1,1,1,2,15,1,2,,
7,1,15,15,8,4,15,15,5,15,6,10,2,9,3,,
3,15,15,15,15,6,15,15,7,1,2,5,15,4,15,,
3,15,9,15,1,15,7,4,15,8,6,13,2,14,5,,
1,6,15,15,2,15,15,3,2,7,5,15,15,4,15,,
12,7,9,14,3,13,10,5,6,1,8,2,15,4,11,,
2,4,1,3,3,1,2,2,4,3,3,1,4,4,6,,
8,5,3,14,15,9,4,13,2,7,11,6,12,10,1,,
2,11,3,5,5,11,5,5,3,11,5,11,11,5,1,,
15,15,4,5,15,7,1,15,15,3,15,6,15,15,2,,
15,14,12,13,1,6,7,2,3,8,5,4,10,9,11,,
11,14,15,2,8,6,10,13,3,9,7,12,1,5,4,,
2,2,15,15,1,15,15,15,2,2,15,2,2,15,15,,
1,4,12,11,3,9,7,15,8,5,13,10,2,14,6,,
