rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
7,7,7,7,7,7,1,1.0,7.0
3,4,7,6,5,2,1,,
1,5,7,2,3,6,4,,
7,7,7,1,7,7,2,,
7,7,7,7,7,7,1,,
3,3,3,2,3,3,1,,
7,7,7,1,7,7,7,,
7,7,3,7,1,4,2,,
4,2,5,1,7,6,3,,
1,7,7,7,7,7,2,,
3,7,7,2,7,7,1,,
7,7,7,7,2,1,3,,
1,7,7,7,7,7,7,,
3,2,5,6,7,4,1,,
7,7,7,7,7,7,1,,
2,7,7,1,3,7,7,,
2,3,7,5,6,4,1,,
1,5,7,2,3,6,4,,
7,7,1,7,7,7,7,,
7,7,7,1,7,7,7,,
4,7,7,7,1,4,4,,
7,1,1,7,7,1,1,,
4,1,3,2,7,5,6,,
1,7,7,7,7,7,7,,
1,7,7,7,2,4,3,,
2,7,7,7,7,7,1,,
1,6,7,4,3,5,2,,
2,5,7,1,7,7,5,,
2,7,7,4,5,7,1,,
2,4,7,1,5,6,3,,
2,5,7,4,1,6,3,,
