rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,numSeats,numCands
24,1,24,1,24,1,24,1,24,24,1,1,24,24,24,24,1,24,1,1,1,1,1,24,1.0,24.0
19,21,1,12,22,14,16,11,20,16,6,2,8,24,10,18,13,4,3,4,5,15,9,23,,
24,24,3,24,24,24,24,24,24,5,24,1,4,24,2,24,24,24,24,24,24,24,24,24,,
13,13,1,8,6,23,5,14,16,7,24,9,3,2,4,13,15,17,13,18,21,22,10,21,,
17,10,1,8,11,2,20,7,4,3,9,12,18,24,21,5,19,13,14,16,22,15,6,23,,
6,9,12,23,18,24,17,19,5,14,16,7,4,15,8,10,13,11,3,2,22,21,1,20,,
7,2,1,6,2,24,22,5,24,24,24,24,7,24,24,24,23,3,23,4,24,2,23,24,,
4,24,3,24,24,24,3,3,24,24,1,24,5,2,24,24,24,24,6,7,24,24,24,24,,
5,8,21,13,2,11,24,10,19,3,22,7,12,1,6,23,16,17,9,14,18,15,4,20,,
24,24,3,24,24,24,24,6,24,24,24,4,24,24,5,24,24,24,1,2,24,24,24,24,,
6,24,24,24,8,24,24,24,24,24,1,24,2,24,3,24,24,24,15,24,24,24,24,24,,
1,24,24,24,24,24,3,24,24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,,
5,24,2,24,24,24,24,8,6,24,24,7,9,4,10,24,24,24,3,1,24,24,24,24,,
7,10,8,9,13,23,14,3,17,15,22,6,21,1,16,20,12,19,2,5,4,11,18,24,,
24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
7,17,23,8,22,20,6,24,15,3,1,19,10,4,21,11,16,2,13,12,14,18,9,5,,
24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
7,6,10,8,19,18,2,1,13,14,22,11,20,23,16,15,12,17,5,4,9,3,21,24,,
24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
13,4,21,5,24,22,7,10,19,11,14,20,8,23,12,16,2,9,6,1,18,3,15,17,,
1,24,2,24,24,24,24,24,24,24,24,15,6,1,24,24,24,16,18,13,24,24,24,24,,
4,19,1,15,23,22,14,7,12,20,9,13,2,24,8,16,17,6,3,11,5,18,10,21,,
21,22,24,16,11,5,23,4,6,13,10,12,20,1,9,17,14,19,18,8,7,15,2,3,,
1,24,4,24,24,24,3,24,24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,,
19,2,7,1,11,15,18,12,10,14,6,23,16,20,13,24,3,5,17,9,22,4,8,21,,
8,14,9,12,7,13,11,10,18,20,16,5,6,23,4,21,17,2,1,3,19,15,22,24,,
8,24,1,3,2,24,5,24,24,6,24,4,7,24,9,24,24,24,10,24,24,24,24,24,,
9,21,7,15,11,24,16,12,10,5,1,22,3,23,20,19,14,8,6,4,18,17,13,2,,
24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
5,2,10,2,24,7,6,1,24,13,1,5,5,24,24,10,2,5,5,24,10,2,10,24,,
6,2,6,7,1,7,2,3,2,6,7,6,24,24,5,5,7,7,5,5,24,7,24,24,,
17,7,23,22,1,12,9,2,24,23,24,4,11,20,12,15,10,21,5,3,14,7,16,19,,
7,23,1,19,16,15,17,2,14,13,3,21,4,10,8,22,18,20,24,6,5,11,12,9,,
5,23,19,21,3,17,14,20,13,8,16,12,6,10,7,4,22,11,1,2,18,24,9,15,,
23,11,5,7,4,23,15,2,23,18,17,23,24,5,11,7,9,23,3,1,11,11,9,16,,
11,13,2,16,21,19,9,1,5,4,10,18,22,24,16,15,12,17,8,23,7,6,3,20,,
15,23,2,18,21,20,16,7,12,14,17,1,4,11,5,10,19,8,3,9,6,23,13,24,,
