rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,numSeats,numCands
5,21,21,21,21,21,3,21,21,2,21,21,21,21,21,4,21,1,21,21,21,1.0,21.0
3,9,21,8,17,9,2,9,5,9,18,9,20,9,9,4,19,1,9,6,9,,
21,21,21,2,21,21,1,21,21,1,21,21,21,21,21,1,21,1,21,3,21,,
2,21,21,4,21,9,3,21,6,7,8,21,21,21,10,5,21,1,11,21,21,,
1,21,21,2,21,2,2,21,2,3,21,21,21,21,2,3,21,1,2,21,21,,
4,18,20,9,14,19,1,16,11,2,8,13,17,10,15,5,7,3,6,12,21,,
21,21,21,21,21,21,3,21,21,1,5,21,21,21,21,4,21,2,21,21,21,,
1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
2,16,19,9,15,6,3,14,10,11,17,13,20,18,8,5,21,1,12,4,7,,
4,21,21,7,21,9,1,21,21,5,21,21,21,21,8,6,21,3,2,21,21,,
1,6,21,3,21,4,2,21,4,3,21,21,21,21,5,2,21,1,6,6,7,,
12,21,21,21,21,21,7,21,21,2,8,21,14,21,21,3,5,1,14,21,14,,
2,21,21,21,21,21,4,21,21,5,21,21,21,21,21,3,21,1,21,21,21,,
2,21,21,21,3,21,21,21,4,21,21,21,21,21,21,21,21,1,21,21,21,,
21,14,17,4,11,15,3,13,5,18,6,9,20,19,10,2,7,1,21,8,16,,
21,21,21,21,21,21,4,21,1,21,21,2,21,6,3,5,21,21,21,21,21,,
1,21,21,7,21,7,3,21,10,11,21,21,21,21,5,4,21,2,8,12,6,,
21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
5,11,18,6,17,10,1,19,9,13,20,16,15,14,8,4,21,2,3,7,12,,
7,17,21,10,14,11,2,19,6,4,9,20,18,16,5,3,13,1,12,8,15,,
20,16,20,20,20,17,4,21,15,19,3,20,21,20,18,2,21,1,20,20,20,,
21,21,21,3,21,21,1,21,21,21,21,21,21,21,21,2,21,21,21,21,21,,
3,21,21,11,21,21,4,21,6,10,8,21,21,21,2,5,21,1,12,7,9,,
2,21,21,21,21,21,3,21,21,21,21,21,21,21,21,21,21,1,21,21,21,,
3,21,21,21,21,21,1,21,21,3,21,21,21,21,21,2,21,2,21,21,21,,
1,12,14,8,19,11,3,18,16,4,21,15,7,9,10,5,20,2,6,13,17,,
2,21,21,3,21,5,4,21,21,21,21,21,21,21,21,3,21,1,21,21,21,,
10,5,21,2,21,4,1,21,21,10,21,21,21,21,10,21,21,3,6,7,21,,
3,21,21,10,21,19,1,21,2,19,21,21,21,21,4,7,21,1,19,8,21,,
13,20,15,6,17,3,2,14,7,8,19,18,16,12,9,5,21,1,11,10,4,,
1,21,21,1,21,21,1,21,21,1,21,21,21,21,21,1,21,1,21,21,21,,
2,21,21,4,21,21,3,21,4,5,21,21,21,21,21,4,21,1,6,21,21,,
11,18,19,5,16,8,2,17,10,1,13,9,21,20,7,3,14,4,6,15,12,,
2,13,18,4,12,11,3,17,6,15,10,9,19,16,7,5,21,1,20,8,14,,
1,21,21,21,21,1,1,21,21,21,21,21,21,21,21,1,21,1,21,21,21,,
2,21,21,1,21,21,2,21,3,3,21,21,21,21,21,2,21,2,21,21,21,,
3,21,21,5,21,21,1,21,21,7,21,21,21,21,21,4,21,2,6,21,21,,
21,21,21,21,21,2,21,21,21,21,21,21,21,21,21,21,21,21,21,1,21,,
4,19,21,8,19,11,3,21,6,1,12,20,21,20,9,5,21,2,12,10,7,,
21,21,21,21,21,21,2,21,21,21,21,21,21,4,3,21,21,1,21,21,21,,
4,10,21,6,21,13,3,21,5,7,21,21,21,21,11,2,21,1,8,12,9,,
7,21,21,5,21,21,3,21,2,4,21,21,21,21,21,6,21,1,21,21,21,,
8,10,19,4,16,12,1,17,13,7,9,18,20,14,6,2,21,3,5,11,15,,
1,3,21,2,20,2,1,21,1,1,20,20,21,3,2,2,21,1,2,20,3,,
1,21,21,1,21,21,1,21,21,21,21,21,21,21,21,1,21,1,4,21,21,,
6,16,18,7,14,17,1,13,5,3,9,12,20,19,11,4,21,2,8,10,15,,
4,14,13,6,11,12,2,20,8,5,18,15,19,17,9,3,21,1,7,16,10,,
2,21,21,21,21,21,4,21,21,21,21,21,21,21,5,3,21,1,6,21,21,,
4,15,21,9,18,13,3,19,6,5,14,17,21,20,7,1,21,2,10,8,16,,
3,21,21,5,21,7,2,21,21,4,21,21,21,21,21,5,21,1,6,21,21,,
