rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,numSeats,numCands
32,32,9,5,3,32,8,29,6,30,32,32,4,32,27,28,32,32,31,32,32,2,32,32,7,1,32,32,32,32,32,32,1.0,32.0
1,29,22,4,9,15,24,2,17,19,8,11,13,14,21,27,25,27,12,5,23,6,3,30,20,31,29,10,18,27,7,16,,
32,32,32,32,32,32,32,32,6,32,32,3,32,32,32,32,1,2,32,32,32,32,32,32,5,32,32,32,4,32,32,32,,
6,7,9,3,1,18,3,1,5,5,12,3,4,16,2,5,8,13,2,3,6,1,15,11,17,1,2,4,14,10,6,2,,
10,3,32,2,32,17,32,32,32,32,32,2,32,3,32,5,32,8,32,4,7,4,2,1,32,32,10,32,6,23,9,32,,
21,7,23,10,22,24,15,9,8,26,17,5,11,18,13,16,28,6,1,29,30,3,27,25,2,4,19,32,31,20,12,14,,
13,30,18,21,2,30,14,12,5,20,30,8,3,31,1,9,17,30,10,6,19,11,30,30,32,30,16,15,30,30,7,4,,
2,22,8,31,19,25,32,1,17,16,1,2,3,3,32,14,24,15,21,3,18,29,28,32,4,10,26,20,32,30,5,17,,
1,2,1,1,2,32,1,1,1,32,1,1,1,32,1,1,32,2,1,2,32,1,1,2,1,1,1,32,32,1,1,1,,
6,13,32,16,32,10,14,9,32,32,3,32,8,32,7,32,32,32,4,32,17,12,2,11,32,1,32,32,15,32,32,5,,
1,32,27,32,32,32,32,32,26,30,32,32,32,32,29,32,32,31,32,32,32,32,32,32,32,32,32,32,32,32,28,32,,
12,8,5,5,6,23,32,1,32,5,14,9,2,1,5,1,32,6,2,32,32,32,1,32,32,6,32,7,13,16,32,32,,
5,18,7,22,10,20,14,27,13,2,24,3,25,22,9,25,18,8,21,20,29,10,7,25,13,13,23,22,4,19,12,7,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,2,32,32,1,1,1,32,32,32,2,32,,
13,1,19,14,3,26,12,20,22,17,4,24,31,30,28,11,23,8,2,18,29,5,27,21,7,16,10,32,15,6,9,25,,
9,23,10,16,2,20,7,15,18,1,8,22,19,11,4,3,25,28,12,14,13,27,31,30,24,29,21,6,32,26,5,17,,
32,32,32,32,7,3,32,32,1,32,5,32,32,32,32,6,8,32,32,32,32,4,32,32,32,32,32,2,32,32,32,32,,
30,1,23,2,32,32,32,29,28,27,22,21,19,24,32,17,20,32,32,26,32,32,25,32,18,32,32,32,32,32,31,32,,
8,25,16,6,14,29,3,9,7,24,13,4,17,26,15,18,12,31,30,11,21,2,32,20,10,28,22,5,23,27,1,19,,
32,2,32,32,32,32,32,32,32,32,32,4,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,5,32,3,,
6,30,20,16,3,15,12,7,4,23,21,8,1,28,31,10,25,22,5,26,32,9,29,14,18,24,17,11,2,19,13,27,,
7,18,27,10,11,31,15,20,14,23,25,21,13,29,2,6,19,16,3,8,27,1,17,28,12,4,24,30,32,9,5,22,,
3,32,1,32,32,32,32,1,1,1,32,1,32,32,31,1,1,1,32,2,32,32,32,32,1,32,1,32,21,32,1,1,,
13,24,12,11,9,21,29,28,5,31,16,14,26,20,1,32,23,10,7,2,27,8,22,30,17,15,25,19,18,4,3,6,,
15,21,23,4,11,15,29,3,10,12,6,2,6,24,32,28,19,18,4,21,15,7,25,32,13,8,32,12,23,6,2,22,,
26,31,23,15,8,14,3,18,19,29,10,17,1,27,4,32,25,7,2,16,28,5,24,30,21,12,9,13,11,6,20,22,,
10,6,9,29,14,14,27,5,26,21,8,16,5,14,4,16,18,17,7,3,17,4,10,8,4,7,10,12,21,15,2,20,,
32,5,11,2,6,32,3,32,4,32,7,32,32,32,23,5,32,32,11,6,25,1,32,32,32,10,20,32,12,13,32,15,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,2,32,32,3,32,32,32,32,4,32,32,32,32,32,32,,
31,9,31,31,10,31,3,31,1,31,31,31,31,31,11,7,31,5,31,31,32,2,31,31,6,31,31,31,4,8,31,31,,
32,32,5,32,32,32,32,10,32,32,32,1,32,32,32,32,32,7,3,32,9,32,9,32,2,32,4,9,32,6,32,32,,
7,32,6,32,32,32,16,14,32,3,5,8,32,32,17,32,12,32,32,1,4,10,32,32,32,9,13,15,32,11,2,32,,
14,11,27,7,21,32,3,19,5,18,6,22,12,26,16,17,13,25,4,24,29,1,15,30,20,28,10,23,31,9,8,2,,
