rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,numSeats,numCands
26,24,5,17,20,3,11,16,1,19,12,9,14,28,30,8,23,13,4,10,27,15,7,18,22,29,21,6,25,2,1.0,30.0
30,30,30,30,30,3,30,30,30,30,30,30,30,30,30,30,30,3,30,4,30,1,30,30,30,30,30,30,30,30,,
5,14,26,1,4,12,20,3,6,16,25,18,16,14,29,15,18,9,11,18,19,2,30,21,10,17,7,12,8,13,,
4,20,29,3,6,28,11,21,2,10,19,14,9,26,27,22,13,15,23,12,30,1,7,16,18,25,8,24,17,5,,
4,16,25,1,3,14,18,3,13,19,28,24,20,11,29,17,27,7,8,15,26,2,23,22,12,21,5,9,6,10,,
19,25,29,2,21,7,9,15,6,26,22,18,27,13,30,11,23,4,17,3,24,1,5,16,28,8,12,20,14,10,,
2,30,7,14,30,30,13,30,9,30,30,30,30,30,11,30,30,30,12,10,30,3,8,1,30,30,6,30,4,5,,
18,17,10,22,12,5,19,6,7,30,11,1,24,8,2,4,16,3,21,14,20,9,28,26,25,15,23,13,25,27,,
30,5,30,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6,30,2,4,3,30,30,30,30,30,30,,
1,16,15,6,14,10,19,7,12,30,23,18,29,22,28,17,18,8,26,3,9,2,11,4,21,13,19,27,5,26,,
30,30,30,30,30,30,4,2,30,5,30,9,6,30,30,30,30,11,1,3,30,23,10,30,30,30,30,30,30,7,,
17,28,7,3,15,16,29,12,8,9,18,19,14,21,27,4,13,6,23,5,30,2,11,10,20,25,26,22,1,24,,
12,15,16,6,23,26,14,21,5,28,17,8,24,27,30,2,22,4,18,11,29,9,10,13,25,19,7,20,1,3,,
6,13,28,1,4,17,22,3,16,14,29,23,11,12,30,19,25,7,10,18,27,2,21,26,20,24,5,9,8,15,,
17,29,30,11,26,8,10,6,5,28,16,9,25,20,14,3,24,13,27,7,22,1,23,15,19,2,4,21,18,12,,
15,27,30,5,11,30,3,28,9,30,13,30,30,30,30,1,16,29,30,14,30,1,8,2,30,7,6,4,12,10,,
29,1,30,30,29,29,1,29,29,29,29,1,1,30,29,29,29,1,1,30,1,29,30,30,1,1,29,29,29,30,,
16,28,17,14,19,9,10,23,1,30,22,5,29,24,26,3,20,13,11,12,27,7,18,8,15,21,2,25,4,6,,
4,28,30,2,16,13,22,12,8,23,27,5,29,1,6,21,19,9,7,14,10,26,18,3,15,20,11,17,24,25,,
11,30,30,7,30,3,30,11,30,30,12,6,30,30,30,8,30,9,30,2,30,1,30,10,30,5,4,30,30,30,,
8,24,19,2,21,22,23,18,17,29,26,16,28,6,14,20,25,30,10,3,4,1,11,7,9,27,15,5,13,12,,
17,21,16,1,22,9,14,10,12,29,15,23,28,30,13,2,24,11,19,3,20,4,25,7,18,26,27,8,5,6,,
11,28,19,9,22,15,5,29,17,24,7,18,21,2,27,20,25,12,26,4,10,1,30,8,23,3,6,16,14,13,,
11,23,30,8,20,14,6,24,18,27,19,13,27,27,10,4,23,28,12,2,29,1,17,16,3,9,7,21,5,15,,
2,30,2,1,3,5,30,11,30,30,30,30,30,7,30,30,30,6,10,30,30,6,30,4,8,30,30,9,12,13,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2,30,30,30,30,30,30,1,30,,
7,23,4,12,13,25,6,16,20,29,15,18,22,27,17,24,21,5,26,9,19,1,2,3,8,15,15,30,10,28,,
16,30,23,20,27,3,10,26,11,28,25,4,29,21,19,9,24,13,5,17,12,1,18,2,22,14,6,15,7,8,,
10,22,7,3,16,13,30,17,8,15,11,19,25,18,29,5,12,6,23,4,26,2,14,9,20,28,27,24,1,21,,
5,9,27,26,12,25,14,8,10,1,18,29,6,21,15,13,23,24,11,3,30,7,4,2,28,17,16,20,22,19,,
4,23,22,10,24,29,19,30,3,27,25,5,28,8,26,14,9,13,20,2,12,1,6,7,17,18,21,11,15,16,,
17,22,20,2,21,28,5,27,6,19,29,24,20,7,13,10,3,11,23,9,30,1,4,16,25,26,8,14,12,18,,
8,29,15,12,5,14,17,28,1,27,30,18,25,3,26,11,9,6,22,19,24,10,19,20,7,13,16,2,21,4,,
16,27,6,8,21,10,9,23,3,17,24,11,22,18,28,2,20,13,29,5,30,1,7,12,19,4,14,25,26,15,,
2,26,29,4,24,6,17,28,13,23,25,7,18,22,30,1,15,5,11,27,19,14,16,21,3,12,10,8,20,9,,
15,14,30,17,13,3,30,30,2,30,30,30,30,30,7,9,8,1,4,30,30,30,19,12,10,18,5,15,11,6,,
23,29,7,6,9,10,8,21,15,28,21,12,22,27,27,21,11,21,13,3,27,2,4,5,24,14,21,30,1,16,,
3,26,27,7,24,21,15,19,9,29,25,13,28,14,23,20,22,8,30,2,18,1,5,4,16,10,12,11,6,17,,
