rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,numSeats,numCands
77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,77,77,77,2,2,77,77,77,10,77,77,77,77,77,77,77,77,77,77,5,77,2,77,77,77,77,77,3,77,77,77,77,77,77,77,77,2,77,77,77,77,2,77,77,77,77,1,77,1,77,77,77,77,77,77,77,77,77,77,77,77,77,1.0,77.0
4,2,4,3,1,3,2,1,5,3,3,2,1,2,1,3,1,3,3,4,3,4,5,2,3,2,4,3,3,5,3,5,4,3,1,1,3,2,4,2,5,4,3,5,2,2,5,4,2,2,1,2,2,2,5,1,3,3,4,1,2,3,4,4,5,2,4,3,1,4,5,3,4,4,2,3,5,,
77,77,77,77,77,77,1,77,77,77,77,77,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,1,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,,
5,2,5,1,2,2,2,2,5,3,2,2,1,2,3,3,2,3,3,2,5,1,3,2,2,2,2,2,5,5,3,5,3,2,2,1,4,3,4,2,3,4,1,5,3,2,4,2,2,1,1,1,3,3,4,3,3,3,3,2,4,3,3,2,2,1,2,1,2,4,3,2,4,2,1,4,5,,
50,6,15,13,36,32,69,26,72,17,33,16,31,13,9,34,11,60,62,70,72,60,38,23,56,68,42,33,77,74,5,37,70,60,14,24,40,69,38,37,67,58,61,70,41,14,70,41,12,2,35,61,9,62,75,4,18,12,10,30,63,8,29,64,25,24,71,39,28,73,3,32,67,1,7,68,77,,
62,71,61,25,5,38,7,60,48,2,68,3,46,59,65,31,4,13,45,58,55,53,67,26,35,30,14,49,52,43,11,73,72,47,16,6,54,19,42,10,56,18,77,76,36,9,69,34,24,15,75,28,39,27,63,41,29,32,22,17,51,21,70,40,57,23,37,74,8,66,33,64,50,1,20,12,44,,
73,73,75,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1,73,73,76,73,73,73,72,73,73,73,77,73,73,73,73,73,73,73,73,73,3,73,73,73,73,73,73,74,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,73,73,,
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,,
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,77,77,3,77,77,77,77,77,77,77,77,77,77,77,77,77,2,77,1,2,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,,
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,,
