rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
16,16,16,16,16,16,16,16,16,16,1,16,16,16,16,16,1.0,16.0
6,12,8,11,1,4,3,6,10,9,2,9,5,1,7,16,,
7,13,14,6,4,2,11,8,1,16,12,15,3,10,5,9,,
3,13,6,7,1,8,5,14,10,16,4,2,11,12,9,15,,
12,15,2,4,9,10,1,13,11,7,3,8,5,6,14,16,,
9,3,10,8,5,11,6,7,1,14,2,15,12,4,13,16,,
11,13,6,2,9,10,1,12,5,14,4,16,15,7,8,3,,
2,9,10,14,11,1,6,5,7,13,8,15,3,16,4,12,,
8,9,7,14,10,13,2,8,12,6,4,5,13,1,11,3,,
2,16,11,5,7,4,8,3,15,14,12,13,9,10,6,1,,
16,16,16,16,16,16,16,16,16,16,16,16,16,1,16,16,,
15,8,13,14,7,6,3,10,9,2,11,1,12,16,5,4,,
16,1,16,16,16,16,16,16,16,16,16,16,16,2,16,16,,
5,16,16,6,2,4,3,16,16,1,16,16,16,16,16,16,,
14,12,3,5,10,6,2,7,11,15,1,16,9,13,8,4,,
5,16,16,3,7,1,16,8,6,16,16,16,2,16,4,16,,
3,12,14,6,11,13,4,8,10,16,5,15,7,9,2,1,,
4,16,14,9,3,12,15,6,2,8,10,7,13,1,5,11,,
7,1,2,6,14,12,15,11,13,5,3,8,10,9,16,4,,
16,16,16,16,16,16,16,16,16,16,16,16,16,1,16,16,,
10,4,8,6,5,12,13,14,7,2,9,15,16,1,3,11,,
2,2,2,2,2,2,2,3,2,2,1,16,2,2,2,15,,
14,1,3,15,14,16,6,14,14,2,7,2,14,5,14,4,,
16,16,3,5,16,16,7,16,16,1,4,2,16,16,6,16,,
16,16,16,16,16,16,16,16,16,1,16,1,16,1,16,16,,
3,12,6,5,15,1,13,11,7,10,8,4,9,16,2,14,,
5,11,12,6,1,14,3,16,8,4,15,7,13,9,10,2,,
12,16,16,4,16,16,3,16,5,16,1,16,16,16,16,2,,
15,8,6,1,15,4,5,15,9,15,16,7,4,10,15,2,,
7,1,3,12,14,11,6,2,10,15,9,16,5,13,4,8,,
1,16,16,16,6,3,4,5,16,16,16,16,16,16,2,16,,
16,14,3,12,7,10,1,13,5,8,6,4,11,2,15,9,,
13,13,13,13,13,13,12,13,13,13,1,14,13,15,13,16,,
2,16,16,16,16,16,16,16,16,16,16,1,16,16,16,16,,
16,4,1,10,11,6,3,16,7,5,2,8,9,13,14,12,,
13,13,12,5,8,4,16,6,11,11,14,7,3,9,7,1,,
12,6,9,3,13,5,2,16,4,8,1,15,10,7,11,14,,
