rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
5,2,4,1,6,3,1.0,6.0
Skipped,1,Skipped,2,3,Skipped,,
6,3,5,2,1,4,,
5,4,3,2,6,1,,
1,1,1,1,1,1,,
6,1,4,2,3,5,,
6,5,4,1,2,3,,
1,1,1,1,1,1,,
6,6,6,6,6,6,,
6,4,3,5,2,1,,
6,1,5,4,3,2,,
3,1,5,2,2,4,,
5,3,4,6,1,2,,
5,3,5,2,4,1,,
3,5,2,6,4,1,,
5,3,6,2,1,4,,
4,1,6,3,2,6,,
2,2,1,3,4,4,,
1,1,1,1,1,1,,
6,3,4,2,1,5,,
4,2,1,6,5,3,,
6,6,6,2,1,3,,
1,1,1,1,1,1,,
5,1,4,3,6,2,,
3,4,6,2,1,5,,
1,1,1,1,1,1,,
6,3,5,2,1,4,,
Skipped,Skipped,Skipped,1,1,Skipped,,
6,3,5,1,2,4,,
6,4,5,1,2,3,,
6,3,4,1,2,5,,
6,5,3,1,2,4,,
4,3,6,1,2,5,,
6,3,5,2,1,4,,
4,1,3,6,5,2,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
6,4,5,3,1,2,,
6,3,5,1,2,4,,
Skipped,3,Skipped,2,1,Skipped,,
1,1,1,1,1,1,,
Skipped,3,Skipped,2,1,Skipped,,
6,4,3,2,5,1,,
2,6,2,1,1,2,,
1,2,6,4,3,5,,
1,1,1,1,1,1,,
1,1,1,1,1,1,,
5,4,6,2,1,3,,
4,3,6,2,1,5,,
4,3,2,1,6,6,,
3,4,6,1,2,5,,
5,3,4,2,1,6,,
6,6,6,6,6,6,,
1,1,1,1,1,1,,
6,4,5,1,2,3,,
1,1,1,1,1,1,,
4,1,3,6,5,2,,
1,1,1,1,1,1,,
Skipped,Skipped,Skipped,2,1,Skipped,,
1,4,3,5,6,2,,
1,1,1,1,1,1,,
1,5,6,3,4,2,,
