rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
15,5,15,2,8,15,4,15,15,6,15,3,15,7,1,1.0,15.0
15,5,15,1,15,15,4,15,15,15,15,2,15,15,3,,
9,15,8,5,6,10,2,14,7,12,11,4,13,3,1,,
7,5,13,2,8,12,4,15,10,6,11,1,14,9,3,,
9,15,8,4,5,10,2,14,7,12,11,3,13,6,1,,
11,15,7,4,8,9,2,14,6,12,10,3,13,5,1,,
15,3,15,1,7,15,5,15,15,6,15,2,15,8,4,,
9,15,7,5,6,10,2,14,8,12,11,4,13,3,1,,
15,5,15,3,7,15,4,15,15,6,15,2,15,8,1,,
11,15,7,4,8,9,2,14,6,12,10,3,13,5,1,,
9,15,7,1,1,8,2,13,6,11,10,4,12,5,3,,
15,5,15,1,15,15,4,15,15,6,15,2,15,15,3,,
15,5,15,3,7,15,4,15,15,6,15,1,15,8,2,,
12,1,11,2,7,13,5,15,10,6,9,3,14,8,4,,
9,15,8,4,6,11,2,14,7,12,10,5,13,3,1,,
9,15,7,5,6,10,2,14,8,12,11,3,13,4,1,,
10,15,7,5,6,9,3,14,8,12,11,4,13,1,2,,
10,14,7,3,5,11,2,12,6,8,9,15,13,4,1,,
15,5,15,3,7,15,4,15,15,6,15,1,15,8,2,,
15,5,15,2,7,15,4,15,15,6,15,3,15,15,1,,
10,15,7,3,6,9,2,14,8,12,11,4,13,1,5,,
15,4,15,3,7,15,5,15,15,6,15,1,15,8,2,,
9,1,13,2,7,12,5,15,10,6,11,4,14,8,3,,
8,5,15,2,7,15,4,15,15,6,10,1,15,9,3,,
8,15,5,4,9,7,3,13,6,11,10,14,12,2,1,,
10,15,8,6,3,9,4,13,7,2,11,5,12,1,2,,
15,5,15,3,15,15,4,15,15,6,15,1,15,15,2,,
10,15,8,5,6,9,3,14,7,12,11,4,13,2,1,,
9,14,8,6,5,10,2,13,7,2,11,4,12,1,3,,
9,15,6,4,8,11,2,14,7,13,12,3,10,5,1,,
15,5,15,3,15,15,4,15,15,6,15,1,15,7,2,,
15,5,15,1,15,15,4,15,15,6,15,2,15,14,3,,
15,4,15,2,7,15,5,15,15,6,15,1,15,8,3,,
11,15,7,2,4,8,5,14,6,10,12,13,9,3,1,,
10,15,7,5,6,9,3,13,8,12,11,4,14,1,2,,
10,15,7,1,5,11,3,12,6,9,8,15,13,2,4,,
15,5,15,1,7,15,4,15,15,6,15,3,15,8,2,,
6,15,9,4,7,8,2,14,10,12,13,3,11,5,1,,
10,15,6,1,3,7,2,13,8,5,9,12,11,14,4,,
15,5,15,2,15,15,4,15,15,6,15,1,15,15,3,,
9,15,6,1,11,8,2,14,7,12,10,4,13,5,3,,
10,15,7,5,6,9,2,14,8,12,11,3,13,1,4,,
