rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,numSeats,numCands
8,22,22,5,10,22,3,22,22,4,23,1,2,7,22,22,31,31,31,22,22,6,31,9,22,24,22,22,22,22,22,1.0,31.0
31,11,4,16,12,5,17,31,31,3,15,31,14,10,31,20,31,31,13,9,18,31,31,31,31,19,7,6,8,2,1,,
31,2,31,31,31,5,31,31,31,31,31,31,31,1,31,31,31,31,31,31,31,31,4,31,31,31,31,31,31,31,3,,
1,1,2,31,3,2,31,2,31,31,31,31,1,5,2,31,1,31,31,1,31,2,31,31,1,31,31,1,31,1,2,,
6,16,31,11,16,14,31,10,31,2,31,31,20,10,4,7,31,31,8,15,15,16,31,31,8,16,3,6,31,3,12,,
29,28,17,5,11,1,24,30,18,15,31,27,22,4,12,23,7,10,20,13,26,16,4,25,4,19,21,6,14,9,8,,
21,18,8,25,10,20,31,19,22,28,14,17,7,6,4,9,11,26,12,29,27,23,24,16,13,15,30,5,3,1,2,,
2,31,31,31,31,31,31,31,31,31,31,4,3,31,31,31,31,10,5,31,8,31,1,31,31,31,31,6,31,9,7,,
31,31,6,31,31,31,31,31,31,5,31,3,31,9,31,31,31,31,1,31,10,31,31,31,7,8,31,4,2,31,31,,
25,18,6,28,8,21,14,31,24,4,29,3,16,17,7,15,12,26,22,27,10,30,23,19,13,5,9,1,20,2,11,,
9,25,16,20,15,28,8,31,27,1,5,23,14,12,10,2,11,21,3,26,19,17,13,18,6,7,30,4,24,22,29,,
31,31,31,2,31,3,31,31,7,31,31,4,9,5,31,31,31,31,31,6,8,10,1,31,31,31,31,31,31,31,31,,
6,31,31,31,31,31,31,31,31,2,31,31,8,1,4,31,3,31,31,1,7,31,5,31,31,31,31,9,31,31,31,,
6,17,9,3,16,7,19,30,23,4,28,20,25,1,14,10,15,24,22,26,12,27,2,21,13,31,11,18,29,8,5,,
30,3,6,30,30,31,1,31,3,31,31,4,31,30,30,31,2,30,2,4,30,1,6,1,5,30,3,31,1,31,5,,
25,3,28,4,1,22,13,7,11,6,31,20,10,17,23,28,26,29,16,9,21,18,14,15,30,2,5,19,12,8,24,,
9,18,21,15,12,28,11,30,10,27,25,7,19,16,26,5,22,14,24,17,20,2,8,1,3,31,6,23,4,29,13,,
15,1,24,11,12,2,29,5,25,13,21,17,18,14,26,23,19,9,20,10,27,31,8,4,28,30,3,7,22,6,16,,
13,19,9,23,11,26,31,25,8,29,3,21,6,1,30,5,10,18,20,4,27,7,24,15,28,22,12,14,2,17,16,,
13,28,2,24,31,10,18,5,11,15,31,27,3,20,12,31,30,25,29,1,17,12,26,19,14,23,10,9,21,16,22,,
31,9,31,10,1,31,31,31,31,1,31,2,31,1,8,31,31,31,31,6,31,31,31,31,31,5,3,31,31,4,31,,
10,17,8,26,25,29,4,16,28,20,30,13,6,21,1,31,12,11,14,7,9,27,3,24,23,22,19,2,18,15,5,,
13,27,7,26,28,2,24,29,18,25,15,20,12,23,9,6,8,10,11,3,22,31,17,16,19,30,21,5,4,14,1,,
7,31,1,2,31,6,31,31,31,31,31,31,10,31,31,31,8,31,5,4,31,31,31,31,31,31,31,3,31,31,9,,
4,11,1,5,9,3,30,24,27,16,19,17,25,12,22,13,26,18,14,10,21,29,15,8,23,28,20,7,6,31,2,,
31,9,31,31,31,10,31,2,31,31,3,31,31,31,7,6,31,31,31,31,31,31,8,31,3,31,31,31,1,31,5,,
23,18,13,2,5,29,9,30,25,16,21,17,31,14,8,4,28,27,7,11,20,15,26,3,12,6,1,10,24,19,22,,
13,30,8,25,18,1,23,29,17,10,31,27,2,4,26,5,24,16,19,28,15,22,20,11,9,6,12,7,21,14,3,,
31,3,31,31,5,31,31,31,1,31,31,2,31,3,31,7,31,5,31,31,31,31,6,2,31,31,6,31,31,31,31,,
10,3,2,14,15,23,18,27,19,1,24,11,28,6,8,12,29,25,20,13,16,21,7,9,17,31,26,4,22,5,30,,
24,7,14,27,2,4,25,31,17,11,30,6,18,1,5,10,28,12,19,5,23,20,3,9,16,22,29,13,21,8,15,,
28,9,17,25,1,27,19,3,20,15,13,23,30,6,21,8,2,26,16,5,22,12,24,14,29,18,11,31,10,4,7,,
4,21,9,11,8,25,24,13,23,18,14,30,5,12,31,3,17,7,16,6,22,29,20,26,1,27,10,2,28,19,15,,
31,31,2,31,4,5,31,31,31,31,31,31,31,3,31,31,31,31,31,31,31,31,1,31,31,31,31,6,31,31,31,,
4,25,30,10,6,13,14,16,23,28,20,31,1,17,24,7,8,11,26,18,2,29,12,27,5,21,19,15,3,9,22,,
26,12,8,22,21,18,1,25,23,15,4,17,5,24,20,9,29,27,3,28,7,19,31,11,6,10,14,2,13,30,16,,
11,16,9,17,5,31,30,22,15,12,13,14,21,2,25,28,24,27,3,20,7,26,1,19,29,8,6,4,10,23,18,,
3,25,2,20,6,15,30,8,26,29,10,28,13,1,31,18,11,16,17,12,24,19,22,21,5,14,9,23,4,7,27,,
9,30,6,10,30,30,7,4,30,30,2,30,30,30,30,30,4,30,1,30,30,30,30,30,1,6,30,30,2,30,30,,
31,31,31,5,3,10,31,31,31,31,31,4,31,31,31,1,6,31,31,31,31,31,9,31,31,31,2,31,11,7,8,,
31,2,31,31,31,31,31,31,31,31,31,31,31,6,31,31,31,31,31,5,31,31,31,4,31,31,31,31,1,3,31,,
