rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
8,7,1,5,6,4,9,2,3,1.0,9.0
2,3,9,4,7,5,6,8,1,,
5,6,7,1,2,3,4,9,9,,
8,9,8,9,7,8,5,9,7,,
6,9,8,1,3,2,7,5,4,,
6,7,3,1,2,8,9,5,4,,
7,8,4,6,5,1,9,3,2,,
2,3,1,1,1,2,3,2,4,,
4,6,3,1,8,7,9,2,5,,
6,9,4,1,5,3,8,2,7,,
5,4,3,1,7,6,2,8,9,,
7,8,1,4,5,9,6,3,2,,
4,3,6,9,5,8,7,2,1,,
4,7,2,3,5,1,6,8,9,,
4,8,9,1,6,2,7,5,3,,
5,6,8,1,3,4,7,2,9,,
1,7,8,3,5,2,9,4,6,,
9,8,8,9,8,9,7,9,9,,
1,3,2,7,4,9,8,6,5,,
5,9,3,4,2,7,8,1,6,,
2,5,3,1,8,6,9,7,4,,
7,9,6,1,3,2,8,4,5,,
9,5,3,6,1,8,7,2,4,,
7,8,4,5,2,6,9,1,3,,
9,6,5,1,3,2,7,3,8,,
9,6,1,9,2,7,4,3,5,,
6,5,9,1,4,3,8,2,7,,
4,7,2,5,9,1,8,3,6,,
9,3,8,1,2,7,5,6,4,,
7,5,2,3,4,9,8,1,6,,
1,7,8,4,6,2,9,3,5,,
8,6,7,3,5,2,9,1,4,,
8,7,3,5,9,4,2,1,6,,
9,6,2,1,5,3,4,8,7,,
6,7,8,1,2,3,5,4,9,,
9,7,3,4,5,2,8,1,6,,
2,8,3,3,5,5,8,2,1,,
1,7,2,4,9,5,8,6,3,,
6,9,4,1,5,3,8,7,2,,
