rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
3,10,2,13,5,9,8,1,7,12,11,4,6,1.0,13.0
1,10,5,13,9,7,11,2,3,8,12,4,6,,
13,12,9,4,1,3,6,5,11,10,8,7,2,,
2,9,8,12,11,5,7,4,6,13,10,1,3,,
12,5,4,6,11,9,1,3,13,10,7,2,8,,
1,3,4,13,1,4,2,13,1,4,3,13,13,,
1,5,9,4,3,8,11,7,13,12,10,6,2,,
11,13,3,8,1,10,2,4,12,9,5,6,7,,
12,6,5,13,9,11,8,1,10,7,4,3,2,,
1,11,7,8,3,4,2,12,9,6,13,10,5,,
2,5,11,7,2,3,6,12,9,4,10,8,1,,
1,8,7,10,4,6,12,11,2,3,13,9,5,,
13,6,8,2,13,4,9,13,7,5,10,11,1,,
2,8,11,13,1,7,4,3,5,12,10,9,6,,
1,3,13,12,4,7,6,10,2,5,11,9,8,,
1,4,11,5,13,3,7,12,9,2,10,6,8,,
2,4,12,1,11,8,5,10,3,7,13,9,6,,
3,6,9,13,8,5,13,4,1,7,13,13,2,,
2,6,12,3,8,7,1,9,4,5,11,13,10,,
1,3,13,10,6,2,9,7,5,4,11,8,12,,
1,8,4,13,2,7,6,11,3,12,9,10,5,,
2,7,4,9,1,10,11,5,12,8,13,3,6,,
3,1,9,13,8,5,7,2,6,4,12,10,11,,
1,13,13,13,4,13,6,13,5,13,13,13,2,,
6,10,1,11,4,9,7,2,8,12,13,3,5,,
5,1,9,1,1,4,1,1,1,2,1,1,1,,
1,13,13,13,10,13,13,13,13,12,13,13,13,,
3,2,12,6,9,11,5,7,13,1,10,8,4,,
5,10,7,13,1,9,8,3,11,12,6,2,4,,
1,8,6,13,2,11,3,4,5,12,10,7,9,,
10,1,12,9,13,3,4,8,6,2,5,7,11,,
4,8,9,7,2,10,11,6,12,13,1,3,5,,
7,13,4,13,1,8,13,2,5,13,13,3,6,,
6,11,12,9,1,8,7,5,3,10,13,4,2,,
3,12,7,13,1,13,10,2,9,13,6,4,13,,
5,6,13,13,1,13,13,2,3,13,13,4,4,,
1,9,12,4,2,6,6,8,3,11,13,10,5,,
4,10,5,13,2,11,6,1,8,9,12,3,7,,
12,5,10,11,1,7,3,8,9,6,4,13,2,,
1,7,3,10,11,8,4,6,12,2,13,5,9,,
1,4,4,4,4,4,2,4,3,4,4,4,4,,
4,1,8,5,13,3,7,10,6,2,12,9,11,,
2,9,7,10,4,8,3,12,11,5,13,6,1,,
1,4,6,6,2,6,6,6,3,5,6,6,6,,
1,13,7,4,6,2,3,8,11,5,10,9,12,,
1,3,12,9,6,8,2,10,7,4,11,13,5,,
13,12,9,6,4,11,10,7,3,5,2,1,8,,
1,1,13,13,13,4,13,13,13,2,13,3,5,,
1,4,12,8,2,7,6,11,5,3,13,10,9,,
5,13,7,11,1,9,8,2,4,12,10,6,3,,
1,9,8,11,2,10,4,6,3,12,13,7,5,,
1,6,10,7,9,4,5,13,8,3,11,12,2,,
