rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
7,8,4,2,5,1,3,9,10,6,1.0,10.0
3,9,8,1,4,5,10,7,6,2,,
9,4,8,2,1,10,6,7,5,3,,
5,1,6,7,10,4,8,2,9,3,,
2,7,10,1,4,8,5,6,9,3,,
6,3,1,9,5,4,10,7,2,8,,
5,8,2,4,3,1,7,10,9,6,,
8,2,9,6,4,10,3,7,5,1,,
5,8,3,1,7,9,10,4,6,2,,
1,8,4,2,7,3,10,9,6,5,,
8,1,3,5,2,4,7,9,10,6,,
10,1,7,5,1,8,3,4,9,6,,
8,1,4,6,2,3,5,10,9,7,,
2,10,3,10,1,10,10,10,10,10,,
10,2,1,6,3,7,9,4,8,5,,
7,2,4,3,6,8,9,1,10,5,,
10,7,4,2,5,1,6,3,9,8,,
1,10,4,5,6,3,9,8,7,2,,
5,4,9,1,8,10,3,6,7,2,,
10,1,2,3,8,4,6,5,9,7,,
5,10,2,3,4,1,9,8,7,6,,
8,6,5,2,3,4,10,7,9,1,,
3,2,8,6,4,10,1,7,5,9,,
6,5,2,8,7,3,4,10,9,1,,
9,6,3,1,5,4,8,10,2,7,,
6,8,4,3,2,1,10,9,5,7,,
9,2,5,4,8,3,6,7,10,1,,
2,4,6,7,3,9,10,5,1,8,,
6,10,3,1,4,2,10,5,7,10,,
4,5,1,7,2,3,6,9,10,8,,
1,5,10,1,7,2,6,9,8,3,,
8,4,6,5,10,7,1,9,3,2,,
4,2,9,6,3,10,7,8,5,1,,
8,7,3,5,9,2,6,1,10,4,,
