rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
8,9,3,2,6,7,10,5,1,4,1.0,10.0
9,10,5,7,8,2,3,4,1,6,,
6,8,5,1,3,9,10,4,2,7,,
1,5,3,4,2,10,9,7,6,8,,
6,1,7,10,9,4,5,2,3,8,,
6,1,7,10,9,4,5,2,3,8,,
2,5,1,3,4,7,8,9,6,10,,
5,9,2,7,3,10,8,1,4,6,,
2,8,5,9,7,3,6,10,1,4,,
3,1,5,8,4,9,10,2,7,6,,
4,7,8,5,1,10,9,3,2,6,,
3,9,6,8,4,7,10,2,5,1,,
8,10,4,6,2,5,7,1,9,3,,
4,10,9,8,1,6,7,3,2,5,,
6,10,7,4,2,8,3,1,5,9,,
6,10,4,1,3,10,10,2,5,10,,
1,9,3,5,6,10,8,7,4,2,,
1,9,10,7,2,4,5,3,6,8,,
7,9,3,2,1,8,10,4,5,6,,
2,7,3,4,6,9,10,5,1,8,,
2,3,8,6,4,9,7,5,1,10,,
1,3,4,9,10,8,6,5,2,7,,
3,9,5,7,2,8,10,1,4,6,,
1,3,9,7,6,4,5,2,8,10,,
2,10,6,4,5,9,8,1,3,7,,
4,10,3,5,7,8,9,6,1,2,,
10,10,10,10,10,10,10,10,10,10,,
3,9,10,8,5,2,7,4,1,6,,
9,8,2,6,5,7,10,3,1,4,,
10,4,2,3,10,10,10,10,1,10,,
4,5,9,1,7,8,6,3,2,10,,
9,2,5,4,1,8,10,6,3,7,,
9,10,10,10,10,9,9,10,10,8,,
4,5,3,10,9,7,6,8,2,1,,
1,9,6,5,8,7,10,2,4,3,,
6,7,10,3,2,8,1,5,4,9,,
10,10,10,3,2,10,10,10,1,10,,
6,4,7,8,1,10,5,2,9,3,,
7,5,5,10,3,6,2,1,4,9,,
10,10,10,10,10,10,10,10,10,10,,
5,2,1,6,3,10,8,4,9,7,,
4,7,2,8,1,10,9,6,5,3,,
4,1,8,5,3,9,10,6,2,7,,
7,8,3,4,1,10,9,2,6,5,,
4,8,5,2,1,10,7,6,3,9,,
8,7,4,3,1,6,10,2,9,5,,
1,4,6,7,2,9,8,3,5,10,,
3,5,1,7,2,10,8,4,6,10,,
5,7,4,6,2,9,10,1,3,8,,
10,6,2,10,10,10,4,1,5,3,,
1,10,10,10,3,10,10,4,2,10,,
8,9,3,1,5,4,2,10,6,7,,
4,9,1,8,5,6,7,3,2,10,,
9,5,1,8,2,7,4,10,6,3,,
10,10,10,2,10,10,10,1,10,10,,
6,7,9,4,2,8,1,5,3,10,,
4,3,9,7,5,10,8,1,2,6,,
