rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
5,7,1,3,6,2,8,9,4,Unknown,9.0
9,9,9,9,9,9,9,9,9,Unknown,
1,9,2,7,6,8,4,3,5,Unknown,
7,2,9,4,8,6,3,1,4,Unknown,
2,9,9,9,1,3,9,9,9,Unknown,
2,5,9,9,2,9,1,3,9,Unknown,
1,2,9,9,9,4,1,3,9,Unknown,
8,8,6,8,8,5,1,7,8,Unknown,
1,6,3,9,5,7,2,9,9,Unknown,
9,9,9,9,9,3,1,2,9,Unknown,
1,5,4,8,2,7,3,6,9,Unknown,
9,9,3,9,4,9,1,5,2,Unknown,
2,5,9,3,6,4,8,7,1,Unknown,
9,9,9,9,1,9,2,9,9,Unknown,
9,9,9,9,9,9,1,9,9,Unknown,
9,3,9,9,1,9,2,9,9,Unknown,
7,9,1,8,8,5,4,2,3,Unknown,
4,9,1,9,2,9,3,9,9,Unknown,
2,6,3,9,4,5,1,8,7,Unknown,
1,2,2,1,3,2,3,1,1,Unknown,
1,5,3,9,4,9,2,9,9,Unknown,
9,9,9,3,1,9,9,9,2,Unknown,
2,7,4,9,3,8,5,1,6,Unknown,
1,1,2,5,3,5,1,4,5,Unknown,
1,4,1,7,2,6,1,8,9,Unknown,
4,1,4,4,4,4,4,2,3,Unknown,
4,8,2,9,1,7,5,7,3,Unknown,
1,2,7,6,3,9,5,8,4,Unknown,
3,4,2,9,8,5,1,7,6,Unknown,
1,9,2,9,9,9,3,9,9,Unknown,
1,9,1,1,1,9,1,9,9,Unknown,
4,3,1,6,5,9,2,9,7,Unknown,
2,4,2,4,1,9,3,9,9,Unknown,
9,9,2,4,1,9,9,9,3,Unknown,
1,9,9,9,3,2,9,9,9,Unknown,
7,9,1,5,3,5,1,8,3,Unknown,
8,7,3,4,2,6,1,5,9,Unknown,
4,3,1,9,5,9,2,9,9,Unknown,
1,9,9,4,3,9,2,9,9,Unknown,
9,9,2,9,1,9,2,9,9,Unknown,
9,4,2,8,3,5,1,6,8,Unknown,
1,8,3,2,9,7,6,5,4,Unknown,
2,9,3,1,4,9,5,9,9,Unknown,
3,9,4,9,2,9,1,9,9,Unknown,
6,1,3,5,2,9,7,4,8,Unknown,
9,9,9,9,9,9,9,9,9,Unknown,
2,9,2,9,1,2,9,9,9,Unknown,
3,1,2,8,7,5,6,4,9,Unknown,
3,3,2,4,1,5,2,5,4,Unknown,
9,9,1,2,9,9,1,2,9,Unknown,
1,9,9,3,9,9,9,9,9,Unknown,
5,9,9,8,8,9,1,9,5,Unknown,
7,9,5,6,1,4,3,8,2,Unknown,
9,9,9,9,9,9,1,9,9,Unknown,
7,8,1,5,4,2,3,9,6,Unknown,
3,8,7,5,2,6,1,4,9,Unknown,
5,9,3,2,4,8,1,7,6,Unknown,
1,5,3,5,5,3,2,2,4,Unknown,
2,3,2,1,3,3,3,1,3,Unknown,
8,7,5,3,2,9,1,6,4,Unknown,
9,2,1,3,5,9,4,9,9,Unknown,
1,1,1,9,9,2,2,9,9,Unknown,
4,7,3,2,6,5,1,9,8,Unknown,
1,2,6,9,7,8,5,4,3,Unknown,
4,7,9,5,6,1,2,3,8,Unknown,
6,7,5,4,3,8,1,9,2,Unknown,
3,6,1,4,5,7,2,9,8,Unknown,
