rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,numSeats,numCands
20,5,1,12,14,6,13,20,19,2,18,9,20,11,15,10,17,4,3,20,20,7,16,20,8,1.0,25.0
25,3,1,25,25,7,25,25,25,2,25,25,25,25,25,25,25,5,4,25,25,8,25,25,6,,
20,3,1,10,16,5,17,20,13,2,19,7,20,12,18,9,14,8,4,20,20,6,15,20,11,,
22,3,1,10,17,5,13,23,16,2,18,9,25,12,19,11,14,7,4,24,20,6,15,21,8,,
21,3,1,10,19,6,11,23,15,2,18,8,24,13,17,9,14,5,4,20,22,7,16,25,12,,
23,3,1,9,18,5,13,21,15,2,19,12,24,11,17,10,14,6,4,22,25,7,16,20,8,,
23,3,1,11,17,5,13,20,15,2,19,9,25,12,16,10,14,6,4,24,21,7,18,22,8,,
22,3,1,10,19,7,16,21,14,2,18,8,23,11,20,13,15,4,6,24,25,5,12,17,9,,
23,2,1,10,12,7,11,25,13,3,17,15,22,9,18,19,14,5,4,20,21,6,16,24,8,,
24,3,1,10,17,5,15,22,14,2,19,11,20,12,18,9,13,7,4,25,23,6,16,21,8,,
25,3,1,11,18,6,13,25,16,2,19,10,25,12,17,7,14,5,4,25,25,8,15,25,9,,
20,1,2,11,17,5,18,24,16,3,21,8,19,13,15,10,14,6,4,23,25,7,12,22,9,,
21,3,2,11,18,5,16,20,14,1,19,10,25,12,15,9,13,6,4,23,22,8,17,24,7,,
22,3,1,11,18,5,13,23,15,2,19,10,25,12,16,9,14,6,4,24,21,8,17,20,7,,
23,3,1,9,18,5,15,21,17,2,19,8,25,12,14,10,13,6,4,20,24,7,16,22,11,,
24,3,1,12,18,5,13,21,17,2,19,9,25,11,16,10,14,7,4,22,20,6,15,23,8,,
24,3,1,10,18,6,13,23,16,2,19,8,25,12,17,9,14,5,4,21,20,11,15,22,7,,
22,3,1,12,17,5,16,20,14,2,18,10,25,11,15,9,13,8,4,23,24,7,19,21,6,,
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
24,3,2,11,17,5,12,18,15,1,20,8,19,13,21,10,14,6,4,23,22,7,16,25,9,,
25,4,1,25,25,6,25,25,25,2,25,25,25,25,25,10,25,3,5,25,25,8,25,25,9,,
25,2,1,25,25,6,25,25,25,3,25,25,25,25,25,25,25,4,5,25,25,8,25,25,7,,
25,2,3,8,18,7,12,22,15,1,19,10,24,11,16,13,14,4,5,23,21,6,17,20,9,,
25,3,1,8,18,4,16,22,14,2,17,9,20,10,19,11,12,6,5,24,23,7,15,21,13,,
24,3,1,11,16,5,15,21,17,2,19,8,20,12,18,9,14,6,4,25,22,7,13,23,10,,
25,3,1,12,18,6,14,23,15,2,19,9,22,8,17,10,13,5,4,20,21,7,16,24,11,,
24,2,1,7,18,6,16,23,12,3,17,9,25,8,19,13,14,5,4,20,21,10,15,22,11,,
25,3,2,11,19,4,15,23,18,1,20,10,21,12,17,8,13,6,5,14,22,9,16,24,7,,
25,3,2,11,18,5,13,23,16,1,19,10,21,12,15,8,14,6,4,20,22,7,17,24,9,,
21,3,1,12,18,6,14,24,16,2,19,8,25,11,17,10,13,5,4,20,22,7,15,23,9,,
24,3,1,13,17,4,15,23,18,2,19,9,20,14,16,11,10,6,5,21,22,8,12,25,7,,
