rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,numSeats,numCands
17,12,10,9,15,11,5,1,7,6,16,13,8,3,14,2,4,1.0,17.0
17,17,17,17,17,2,1,17,17,17,17,17,17,17,17,17,17,,
4,16,8,1,3,17,17,17,7,6,14,10,5,11,17,17,2,,
17,17,17,17,17,1,4,5,17,17,17,17,17,17,3,2,17,,
1,1,2,2,17,17,17,17,2,1,2,1,1,17,17,17,17,,
14,4,17,16,14,1,2,15,14,14,14,14,14,14,14,14,3,,
15,2,8,17,14,7,4,3,10,11,5,13,1,9,17,6,12,,
14,13,5,2,10,9,3,1,6,16,7,17,15,8,12,11,4,,
17,17,2,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
6,15,3,15,4,15,15,1,15,2,7,15,15,16,17,15,15,,
17,17,2,10,17,16,15,2,4,8,16,15,15,16,17,9,15,,
5,6,17,17,17,17,7,17,2,17,17,1,17,17,17,4,3,,
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,2,17,17,,
17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,2,,
17,17,17,17,17,1,16,17,3,17,17,17,17,17,17,17,2,,
15,17,15,15,15,5,2,1,15,15,15,4,15,15,16,15,3,,
17,17,17,2,17,17,1,17,17,17,17,17,17,17,3,17,17,,
17,17,3,17,17,1,6,17,17,17,17,17,17,17,9,17,17,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,2,17,,
17,17,4,5,17,1,2,17,17,17,17,6,17,17,17,3,17,,
9,3,10,16,4,5,2,1,17,13,12,15,14,7,6,11,8,,
17,17,6,4,6,1,5,2,17,17,17,17,17,3,17,17,5,,
13,2,12,5,10,14,4,15,7,9,8,16,3,1,11,6,8,,
17,17,3,5,2,1,17,17,17,17,17,17,17,17,17,17,4,,
17,1,17,3,2,17,17,17,17,17,17,17,17,17,17,17,17,,
17,9,16,10,13,2,1,3,11,15,14,12,7,6,8,4,5,,
17,2,17,17,1,17,17,17,17,4,17,17,17,17,17,5,3,,
9,8,10,14,12,1,3,10,13,15,4,16,17,6,5,2,7,,
17,17,17,17,17,2,17,17,17,17,17,17,17,17,17,17,1,,
17,17,2,11,17,9,3,4,10,5,17,1,17,7,6,17,8,,
17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,4,17,2,17,17,17,17,17,17,3,17,5,1,,
17,17,17,17,5,17,2,1,17,17,17,3,17,17,17,17,4,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
12,15,14,4,11,3,1,5,10,7,13,8,9,6,17,16,2,,
17,16,7,8,11,14,9,2,15,6,12,13,10,5,3,1,4,,
17,17,10,17,10,17,17,1,10,17,10,17,10,17,17,17,17,,
15,1,11,14,9,2,10,13,16,8,3,12,17,6,7,4,5,,
17,17,17,17,17,1,17,4,17,17,17,17,17,3,9,17,17,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,1,17,17,,
17,17,17,17,17,17,1,4,17,17,17,17,17,17,17,3,2,,
17,3,6,17,5,17,17,2,17,17,17,17,17,17,1,4,17,,
17,17,9,17,6,17,1,17,17,17,17,17,17,17,17,17,2,,
17,17,5,2,17,1,17,3,17,17,17,17,17,4,17,6,17,,
9,13,1,7,10,6,16,8,17,11,5,3,12,4,14,15,2,,
13,5,1,17,3,14,6,2,4,10,16,7,12,15,8,9,11,,
13,11,8,14,9,1,3,2,10,16,12,17,15,6,5,4,7,,
17,5,3,1,17,17,17,17,17,2,17,17,17,17,17,17,4,,
17,17,17,17,17,17,1,2,17,17,17,17,17,17,17,3,17,,
17,17,17,1,17,17,2,17,17,17,17,17,17,3,17,17,17,,
17,4,17,17,17,1,2,3,17,17,17,17,17,17,5,17,17,,
14,7,10,4,13,1,5,2,12,15,6,16,17,8,9,11,3,,
17,17,17,17,17,17,1,17,17,17,17,17,17,17,2,3,17,,
17,17,17,17,17,1,2,5,17,17,17,17,17,3,17,6,4,,
17,17,17,17,17,17,17,17,17,17,17,17,17,1,3,4,1,,
17,17,2,17,17,3,1,17,17,17,17,17,17,17,4,5,17,,
17,17,17,17,17,1,2,4,17,17,17,17,17,3,3,17,5,,
4,5,3,6,11,9,1,2,17,7,10,10,17,17,8,17,17,,
13,6,7,14,16,15,3,8,2,10,12,4,5,9,17,11,1,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,3,4,2,,
6,17,1,5,8,2,7,4,17,17,9,17,17,17,3,17,17,,
17,13,3,14,5,8,1,2,16,10,13,6,9,15,13,7,4,,
11,3,17,1,17,11,11,2,11,11,17,11,11,11,11,17,17,,
15,7,8,11,16,2,5,6,12,13,10,9,14,1,17,4,3,,
17,17,17,17,17,1,17,16,17,17,17,17,17,2,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
9,7,4,17,12,2,1,3,11,15,6,16,14,8,5,10,13,,
9,8,5,4,15,2,12,3,10,1,11,16,14,13,17,7,6,,
16,16,16,16,16,3,2,1,17,16,16,16,16,16,16,16,16,,
17,17,3,17,1,17,17,4,2,7,8,6,17,17,17,17,17,,
4,5,6,12,7,15,13,16,8,2,9,3,1,17,11,10,14,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,2,17,17,,
16,3,16,16,16,4,1,5,16,16,16,16,16,16,16,16,2,,
17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,4,17,17,3,17,17,17,17,17,17,1,17,17,2,,
17,10,7,3,17,1,2,17,17,17,17,17,9,8,17,6,4,,
14,12,10,10,13,1,5,10,11,16,10,17,15,4,10,2,3,,
12,16,6,1,9,15,12,2,5,3,7,10,8,12,17,4,14,,
17,17,17,1,17,17,2,17,17,17,17,17,3,17,4,17,17,,
15,15,3,4,6,5,1,2,15,15,15,15,15,15,17,16,15,,
11,7,2,4,6,17,1,15,11,6,12,11,6,16,14,11,13,,
6,17,1,17,4,4,17,4,4,2,5,17,17,17,17,6,17,,
9,2,7,6,17,5,1,4,17,17,17,8,17,17,3,17,17,,
17,17,17,17,17,2,17,4,17,17,17,17,17,17,3,17,1,,
17,17,17,3,17,1,2,17,17,17,17,17,17,4,17,17,17,,
17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,1,17,,
17,3,17,10,7,17,2,7,9,17,2,7,17,17,8,17,7,,
12,15,1,7,13,17,3,4,10,6,14,11,9,16,8,5,2,,
17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,,
17,17,8,17,2,1,4,5,17,17,17,17,17,6,17,17,3,,
17,17,17,17,17,2,1,3,17,17,17,17,17,17,17,17,17,,
14,14,16,1,14,14,4,17,14,14,5,14,14,3,15,14,2,,
11,7,3,17,14,4,1,2,6,13,15,12,10,16,5,8,9,,
8,4,3,17,17,9,1,7,17,17,17,2,17,17,5,6,17,,
17,17,3,17,4,1,17,17,17,17,5,17,17,17,2,17,17,,
17,6,13,6,13,1,3,4,13,15,14,16,7,13,8,2,6,,
10,3,17,4,17,2,1,5,11,14,9,13,15,12,8,6,7,,
15,14,9,7,8,2,5,4,11,17,10,13,16,1,6,12,3,,
17,4,2,17,17,1,17,17,17,17,3,17,17,17,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,2,17,10,,
13,14,11,10,8,4,5,1,12,7,16,15,17,2,6,9,3,,
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,3,2,17,17,17,17,17,17,17,17,17,,
7,16,6,16,15,16,15,3,15,16,17,15,6,8,17,1,2,,
13,6,10,16,7,3,5,8,12,14,9,17,15,11,2,1,4,,
17,17,17,17,17,2,1,4,17,17,17,17,17,17,3,17,17,,
17,17,17,1,17,17,2,17,17,17,17,17,17,4,17,17,17,,
17,3,1,17,17,17,17,17,17,17,17,2,17,17,17,17,17,,
17,17,17,17,17,2,17,3,17,17,17,17,17,17,17,4,1,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
17,3,17,17,17,1,17,17,17,17,17,17,17,2,4,17,17,,
13,9,8,17,14,2,4,10,5,15,1,11,12,16,3,6,7,,
17,17,17,17,17,1,4,3,17,17,17,17,17,2,17,17,17,,
17,17,2,3,17,1,17,6,17,17,17,17,17,4,5,17,17,,
17,17,5,17,4,3,2,1,6,17,1,17,17,3,4,7,2,,
17,17,17,17,17,17,1,17,1,2,17,17,3,17,17,17,17,,
15,15,15,15,15,1,3,4,15,15,15,15,17,16,2,15,5,,
17,3,17,1,17,17,17,17,17,17,2,17,17,17,17,17,17,,
17,17,3,1,17,17,17,4,17,2,17,17,17,17,17,17,17,,
17,17,6,3,17,4,17,1,17,17,17,17,17,5,17,17,2,,
17,17,1,3,17,17,17,2,17,17,17,17,17,17,17,17,17,,
17,17,17,17,1,17,6,2,5,17,17,17,17,3,17,17,4,,
10,16,10,16,10,10,17,1,7,16,10,10,10,10,10,16,10,,
17,17,17,17,17,1,17,17,17,17,17,17,17,3,17,17,2,,
5,3,10,7,1,12,11,17,4,14,6,2,13,17,17,8,9,,
11,14,9,10,2,3,1,4,13,15,12,16,17,6,5,8,7,,
17,6,9,12,10,5,1,17,8,4,13,17,3,11,17,2,7,,
14,17,7,11,9,1,8,2,12,13,16,10,15,4,5,6,3,,
16,6,16,17,16,16,3,4,16,1,16,16,16,16,17,5,2,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
12,9,17,6,11,1,3,2,7,15,16,8,14,4,13,10,5,,
16,15,2,11,3,7,12,1,6,9,13,14,10,4,8,17,5,,
17,17,17,17,17,2,17,1,17,17,17,17,17,3,17,17,17,,
17,17,17,17,17,1,7,3,5,17,8,4,17,6,2,17,17,,
17,17,6,8,17,1,3,2,17,17,17,17,17,17,5,4,7,,
17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,,
17,17,17,17,17,17,17,2,17,17,17,17,17,17,17,17,1,,
14,10,12,16,7,8,1,5,15,9,6,11,2,17,13,4,3,,
17,17,17,2,17,17,17,3,17,17,17,17,17,16,17,1,17,,
17,17,17,17,17,2,1,17,17,17,17,17,17,17,3,17,17,,
17,17,17,17,17,1,3,2,17,17,17,17,17,5,6,17,17,,
17,4,5,6,17,2,3,1,7,17,17,17,17,17,17,17,17,,
15,8,3,1,14,6,2,12,13,10,17,16,9,5,11,7,4,,
13,10,3,2,17,1,15,9,5,8,11,12,7,16,14,4,6,,
17,17,17,17,17,17,2,3,17,17,17,17,17,17,17,17,1,,
17,17,8,17,7,2,1,3,5,17,9,17,17,17,6,10,4,,
17,17,17,17,17,17,17,2,17,17,17,17,17,17,1,17,3,,
17,17,6,1,17,17,3,17,17,4,17,17,7,17,17,2,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,2,1,17,17,17,17,17,17,17,17,17,,
5,3,17,1,17,2,4,6,17,17,17,17,17,17,17,17,17,,
5,17,17,9,17,3,1,2,17,17,17,17,17,4,8,7,6,,
17,17,2,17,17,17,1,17,17,17,17,17,17,17,17,17,3,,
17,17,17,17,17,1,17,2,17,17,17,17,17,17,17,17,17,,
11,8,3,5,7,1,12,6,14,17,16,4,9,13,2,10,15,,
9,7,3,8,17,12,6,11,16,14,15,10,13,5,1,4,2,,
17,10,1,6,9,17,3,2,17,17,17,17,17,17,8,5,4,,
17,17,17,17,17,1,4,2,17,17,17,17,17,3,17,17,17,,
17,17,17,17,17,17,17,17,17,17,17,1,2,17,17,17,17,,
17,17,17,17,17,3,17,1,17,17,17,17,17,2,17,4,17,,
8,5,2,10,15,17,3,1,13,6,16,11,9,14,4,7,12,,
17,17,17,17,17,1,17,5,17,17,17,17,17,3,4,17,2,,
17,17,17,17,17,2,17,4,17,17,17,17,17,17,3,2,1,,
17,17,17,17,17,2,1,17,17,17,17,1,17,3,17,17,17,,
17,17,17,17,17,17,2,17,17,17,17,17,17,17,17,17,1,,
17,17,17,16,17,1,17,2,17,17,17,17,17,17,17,17,3,,
6,7,17,2,9,17,8,17,17,3,5,1,4,17,8,17,17,,
17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,,
17,4,17,17,17,17,3,17,17,17,17,1,17,17,17,2,17,,
17,17,17,17,17,3,2,1,17,17,17,17,17,4,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,17,3,17,17,17,17,17,2,17,17,17,,
17,17,4,17,2,17,17,17,17,17,17,3,17,17,17,17,1,,
17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,,
13,1,6,14,3,5,2,7,11,8,10,9,16,17,4,12,15,,
17,5,17,9,17,1,2,3,8,17,17,17,6,4,17,10,7,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,17,17,,
17,17,17,17,17,1,5,3,17,17,17,17,17,2,4,17,17,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,2,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,5,2,17,17,17,17,17,17,4,3,17,,
17,3,17,2,5,1,2,4,6,17,17,17,17,17,2,4,17,,
17,17,10,17,1,17,17,4,17,2,13,17,17,17,5,17,6,,
17,3,17,2,17,1,17,17,17,17,4,17,17,17,17,5,17,,
17,17,1,17,17,3,4,17,17,17,17,17,17,5,17,17,1,,
17,17,17,17,17,1,17,3,17,17,17,17,17,17,17,17,2,,
17,17,17,17,6,1,2,5,17,17,17,17,17,3,3,17,17,,
17,10,3,17,17,5,1,6,7,9,4,17,17,17,17,1,8,,
17,17,17,17,17,2,17,1,17,17,17,17,17,17,17,17,3,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,17,2,17,17,17,17,17,3,17,17,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
16,17,16,4,6,16,5,1,8,11,12,7,3,9,16,10,2,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
15,16,2,5,10,17,6,1,3,4,13,11,7,8,12,9,14,,
17,1,2,17,2,17,1,17,17,17,4,3,17,17,17,17,17,,
17,6,7,17,4,8,17,2,5,17,17,17,9,17,3,1,10,,
17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,1,4,17,17,17,17,17,17,3,5,2,,
17,3,17,1,17,17,17,5,6,17,17,2,17,17,4,17,17,,
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,,
10,13,4,2,14,17,12,1,5,6,3,11,9,8,16,7,15,,
17,17,17,1,17,17,2,2,17,17,17,1,17,17,3,17,17,,
17,5,10,1,14,14,14,2,4,3,16,14,9,6,15,7,8,,
17,17,17,3,17,1,17,2,4,17,17,17,17,17,17,17,17,,
15,13,8,7,9,4,1,6,2,16,17,12,10,14,5,3,11,,
17,17,17,17,17,1,17,2,17,17,17,17,17,4,3,17,17,,
13,10,11,17,4,1,8,3,12,15,14,5,16,6,7,9,2,,
17,3,5,17,17,6,7,1,4,17,17,17,17,2,17,17,17,,
17,17,3,3,17,2,1,17,17,17,17,17,17,2,17,3,2,,
10,5,11,13,12,3,2,4,9,17,16,14,8,6,7,15,1,,
17,17,17,17,17,17,17,17,17,17,1,17,17,17,17,17,17,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
17,17,17,17,17,1,3,2,17,17,17,17,17,4,5,6,17,,
10,7,11,5,16,3,15,1,12,17,8,6,9,13,4,14,2,,
11,17,9,4,9,1,7,5,9,17,17,17,10,8,3,6,2,,
16,10,15,11,8,4,5,17,7,12,2,9,14,3,6,13,1,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
14,9,5,10,13,1,4,17,6,12,7,11,16,8,3,15,2,,
17,2,5,17,1,17,17,17,17,17,3,17,17,17,4,17,17,,
17,17,17,17,17,2,1,3,17,17,17,17,17,17,4,17,17,,
12,14,17,3,11,6,4,2,9,8,13,15,16,5,7,10,1,,
16,10,9,5,4,1,17,3,7,15,14,8,6,11,12,13,2,,
13,12,14,1,10,2,3,5,15,6,11,17,16,4,8,9,7,,
17,17,17,17,2,17,17,17,17,17,17,17,17,17,4,1,3,,
17,17,8,17,2,17,5,4,3,9,7,10,17,17,17,11,1,,
17,2,3,16,7,17,9,9,4,9,17,1,5,15,17,8,6,,
13,14,13,1,16,13,6,2,13,4,3,13,7,13,17,5,15,,
15,6,8,17,9,4,2,1,10,16,14,12,13,5,3,11,7,,
17,17,17,17,11,1,5,3,10,8,4,9,17,6,2,17,8,,
17,17,17,2,17,17,1,17,17,17,17,17,17,17,17,17,17,,
10,3,1,17,13,12,15,7,4,8,5,6,9,16,2,11,14,,
17,17,17,17,17,2,17,4,5,17,17,17,17,1,17,3,17,,
5,17,17,17,17,6,3,17,8,17,17,10,7,9,4,1,2,,
17,3,17,17,17,1,2,17,17,17,17,17,17,17,17,17,17,,
12,5,13,10,1,7,2,9,14,11,17,4,3,8,16,15,6,,
17,2,8,17,17,3,4,1,17,17,17,17,17,17,17,17,17,,
15,15,2,16,15,4,15,1,15,15,3,15,15,15,17,15,15,,
17,17,17,17,17,5,3,4,17,17,17,17,17,17,1,2,17,,
17,17,17,17,17,2,17,17,17,17,17,17,17,3,17,17,1,,
17,14,1,8,12,5,2,4,3,13,11,16,15,6,9,10,7,,
17,17,5,3,17,1,2,17,17,17,17,17,17,4,17,17,17,,
17,2,17,4,17,1,17,17,17,17,3,17,17,5,17,17,17,,
17,17,17,17,17,17,17,3,17,17,4,17,17,1,17,17,2,,
17,17,17,17,17,1,4,17,17,17,17,17,17,17,2,3,17,,
17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,17,17,,
6,7,10,9,13,1,3,5,16,17,12,15,14,8,4,11,2,,
17,17,17,17,17,1,2,4,17,17,17,17,17,17,17,17,3,,
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,
8,16,5,12,6,2,1,4,10,11,17,15,7,13,3,9,14,,
17,17,17,17,17,17,1,2,17,17,17,17,17,17,17,17,17,,
17,3,17,17,2,1,6,17,4,17,5,8,9,17,17,17,7,,
8,15,10,6,13,3,1,2,7,17,11,9,16,12,5,14,4,,
17,17,17,17,17,17,17,17,17,17,17,1,17,17,17,17,17,,
9,7,17,8,5,3,15,4,11,10,1,16,13,12,6,14,2,,
9,2,9,17,15,1,3,5,7,13,14,12,11,8,4,6,16,,
17,17,17,17,17,1,17,17,17,17,17,17,17,17,17,17,17,,
11,13,10,6,7,2,4,1,12,16,8,17,14,15,9,5,3,,
17,3,3,3,3,1,1,2,17,17,4,17,17,17,2,3,3,,
17,17,1,17,17,7,5,17,17,4,17,17,3,17,17,6,2,,
17,17,17,7,6,4,1,5,17,17,17,9,17,17,3,17,5,,
17,17,2,17,17,17,1,6,9,5,3,11,10,17,8,4,7,,
