rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
1,1,2,1,11,11,1,11,4,1,2,1.0,11.0
9,2,3,1,11,8,5,6,10,7,4,,
8,7,5,3,3,2,8,1,10,11,5,,
9,4,3,2,10,5,6,7,11,8,1,,
10,1,11,3,5,2,6,9,8,7,4,,
3,1,4,2,11,11,2,11,3,1,3,,
6,4,5,2,7,3,11,1,11,11,11,,
5,6,11,3,11,1,7,2,11,8,4,,
7,10,6,1,8,9,3,11,5,2,4,,
9,6,11,1,5,10,4,2,7,3,8,,
8,5,11,1,3,6,9,2,7,10,4,,
10,9,6,2,3,4,8,1,7,11,5,,
9,4,10,2,7,6,3,1,8,11,5,,
2,1,6,4,7,10,5,11,9,8,3,,
10,2,10,11,10,11,3,11,10,10,1,,
6,1,11,5,8,2,3,4,9,7,10,,
9,6,10,1,4,5,7,2,11,8,3,,
10,4,8,2,7,5,6,3,11,9,1,,
6,5,11,2,9,7,1,3,9,4,8,,
6,5,3,7,9,11,2,8,4,1,10,,
3,1,4,11,8,7,5,6,9,2,10,,
2,3,11,1,4,2,5,4,11,2,3,,
5,3,6,3,11,1,2,2,6,5,3,,
5,1,10,1,10,11,9,11,1,8,4,,
9,11,6,2,3,4,7,1,5,10,8,,
7,5,9,11,10,6,3,2,8,1,4,,
2,1,8,6,11,9,4,7,10,3,5,,
8,7,10,1,9,5,3,2,4,11,6,,
7,5,8,2,9,11,4,3,10,1,6,,
6,1,7,2,9,10,8,11,4,5,3,,
9,4,10,8,2,1,5,3,7,11,6,,
11,2,11,11,3,11,1,11,11,11,11,,
