rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,numSeats,numCands
18,18,2,18,18,2,7,7,18,2,18,1,1,3,18,2,1,7,1.0,18.0
3,2,6,2,3,1,5,2,4,1,5,3,3,1,2,5,3,1,,
13,1,3,6,17,8,10,7,18,5,14,16,2,12,9,11,15,4,,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,
1,1,1,18,18,18,18,18,18,2,18,18,1,18,18,18,18,18,,
5,2,7,18,18,18,18,6,18,1,18,8,3,18,1,18,4,18,,
1,1,18,2,2,2,1,1,2,1,2,2,1,2,1,1,1,18,,
18,18,18,18,18,18,18,18,18,18,18,18,1,18,18,18,18,18,,
1,1,3,1,3,3,7,1,2,7,5,1,1,7,7,3,1,1,,
1,1,1,3,3,3,1,3,3,1,3,3,1,1,1,2,2,3,,
4,2,18,1,10,13,12,17,6,7,8,14,3,9,5,11,16,15,,
9,5,12,9,9,18,6,18,10,1,9,4,7,11,18,18,3,2,,
4,3,18,5,10,8,8,1,6,2,8,7,8,8,9,8,2,18,,
1,2,18,7,18,18,18,18,18,18,18,18,3,18,18,5,4,6,,
17,18,2,11,6,12,3,7,13,10,1,5,15,8,9,16,4,14,,
3,1,7,18,14,17,6,16,13,8,15,12,3,2,2,11,9,10,,
5,3,2,18,18,18,18,18,18,18,18,18,4,18,1,18,18,18,,
2,1,10,5,9,18,6,4,7,15,12,8,3,17,15,11,14,13,,
2,1,18,4,2,5,6,1,4,2,4,1,1,7,4,3,2,2,,
3,1,8,11,14,6,7,5,10,15,17,9,2,18,4,16,12,13,,
1,2,18,4,18,18,18,6,5,18,18,18,3,18,18,18,7,8,,
18,1,2,2,18,1,18,3,18,1,18,1,1,1,18,1,2,2,,
5,2,3,16,8,11,9,12,17,14,15,4,1,13,10,7,18,6,,
18,18,18,1,18,18,18,18,18,18,18,18,1,18,18,18,1,18,,
4,1,6,18,18,18,5,18,18,1,7,2,2,18,3,9,18,18,,
4,3,18,2,18,4,18,18,18,5,1,18,3,18,3,18,18,18,,
18,1,17,5,5,5,3,5,5,2,5,5,4,5,5,5,5,5,,
18,1,18,4,10,3,8,18,18,2,18,18,5,18,7,9,6,11,,
3,1,3,6,5,16,14,9,15,11,12,7,2,10,2,4,13,8,,
17,18,2,10,4,13,15,16,6,11,3,5,1,14,12,7,9,8,,
13,1,8,7,12,18,15,11,3,14,9,18,4,10,5,18,6,2,,
2,18,18,18,18,18,18,18,18,1,18,2,1,18,18,18,1,18,,
3,1,6,13,15,9,7,16,10,4,17,5,2,18,11,8,14,12,,
3,4,5,11,7,5,6,13,5,12,4,17,1,9,2,5,14,18,,
6,2,7,14,15,17,18,1,13,4,11,3,5,12,16,9,8,10,,
3,1,18,18,18,18,2,18,18,18,18,18,18,18,18,18,18,18,,
8,3,6,14,10,9,12,5,10,2,14,2,3,11,7,4,1,1,,
4,2,10,13,17,7,11,6,5,3,14,12,8,18,9,1,15,16,,
5,1,8,14,13,12,2,4,10,1,11,3,4,3,6,7,2,5,,
18,1,18,1,2,18,4,18,18,1,18,3,4,18,1,3,2,18,,
5,1,5,18,18,18,18,4,18,1,18,3,2,18,6,18,2,4,,
4,18,18,9,5,18,8,18,18,18,18,1,3,6,18,7,18,2,,
