rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,numSeats,numCands
63,3,63,12,63,16,63,18,63,63,63,63,63,6,63,63,63,2,20,63,17,7,5,63,63,63,63,63,63,63,63,63,15,63,9,63,63,63,63,63,19,63,1,63,4,63,10,63,63,63,8,63,63,63,14,63,63,63,11,13,63,63,21,1.0,63.0
11,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,7,63,63,9,3,63,63,63,63,63,63,63,63,63,63,63,5,63,63,63,63,6,63,63,63,63,63,63,63,63,6,63,63,63,63,8,63,63,5,2,4,63,63,10,,
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,62,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,1,62,62,62,,
63,63,63,63,63,7,63,63,63,63,63,63,1,63,63,63,63,63,63,63,63,63,8,63,63,63,63,10,63,63,5,63,63,63,4,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,6,63,2,63,63,63,63,63,63,9,63,63,63,,
63,11,63,63,63,60,63,63,63,63,63,1,63,63,63,63,63,63,2,63,63,10,50,63,63,63,63,63,63,63,63,63,63,63,50,63,63,63,63,63,63,63,63,63,63,63,12,63,2,63,63,63,63,63,63,63,63,63,63,63,63,63,1,,
63,63,63,63,8,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,10,63,63,63,63,63,63,63,63,63,63,3,9,63,63,63,63,63,6,63,5,63,63,63,63,63,63,1,63,63,63,63,7,63,63,63,63,2,63,63,63,,
63,62,63,62,3,62,63,62,62,62,63,62,62,6,10,63,62,1,2,62,62,62,63,63,4,62,62,5,62,62,62,63,7,62,62,8,62,63,62,63,63,62,62,62,11,63,62,62,62,62,63,62,62,62,9,62,63,62,62,62,63,62,62,,
7,63,63,63,63,63,63,63,9,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,4,2,8,63,63,63,63,63,63,1,63,63,63,63,5,63,63,63,10,63,63,63,63,63,63,63,3,63,6,63,63,63,,
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,2,63,63,63,63,63,63,63,63,1,63,63,63,63,63,63,63,63,63,,
7,63,63,63,10,8,63,63,63,63,63,63,63,63,63,63,63,63,63,63,5,4,9,63,63,63,63,63,63,63,63,63,63,6,63,63,63,63,63,63,63,63,63,63,63,63,2,63,63,63,63,3,63,63,1,63,63,63,63,63,63,63,63,,
17,26,21,20,59,53,29,7,49,1,18,47,51,57,41,34,35,38,45,9,50,36,8,3,56,54,19,16,44,30,32,61,60,23,25,31,42,40,10,27,13,5,55,22,24,28,14,58,43,12,46,62,15,33,48,6,2,63,52,4,39,37,11,,
63,11,63,63,63,7,63,63,19,63,63,63,63,63,63,63,63,63,63,20,63,63,3,63,17,10,63,63,5,63,16,63,6,8,15,63,1,63,63,63,18,63,14,63,63,63,63,4,63,13,63,63,63,9,63,63,63,2,12,63,63,63,63,,
63,63,10,63,63,5,63,63,63,63,63,4,8,63,63,63,63,63,63,63,63,7,9,63,63,63,63,63,63,63,63,63,63,63,2,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,1,63,63,63,63,63,63,6,63,63,63,63,63,,
2,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1,63,3,1,63,63,63,63,2,63,1,63,63,63,3,63,63,63,63,1,63,63,63,5,63,63,63,3,63,3,5,63,63,,
2,63,63,63,6,63,63,63,63,63,63,63,63,63,63,63,10,63,63,63,63,63,63,63,5,63,63,63,63,63,63,63,1,63,63,63,63,63,63,63,8,63,63,63,9,63,63,63,63,7,63,63,63,63,4,63,63,63,63,3,63,63,63,,
63,11,63,63,63,63,63,63,63,63,63,63,63,63,63,12,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,63,63,63,5,63,7,63,63,63,63,63,63,10,63,63,63,63,63,63,63,8,63,63,63,63,63,,
36,63,30,33,23,63,31,34,63,63,63,29,33,19,17,42,63,14,63,63,5,63,4,33,11,37,43,25,6,24,8,18,12,2,9,10,21,63,33,63,63,63,33,63,1,15,20,42,13,3,63,26,63,7,16,27,28,63,42,22,32,33,63,,
63,6,63,3,63,10,63,4,63,63,63,63,63,63,63,63,8,63,63,63,63,2,63,63,63,63,63,63,63,63,9,63,63,63,63,63,63,63,63,63,63,63,5,63,63,63,63,1,63,63,63,63,63,63,63,63,63,63,63,7,63,63,63,,
63,5,63,2,63,11,63,1,63,63,63,63,63,63,63,3,63,63,63,6,63,63,63,7,63,63,63,63,63,63,63,63,63,10,63,63,63,63,63,63,9,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,4,63,8,63,63,63,,
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1,2,63,63,5,63,63,63,4,63,63,63,63,63,63,6,63,3,63,63,63,63,63,63,63,63,63,1,63,63,63,,
63,63,63,63,63,63,1,8,63,63,63,63,63,63,63,63,63,8,63,3,63,63,63,63,63,63,63,63,63,63,63,63,63,7,63,63,63,63,63,63,63,63,5,63,63,63,63,63,63,63,63,63,63,63,63,2,63,63,63,6,63,4,63,,
63,4,63,63,63,63,63,2,63,6,63,63,63,63,63,63,1,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,63,8,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,62,63,5,63,63,63,63,7,63,63,9,63,63,63,,
63,63,63,63,3,2,63,63,63,63,63,63,63,2,63,63,63,2,1,63,63,63,2,63,63,63,63,63,3,63,4,63,63,3,3,63,63,63,63,1,63,63,2,63,1,63,4,63,63,63,63,63,63,2,3,63,63,63,63,63,63,63,63,,
17,18,1,61,14,8,61,20,61,61,61,61,16,61,3,61,5,23,10,61,61,6,13,61,61,61,9,61,61,61,7,61,61,22,12,61,21,1,61,61,11,61,62,61,61,61,10,61,61,19,61,15,61,20,4,61,61,61,61,22,61,61,61,,
63,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,2,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,63,4,63,63,63,63,63,63,63,63,5,63,63,63,63,63,63,63,63,63,,
63,63,63,63,63,8,63,63,63,63,63,63,63,63,63,2,6,63,63,63,63,63,63,63,63,63,63,63,63,63,7,63,5,4,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,9,63,63,63,63,63,63,63,1,3,63,63,63,63,,
63,63,63,10,63,63,63,63,63,63,63,63,3,63,63,63,8,63,63,63,63,63,7,63,63,63,63,63,63,63,2,63,63,1,11,63,63,63,63,63,63,63,4,9,63,63,63,9,63,63,63,63,63,5,63,63,63,6,63,63,63,63,63,,
1,63,63,63,2,63,63,63,63,63,63,63,63,63,63,63,4,63,63,63,63,63,5,63,1,63,63,63,63,63,63,63,1,63,63,63,10,63,63,63,63,63,63,63,63,63,4,2,63,63,63,63,63,63,1,63,63,63,63,2,63,63,63,,
63,63,63,63,63,14,63,18,63,63,63,63,63,63,63,18,2,63,63,63,2,63,63,63,19,1,63,63,1,63,9,63,13,9,63,63,10,63,63,63,12,63,63,63,12,63,63,7,63,15,63,63,63,1,63,63,63,2,20,16,63,63,63,,
63,4,63,63,10,7,63,63,63,63,63,63,25,20,63,63,63,12,2,63,9,1,16,63,34,63,63,63,63,63,14,3,8,29,15,63,6,63,63,63,48,63,17,63,20,63,11,63,63,63,63,20,63,19,5,63,63,63,63,13,63,63,63,,
63,63,11,63,13,17,63,63,63,63,63,63,63,14,6,63,63,63,1,63,8,12,63,63,15,63,63,3,63,63,63,63,10,63,63,7,16,63,63,63,63,63,19,63,5,18,63,63,2,63,63,4,63,63,9,63,63,63,63,63,63,63,63,,
63,63,63,63,63,63,63,63,63,7,5,63,63,63,63,63,63,63,3,63,63,63,63,63,63,63,4,63,63,63,63,63,63,63,63,2,63,63,63,63,63,9,63,1,63,63,63,63,63,63,63,63,63,63,63,63,8,63,63,63,63,63,6,,
3,63,63,63,4,8,63,63,63,63,7,63,63,63,63,63,6,63,63,63,63,63,63,63,63,63,1,63,63,63,63,63,63,63,63,63,63,63,63,63,9,2,63,63,63,63,63,63,63,63,63,63,63,10,63,63,63,63,63,5,63,63,63,,
63,63,63,63,1,63,63,63,63,63,1,63,63,63,63,63,63,63,1,63,63,1,63,63,63,63,1,63,63,1,63,63,63,63,63,1,63,63,63,63,63,1,63,1,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,,
