rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,numSeats,numCands
3,2,9,7,14,10,4,1,11,12,5,15,6,13,8,1.0,15.0
10,6,9,1,5,3,7,11,14,2,8,15,12,4,13,,
8,5,6,9,15,11,12,1,15,3,7,15,2,10,4,,
1,15,15,15,15,15,15,15,15,15,15,15,15,15,1,,
8,15,6,5,4,7,13,15,1,14,11,9,2,14,3,,
2,5,1,2,15,2,5,15,3,15,15,15,15,15,4,,
2,15,15,15,15,15,15,15,1,15,15,15,15,15,15,,
15,1,15,15,15,15,2,15,15,15,15,3,15,15,15,,
15,15,15,15,15,15,15,15,1,15,15,15,15,15,15,,
15,2,15,15,15,15,1,15,15,15,15,3,15,15,15,,
14,2,14,14,14,14,1,14,14,14,14,15,14,14,14,,
4,2,8,6,9,1,3,13,15,10,11,14,15,7,12,,
14,4,14,14,14,14,4,14,15,14,1,14,14,2,3,,
15,15,15,15,2,15,15,15,3,4,15,15,15,1,15,,
4,15,15,15,2,15,15,15,15,15,3,15,15,1,15,,
15,15,15,15,15,15,1,15,15,15,2,15,15,15,15,,
15,15,15,15,15,15,1,15,15,15,15,15,15,15,15,,
15,15,5,15,4,15,15,15,15,15,15,2,1,3,4,,
14,3,14,14,14,14,3,14,1,14,4,14,14,14,2,,
9,7,10,8,2,3,6,5,15,12,1,13,11,4,14,,
15,1,15,15,15,15,15,15,15,15,15,15,15,15,15,,
15,15,15,15,15,15,1,15,2,15,4,15,15,2,15,,
3,1,12,7,15,7,2,12,4,13,12,15,12,12,13,,
6,15,13,6,3,13,15,8,5,9,1,10,13,2,4,,
14,14,14,14,1,14,14,14,14,14,14,15,14,14,2,,
13,13,13,15,14,13,13,13,1,13,6,6,13,13,13,,
15,14,15,15,15,15,14,15,2,15,15,15,15,15,1,,
9,10,3,2,15,8,11,6,4,12,7,14,5,13,1,,
15,15,15,15,15,15,15,15,1,15,15,15,15,15,1,,
2,2,2,2,2,2,1,2,2,2,2,15,2,2,2,,
15,2,15,15,15,15,1,3,15,15,5,15,15,4,6,,
8,13,14,2,3,7,10,6,11,15,9,5,12,1,4,,
4,2,13,5,6,10,1,7,14,15,3,8,11,9,12,,
6,15,13,12,4,14,10,5,1,8,11,3,9,7,2,,
1,3,15,15,4,15,2,15,15,15,5,15,15,15,15,,
15,15,15,15,15,15,15,15,15,15,1,15,15,15,15,,
10,2,9,11,3,5,14,6,1,12,13,15,8,4,7,,
15,15,15,15,1,15,15,15,15,15,7,15,15,15,15,,
15,15,15,15,15,15,15,15,1,15,15,15,15,15,15,,
15,15,8,15,3,15,15,7,5,6,10,2,4,15,1,,
6,11,9,13,3,14,12,10,8,15,5,7,1,2,4,,
11,14,8,9,4,7,2,13,3,14,5,10,6,1,12,,
9,13,8,10,6,12,3,14,2,15,5,1,7,11,4,,
2,14,14,14,15,6,5,14,14,14,4,3,14,1,14,,
8,7,13,11,5,9,3,12,2,15,4,6,14,1,10,,
