rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,numSeats,numCands
38,37,35,41,9,19,14,22,5,32,10,16,3,29,7,15,20,33,28,27,25,39,46,8,36,1,6,18,24,30,13,23,4,40,31,42,11,48,34,43,45,47,26,2,44,21,17,12,1.0,48.0
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
38,34,35,40,14,21,15,13,6,33,11,16,1,30,12,8,17,32,29,31,25,36,48,7,39,2,5,23,26,22,10,24,4,41,28,43,9,45,37,42,46,44,27,3,47,19,20,18,,
36,35,32,42,12,21,17,13,6,34,9,22,1,29,11,8,16,33,30,23,28,37,48,7,39,2,5,20,26,24,14,25,4,40,31,43,10,44,38,41,46,45,27,3,47,19,18,15,,
35,33,30,40,16,20,15,11,6,32,9,22,1,37,13,7,14,38,28,31,27,34,48,8,42,2,4,25,26,21,10,23,5,39,29,41,12,45,36,46,43,44,24,3,47,17,19,18,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
37,32,37,48,17,19,24,12,8,30,18,21,1,31,14,6,13,37,26,29,25,48,48,8,38,2,5,10,23,29,11,15,4,48,33,48,9,48,37,48,48,48,29,3,48,22,20,16,,
39,33,32,40,11,22,15,10,5,24,18,17,1,29,8,7,20,37,34,23,25,35,45,9,38,3,4,21,26,30,14,28,6,43,27,42,12,46,36,41,48,47,31,2,44,16,19,13,,
36,33,35,42,16,21,18,13,7,34,9,24,1,30,11,6,14,32,28,31,29,38,48,8,40,2,5,23,22,27,12,19,4,39,26,45,10,43,37,41,46,44,25,3,47,20,15,17,,
27,24,38,41,13,23,19,12,7,32,11,20,1,28,14,6,15,37,36,31,30,35,48,8,40,2,10,16,26,33,9,29,4,34,25,42,5,44,39,45,47,46,21,3,43,17,22,15,,
36,35,32,41,18,22,16,11,6,30,13,23,1,34,10,8,19,33,26,24,27,38,47,7,40,2,5,21,28,29,9,20,4,37,31,43,12,44,39,42,48,45,25,3,46,17,14,15,,
36,34,30,40,8,20,18,15,5,35,11,22,1,33,7,9,19,32,28,27,23,37,48,6,39,2,10,21,25,26,16,24,3,41,31,42,12,45,38,43,44,46,29,4,47,17,13,14,,
38,33,30,43,14,21,17,11,5,32,12,26,1,28,10,7,16,31,29,25,24,39,48,8,40,2,6,23,18,22,13,27,3,37,35,44,9,47,36,42,41,45,34,4,46,19,20,15,,
35,31,34,41,15,23,22,12,8,30,13,20,1,32,10,5,19,36,27,18,28,37,48,7,40,2,6,21,24,25,11,29,4,39,26,43,14,47,38,42,45,44,33,3,46,17,16,9,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
