rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,numSeats,numCands
4,2,1,6,10,5,9,3,7,8,1.0,10.0
2,4,7,6,8,9,3,1,5,10,,
2,4,8,7,6,5,1,3,8,10,,
1,3,9,9,9,9,10,2,9,9,,
1,4,8,7,6,5,2,3,10,10,,
1,10,8,4,9,7,2,6,3,10,,
2,4,9,7,6,5,1,3,8,10,,
10,10,10,10,10,10,10,10,1,10,,
10,10,10,10,10,10,10,10,1,10,,
5,6,8,3,4,2,10,7,1,10,,
1,6,10,3,5,10,2,4,10,10,,
8,3,5,2,6,4,10,9,1,7,,
1,8,5,3,9,6,2,4,8,10,,
8,6,3,2,4,7,10,9,1,5,,
9,5,8,2,4,6,10,7,1,3,,
1,2,8,5,10,6,7,3,4,10,,
5,4,9,2,8,3,8,6,1,10,,
2,7,9,4,8,5,1,3,6,10,,
3,10,3,10,10,10,1,2,10,10,,
1,3,5,7,8,6,2,4,9,10,,
1,4,9,6,8,5,2,3,7,10,,
6,5,8,1,7,4,2,3,9,10,,
2,4,9,6,8,7,1,3,5,10,,
3,3,3,1,3,3,3,3,2,3,,
2,3,6,5,9,7,8,1,4,10,,
6,4,3,1,9,2,10,5,7,8,,
1,5,6,7,8,4,2,3,10,9,,
2,5,7,8,6,4,1,3,10,9,,
8,9,8,1,4,3,5,2,6,10,,
3,5,9,8,6,4,2,1,7,10,,
2,6,5,3,7,4,9,8,1,10,,
10,10,10,10,10,3,1,2,10,10,,
