rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,numSeats,numCands
18,5,Skipped,Skipped,19,Skipped,20,4,Skipped,21,Skipped,Skipped,Skipped,17,16,8,Skipped,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,11,Skipped,12,13,2,9,7,Skipped,23,15,22,1,Skipped,10,3,6,Skipped,1.0,41.0
8,5,40,40,1,35,7,29,40,41,12,41,16,5,35,4,40,41,41,40,5,41,35,6,20,35,41,12,20,1,15,30,10,40,40,30,40,11,22,40,41,,
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,6,41,41,41,41,41,4,41,2,1,11,3,41,5,41,7,41,41,41,41,41,,
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,4,3,1,41,41,41,41,41,2,41,41,41,41,41,,
4,2,41,41,7,41,3,1,41,6,5,41,41,41,41,41,41,41,41,41,41,41,41,8,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,,
2,1,41,41,41,2,41,41,41,41,41,41,41,2,41,41,41,41,41,41,2,41,1,41,41,41,41,41,2,41,41,41,41,41,2,1,41,6,41,41,41,,
41,28,41,19,41,41,41,41,41,27,21,41,41,41,25,41,41,10,41,41,41,10,29,41,41,41,41,9,23,11,30,6,5,41,41,1,41,41,2,41,41,,
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,4,41,2,1,41,41,41,41,3,41,41,41,41,41,,
41,1,41,41,41,41,1,41,41,41,41,41,41,41,41,1,41,41,41,41,1,41,41,41,41,41,41,41,40,41,1,41,41,41,41,41,41,41,41,1,41,,
41,1,1,30,1,1,17,1,1,1,1,1,1,1,1,1,35,38,1,1,1,1,41,1,39,1,1,1,1,2,1,1,1,36,1,1,1,1,1,1,1,,
41,35,41,41,34,22,41,39,4,33,30,31,34,10,15,41,41,41,3,41,41,33,39,41,41,33,33,38,6,10,41,8,41,41,10,5,40,31,31,41,21,,
41,1,41,35,41,35,30,41,41,38,35,41,41,41,38,35,35,35,20,41,41,41,30,41,41,41,39,41,41,35,39,20,38,35,41,10,41,35,38,41,41,,
41,41,41,41,4,2,41,41,41,41,41,41,41,1,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,3,41,41,41,41,41,41,41,41,,
29,35,1,29,8,15,14,41,6,26,13,31,38,19,28,33,25,17,11,10,7,8,13,17,6,26,14,26,15,39,40,30,18,3,29,30,15,18,17,36,17,,
41,41,41,41,41,41,41,1,41,41,41,41,2,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,,
35,2,39,2,32,27,30,29,40,36,38,35,40,37,24,30,Skipped,28,34,39,41,39,30,40,32,34,35,40,24,32,39,36,Skipped,Skipped,10,30,1,35,Skipped,25,Skipped,,
41,41,40,39,41,41,41,41,3,41,41,41,41,4,41,41,37,41,41,41,2,41,41,41,41,41,41,41,1,41,41,41,41,37,41,5,6,41,41,41,41,,
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,,
41,3,41,41,41,2,41,41,41,4,41,41,41,2,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,5,5,41,5,41,41,1,41,41,41,41,41,,
41,3,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2,41,41,41,41,41,41,41,9,41,41,41,41,10,4,1,41,41,41,41,,
8,34,6,39,10,29,3,4,41,14,41,40,28,13,32,27,38,41,39,36,2,15,7,19,41,5,16,11,1,41,18,38,41,37,33,12,35,25,17,31,25,,
39,12,40,40,39,36,40,22,40,40,40,38,40,21,35,40,40,40,38,40,30,40,37,40,40,40,40,40,31,35,40,37,15,40,40,10,31,40,35,40,40,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,3,Skipped,Skipped,,
41,41,41,41,41,41,41,41,41,41,41,41,41,41,4,6,41,41,41,41,41,41,41,41,41,41,41,7,3,41,1,41,41,41,41,2,41,40,5,41,41,,
41,3,41,41,41,5,41,41,41,41,41,41,41,2,41,41,41,41,41,41,41,5,41,5,9,41,3,41,41,41,41,41,41,41,4,1,41,41,8,41,12,,
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,,
41,38,41,41,41,41,41,22,41,41,41,41,41,30,41,41,41,41,41,41,27,41,41,41,41,19,17,20,15,16,25,20,41,41,24,10,39,41,40,41,41,,
