rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,numSeats,numCands
16,2,16,3,16,1,16,16,16,16,4,16,16,16,16,16,Unknown,16.0
12,1,13,5,4,7,6,3,11,15,9,8,2,10,16,14,Unknown,
14,1,7,15,3,13,5,9,10,6,4,12,8,2,11,16,Unknown,
16,16,16,16,16,16,1,16,16,3,2,16,16,16,16,16,Unknown,
4,1,7,14,3,5,9,10,16,8,15,2,6,11,16,16,Unknown,
1,12,13,7,14,16,8,5,11,2,15,6,3,4,10,9,Unknown,
4,13,12,10,15,14,1,5,11,2,16,9,3,7,6,8,Unknown,
13,4,2,11,1,12,3,5,14,9,6,16,7,8,10,15,Unknown,
6,1,5,16,1,16,16,7,16,4,4,16,3,3,16,16,Unknown,
16,16,16,16,4,2,16,5,16,16,16,1,3,16,16,16,Unknown,
6,2,12,10,1,8,5,7,14,9,3,15,4,16,11,13,Unknown,
6,7,12,14,11,16,1,4,15,2,10,8,3,5,13,9,Unknown,
13,16,14,9,10,6,11,12,15,1,7,2,4,3,5,8,Unknown,
12,1,16,10,4,13,3,8,15,7,5,9,2,6,14,11,Unknown,
13,1,10,3,8,11,6,9,15,4,2,7,12,5,16,14,Unknown,
16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,Unknown,
3,15,14,6,16,5,9,12,4,1,10,13,8,2,7,11,Unknown,
16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,Unknown,
14,1,7,4,2,5,10,9,16,8,3,15,11,13,6,12,Unknown,
10,3,8,4,7,15,9,12,13,11,1,6,2,5,16,14,Unknown,
16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,Unknown,
3,1,8,10,16,5,9,12,13,7,15,1,11,6,4,14,Unknown,
16,1,16,16,2,16,16,16,16,16,16,16,16,3,16,16,Unknown,
16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,Unknown,
16,1,16,16,16,4,5,3,16,16,2,16,16,16,6,16,Unknown,
16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Unknown,
4,7,1,8,1,10,6,2,13,12,9,14,5,3,11,16,Unknown,
16,1,16,16,16,16,2,16,16,16,3,16,16,16,16,16,Unknown,
16,1,16,16,2,16,3,16,16,16,16,16,16,4,16,16,Unknown,
16,1,16,16,2,4,5,16,16,16,3,16,16,16,16,16,Unknown,
5,15,14,13,16,7,4,3,10,1,8,2,12,11,9,6,Unknown,
16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,Unknown,
16,2,16,1,16,16,1,16,16,16,16,1,16,16,16,16,Unknown,
14,2,16,4,5,8,11,12,1,10,7,15,6,13,9,3,Unknown,
16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,Unknown,
8,1,15,12,3,9,2,6,14,11,16,4,5,7,10,13,Unknown,
5,1,11,13,7,2,4,12,16,10,3,6,9,8,15,14,Unknown,
16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,Unknown,
