rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,numSeats,numCands
74,84,74,74,74,74,74,80,1,74,74,74,11,74,74,74,74,74,74,74,8,6,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,4,77,74,74,7,12,82,74,74,83,74,74,74,74,74,5,74,10,74,75,76,87,85,74,78,3,74,79,74,74,74,74,86,74,74,74,74,74,74,74,74,74,74,9,74,81,2,74,74,74,1.0,87.0
Skipped,41,22,Skipped,25,Skipped,28,15,19,Skipped,21,Skipped,30,Skipped,Skipped,Skipped,Skipped,Skipped,1,24,11,35,Skipped,33,16,Skipped,Skipped,23,Skipped,Skipped,45,29,Skipped,Skipped,27,Skipped,Skipped,4,42,37,Skipped,31,Skipped,44,2,Skipped,37,Skipped,Skipped,Skipped,Skipped,Skipped,20,17,Skipped,Skipped,1,13,3,Skipped,46,12,32,Skipped,Skipped,36,26,40,10,1,Skipped,Skipped,34,14,38,18,Skipped,Skipped,Skipped,Skipped,43,Skipped,Skipped,9,Skipped,Skipped,39,,
45,Skipped,46,62,31,67,81,24,1,44,63,42,47,41,Skipped,Skipped,66,82,22,64,19,7,28,Skipped,9,Skipped,40,84,49,Skipped,12,23,35,83,36,60,29,3,27,83,25,6,10,13,11,30,55,59,56,61,43,Skipped,8,48,15,Skipped,68,17,16,Skipped,32,53,1,57,33,Skipped,21,34,50,14,52,37,Skipped,20,38,18,58,39,65,69,4,54,Skipped,3,Skipped,51,26,,
87,87,87,87,12,87,87,87,3,87,87,4,87,87,87,87,87,87,87,87,87,11,87,87,87,87,87,87,87,87,6,87,87,10,87,87,87,87,87,87,87,2,87,87,7,87,87,87,87,3,87,87,1,87,87,87,87,87,87,87,87,87,5,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,9,87,87,87,87,87,87,87,8,,
77,41,52,66,29,79,73,24,1,45,34,3,50,76,37,13,62,40,31,80,21,15,57,68,5,48,28,53,72,47,19,33,43,61,58,64,44,16,10,84,65,14,23,22,49,30,35,75,85,69,56,42,4,36,8,74,39,17,18,86,32,67,2,54,63,82,20,26,38,11,55,60,87,6,51,46,25,27,59,70,7,83,78,9,81,12,71,,
78,78,78,78,78,78,78,78,4,78,78,78,78,78,78,78,87,87,78,78,87,78,78,87,78,78,78,78,78,78,6,78,78,87,78,78,78,5,78,87,78,7,78,78,78,78,78,87,78,78,78,78,78,78,78,78,78,1,78,78,78,78,3,8,78,78,78,78,78,78,87,78,78,78,78,78,78,78,79,78,78,9,78,2,78,78,78,,
68,68,68,68,68,68,68,67,7,68,68,68,20,79,68,68,68,84,68,82,68,68,68,68,65,75,73,68,80,68,68,68,70,68,68,68,68,68,68,68,68,4,68,23,68,68,87,68,68,68,86,74,3,68,68,68,68,72,77,81,68,78,68,68,83,68,68,68,71,76,68,68,85,66,68,68,68,68,68,86,68,68,69,2,68,68,68,,
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,2,87,87,87,87,87,87,7,87,87,87,87,87,87,87,87,87,87,1,87,87,5,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,4,87,87,87,3,87,87,87,87,87,87,87,87,87,87,87,87,,
87,87,87,87,87,87,87,87,4,87,87,87,87,87,87,87,87,87,87,87,1,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,5,87,87,87,87,87,87,87,87,87,87,87,87,87,87,6,87,87,87,87,87,87,87,87,87,3,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,2,87,87,87,,
