rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,numSeats,numCands
14,3,8,5,23,10,2,19,16,4,11,24,22,17,7,6,9,1,20,13,12,21,18,15,1.0,24.0
24,24,24,1,24,24,24,24,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
24,24,24,24,1,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3,,
24,5,8,3,24,4,6,24,7,12,24,10,24,15,2,1,14,24,10,24,13,9,24,24,,
4,4,8,6,4,3,3,6,4,5,9,1,8,8,1,9,4,1,1,2,7,5,8,9,,
1,20,11,20,6,24,18,15,20,13,12,3,8,20,23,7,20,10,16,14,5,2,9,4,,
20,10,8,5,12,3,2,16,9,17,19,21,22,4,7,23,18,6,1,15,13,14,11,24,,
18,8,1,2,15,11,3,9,20,13,23,4,16,19,12,6,5,7,10,22,24,21,17,14,,
24,4,8,5,24,7,1,24,6,24,7,24,24,2,20,3,24,21,8,24,21,8,22,23,,
24,8,2,6,18,10,1,21,24,2,20,22,12,11,7,24,24,9,14,14,15,24,3,23,,
13,6,20,2,11,8,4,14,1,9,16,10,18,3,23,5,7,22,21,24,19,17,12,15,,
9,24,4,8,24,11,1,24,8,24,24,10,24,8,24,24,24,2,4,24,2,9,4,24,,
8,14,10,23,24,4,11,18,12,15,13,19,22,5,3,16,17,2,9,1,6,20,21,7,,
6,5,3,1,3,4,1,7,5,3,7,2,4,5,3,7,7,4,1,6,6,4,4,6,,
24,24,24,2,24,8,1,24,3,6,24,24,24,7,24,24,24,4,24,24,5,24,24,24,,
24,24,24,24,24,24,24,24,8,4,24,1,24,7,9,10,3,5,24,24,6,2,24,24,,
24,8,24,8,24,5,5,24,8,24,24,24,24,8,24,24,24,5,3,24,24,3,24,1,,
1,2,1,2,3,3,1,2,3,2,2,2,3,3,2,2,3,1,1,2,1,1,2,2,,
2,6,20,17,24,4,15,23,21,16,19,5,19,19,7,14,18,19,19,1,19,19,22,3,,
18,19,22,3,7,24,13,16,14,15,23,8,1,17,6,20,11,2,21,5,12,4,10,9,,
17,11,2,14,10,9,4,22,19,6,5,8,6,20,7,21,23,18,1,12,24,8,3,13,,
19,19,22,19,19,20,19,24,19,19,19,19,5,23,19,19,19,19,7,19,21,19,19,19,,
12,3,5,1,16,4,8,17,7,20,24,10,18,2,14,15,19,9,13,11,22,22,6,23,,
24,24,24,3,24,24,2,24,4,24,24,24,24,1,24,24,24,24,24,24,24,24,24,24,,
12,4,9,2,21,24,1,8,17,19,16,16,21,24,6,7,19,8,3,6,9,20,18,18,,
24,3,24,1,24,24,1,3,2,24,24,24,24,3,1,24,2,24,24,24,24,24,24,24,,
24,6,24,2,24,8,1,24,6,24,24,24,24,2,7,24,24,4,1,24,24,15,24,20,,
20,7,4,22,4,24,23,14,22,24,24,9,12,7,20,24,5,3,11,24,3,4,13,1,,
21,4,17,2,23,11,3,22,13,15,24,9,7,18,1,5,14,12,16,6,19,8,20,10,,
12,9,4,11,15,18,3,24,19,13,17,10,21,23,6,7,16,8,2,14,1,20,5,22,,
21,3,7,1,16,17,4,22,8,12,14,6,20,10,2,5,24,19,9,15,13,18,11,23,,
24,7,3,5,19,6,10,21,12,18,20,16,23,11,14,2,22,4,1,15,9,8,13,17,,
24,6,12,2,22,3,1,17,9,10,13,15,7,8,4,18,14,4,11,5,9,16,19,19,,
12,12,10,12,20,24,24,24,12,12,18,12,20,24,5,12,18,20,11,5,20,12,12,12,,
4,24,2,24,4,24,3,5,24,24,24,5,5,3,24,24,24,1,1,4,1,1,2,4,,
24,24,24,24,24,24,24,24,24,24,24,24,24,10,1,24,24,24,10,1,24,24,24,24,,
24,3,1,2,24,24,2,24,1,1,24,1,24,1,3,24,1,24,24,1,24,24,24,1,,
2,6,6,4,10,4,23,11,23,10,6,5,13,23,4,10,5,4,10,6,7,11,12,23,,
22,15,8,17,18,5,7,11,16,12,21,1,14,9,6,10,24,13,4,19,23,2,3,20,,
5,4,3,1,6,1,3,4,2,4,7,2,4,4,1,8,5,1,7,3,3,7,6,5,,
14,6,1,7,15,23,5,18,4,2,12,19,20,21,13,3,8,17,24,22,16,10,9,11,,
14,1,17,6,21,11,4,13,7,9,5,18,19,8,3,2,10,23,15,24,20,16,12,22,,
