rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,numSeats,numCands
26,16,10,39,22,13,4,24,15,28,6,1,39,21,29,30,32,9,23,3,5,39,27,7,20,11,12,28,19,14,39,39,18,8,33,31,34,2,25,Unknown,39.0
39,39,39,39,39,11,13,16,39,39,1,9,39,39,39,39,7,5,39,39,4,39,39,3,12,39,10,39,39,2,39,39,8,39,39,14,15,6,39,Unknown,
39,39,39,10,39,5,39,39,18,39,39,39,39,15,39,39,39,39,39,39,1,39,39,4,39,39,39,39,39,6,39,4,2,39,39,39,39,3,19,Unknown,
39,11,39,4,39,6,39,39,39,12,39,39,39,39,39,9,15,39,39,39,39,39,39,13,10,3,14,39,7,5,39,39,1,2,39,39,39,8,16,Unknown,
4,37,8,5,3,37,2,37,37,7,1,37,37,11,6,10,37,37,37,37,37,37,37,37,37,37,37,37,38,37,37,9,37,37,37,37,37,37,39,Unknown,
39,39,5,12,39,39,1,39,39,39,39,39,13,9,39,39,39,39,39,6,39,3,39,2,4,10,39,39,7,39,11,39,8,39,39,39,39,39,39,Unknown,
6,7,4,3,38,13,8,34,37,28,33,30,1,14,17,21,29,22,31,26,39,16,32,18,15,5,25,23,36,20,9,12,19,11,2,24,35,27,10,Unknown,
35,14,37,31,39,32,4,23,8,21,33,28,24,24,26,16,12,2,10,6,9,19,36,28,20,33,15,33,27,8,17,13,11,8,22,3,3,24,38,Unknown,
7,12,14,39,3,6,39,39,1,39,39,4,11,39,39,8,16,39,39,13,10,39,39,2,39,39,39,39,39,9,39,39,39,5,39,39,15,39,39,Unknown,
39,39,39,39,39,39,39,5,39,1,39,39,39,39,39,39,39,39,39,39,39,3,4,39,39,39,39,1,39,39,39,39,39,39,39,39,39,39,39,Unknown,
39,39,39,39,39,4,1,39,39,39,39,39,39,2,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,39,39,39,39,5,39,39,39,39,39,Unknown,
38,8,38,6,7,9,38,38,5,38,38,13,38,38,38,38,38,38,38,38,1,38,38,11,10,38,12,38,38,38,38,38,4,3,38,38,8,2,38,Unknown,
4,39,4,39,39,39,39,39,39,2,39,39,39,39,3,39,39,39,39,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,1,4,39,39,Unknown,
39,39,39,5,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,2,39,39,39,39,39,39,39,39,39,39,39,3,1,Unknown,
36,10,36,36,36,36,5,36,36,6,3,36,36,36,36,36,39,2,1,6,9,36,37,36,36,36,6,36,36,36,36,4,39,36,36,36,36,36,36,Unknown,
39,39,39,39,39,39,3,39,39,39,39,39,10,39,39,39,39,39,39,2,39,15,39,39,39,1,39,39,4,39,39,39,6,39,5,39,39,39,39,Unknown,
38,8,18,16,32,18,1,32,34,35,17,4,32,18,5,11,32,32,32,7,9,32,37,15,18,6,18,33,12,10,32,32,3,2,39,14,32,13,36,Unknown,
1,5,39,39,2,39,39,39,3,39,12,39,39,39,39,39,39,39,39,39,39,6,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,Unknown,
39,26,1,6,36,10,7,19,14,39,39,26,4,8,15,18,11,35,29,5,39,17,39,13,39,3,20,30,39,2,16,10,9,11,12,39,39,39,39,Unknown,
2,39,39,39,3,39,39,39,39,39,39,39,7,39,2,5,39,8,39,6,39,39,39,39,39,39,39,39,39,39,39,9,39,11,10,39,1,10,4,Unknown,
1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,4,6,39,39,39,39,39,2,39,39,39,39,39,3,39,39,1,39,39,39,5,Unknown,
25,36,22,36,4,3,4,36,36,20,3,1,37,36,4,2,25,21,24,1,36,36,26,3,20,2,36,3,3,3,36,38,2,2,39,2,1,2,23,Unknown,
8,39,39,39,9,7,39,39,39,39,39,2,39,39,39,39,39,39,39,39,5,39,39,39,39,39,39,39,4,39,39,39,39,10,39,3,39,6,1,Unknown,
14,39,3,9,11,5,39,39,39,39,39,6,39,39,39,39,39,39,39,39,39,39,39,39,15,8,39,13,39,10,39,2,1,12,7,39,39,4,39,Unknown,
39,39,39,18,39,7,1,39,39,39,39,19,39,13,39,11,2,8,39,9,17,39,24,12,5,4,23,21,15,6,39,3,14,10,39,39,22,16,20,Unknown,
39,39,39,39,1,39,39,39,39,39,39,4,39,39,39,39,39,39,39,6,39,39,39,39,39,3,39,7,10,39,39,39,39,9,39,2,5,39,8,Unknown,
39,39,39,39,39,2,16,39,39,39,14,39,7,39,15,39,8,4,39,6,3,39,39,10,39,39,13,39,39,1,5,39,12,9,39,39,39,11,39,Unknown,
38,38,38,38,38,38,38,38,1,38,38,38,38,38,38,1,38,38,38,38,38,1,38,38,1,38,38,38,38,38,38,1,38,38,38,38,38,1,1,Unknown,
38,19,17,25,33,6,31,19,26,29,34,1,36,13,30,23,19,37,39,24,4,32,16,11,10,9,7,21,12,3,24,14,8,5,15,28,24,2,35,Unknown,
6,39,39,39,7,1,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,39,39,4,39,2,5,39,39,39,39,39,39,39,39,39,Unknown,
1,39,39,39,39,39,39,39,6,39,39,39,39,39,39,39,39,39,39,39,39,2,39,39,39,39,39,39,39,5,8,4,7,39,39,39,39,3,39,Unknown,
39,6,1,10,39,14,15,39,7,11,39,39,39,13,39,9,39,39,39,2,39,39,39,12,5,39,39,39,39,39,39,39,4,20,8,39,39,39,3,Unknown,
