rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,numSeats,numCands
19,12,57,59,29,15,6,40,20,22,71,19,33,72,74,51,22,41,21,46,7,43,27,59,24,8,44,28,17,11,37,28,33,20,9,5,27,1,10,3,44,22,22,38,64,23,72,61,64,40,31,18,58,19,44,50,27,24,34,35,14,34,30,71,74,13,16,2,4,70,28,40,35,36,1.0,74.0
Skipped,Skipped,25,Skipped,Skipped,19,Skipped,28,12,Skipped,Skipped,Skipped,27,24,Skipped,Skipped,11,Skipped,Skipped,Skipped,Skipped,15,2,Skipped,Skipped,Skipped,8,Skipped,Skipped,9,Skipped,Skipped,22,Skipped,3,Skipped,Skipped,1,Skipped,6,16,Skipped,Skipped,26,Skipped,Skipped,Skipped,23,Skipped,21,7,Skipped,Skipped,13,Skipped,Skipped,Skipped,5,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,18,14,Skipped,Skipped,Skipped,4,20,,
Skipped,1,2,Skipped,2,Skipped,2,1,1,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,1,Skipped,1,1,Skipped,1,1,2,Skipped,Skipped,2,Skipped,1,2,Skipped,Skipped,1,Skipped,1,Skipped,Skipped,1,1,1,2,Skipped,1,1,Skipped,Skipped,Skipped,Skipped,Skipped,1,2,4,Skipped,1,2,Skipped,Skipped,74,Skipped,3,1,1,Skipped,Skipped,74,Skipped,2,2,1,4,4,2,2,2,,
15,74,17,74,74,74,74,74,8,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,9,3,74,74,74,74,74,7,74,74,74,74,1,74,2,74,74,13,74,16,74,74,74,74,74,74,74,74,74,74,74,74,6,10,74,74,11,17,74,74,74,5,74,4,74,74,74,5,74,,
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,1,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,,
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,1,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,,
74,74,74,74,74,74,74,74,4,74,74,74,74,74,74,74,5,74,74,74,74,11,3,74,74,5,6,74,74,11,74,74,74,74,74,74,74,1,74,2,10,74,74,74,15,74,74,6,74,74,74,74,74,11,74,74,74,74,10,74,74,10,74,74,74,74,3,74,3,74,74,74,5,74,,
46,74,74,74,74,74,74,74,25,74,74,74,74,74,74,74,74,74,74,74,74,74,28,74,74,74,74,74,74,74,74,74,74,24,74,74,32,3,25,19,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,37,74,74,4,23,74,74,74,22,10,14,74,74,74,74,13,,
62,37,60,22,47,47,31,59,36,20,74,42,47,74,74,26,16,60,43,6,38,15,10,61,34,47,13,33,42,21,60,45,9,32,19,39,30,1,4,8,18,41,14,49,66,74,74,49,74,35,27,29,24,38,65,43,25,3,47,23,48,7,64,74,74,63,17,5,12,2,60,28,47,11,,
74,17,74,74,74,74,74,18,12,74,74,74,72,74,74,74,4,74,74,3,74,73,14,74,74,74,1,74,15,5,74,7,74,74,40,74,74,2,70,8,74,74,11,74,74,74,74,74,23,25,10,74,74,8,74,6,74,74,71,74,26,74,74,74,74,74,74,74,18,74,74,74,9,74,,
74,27,74,74,74,2,74,74,74,15,74,74,8,74,74,74,10,74,74,5,74,19,4,74,18,74,1,74,74,25,74,74,74,74,9,23,74,3,26,74,7,74,11,74,74,74,74,74,74,13,12,17,21,20,74,74,74,74,74,6,74,74,74,74,74,74,74,16,14,74,74,22,24,74,,
