rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,numSeats,numCands
2,1,6,5,4,7,6,5,4,5,2,7,4,14,1.0,14.0
14,14,14,1,14,14,4,3,14,14,14,14,2,14,,
6,1,14,4,5,9,10,3,7,11,2,13,8,12,,
14,4,6,13,2,13,13,13,1,13,6,5,7,3,,
3,1,12,4,13,14,9,8,5,11,10,2,7,6,,
12,4,4,8,5,9,11,1,2,4,6,13,7,3,,
5,2,13,4,6,13,6,7,13,8,1,6,3,14,,
14,14,14,14,14,14,1,14,14,14,14,14,14,14,,
4,6,6,9,2,1,6,3,5,6,13,12,11,14,,
14,14,14,14,14,14,1,14,14,14,14,14,14,14,,
14,14,14,2,14,14,14,14,14,14,14,14,1,14,,
10,1,4,6,11,8,3,7,12,13,2,14,9,5,,
5,14,10,7,2,8,14,1,3,7,4,14,14,9,,
7,1,13,12,9,11,5,4,6,8,2,14,3,10,,
14,14,14,14,14,14,14,14,14,14,14,14,14,14,,
4,1,13,12,5,11,6,8,3,10,7,9,2,14,,
4,14,14,14,1,14,14,14,14,2,14,3,8,14,,
4,2,14,7,9,10,14,3,8,1,5,6,11,14,,
14,14,14,14,14,14,14,14,1,14,14,14,14,14,,
14,14,14,14,14,14,1,14,14,14,14,14,14,14,,
1,14,14,14,14,14,14,14,14,14,14,14,14,14,,
1,2,14,3,4,5,3,8,13,2,5,7,5,14,,
14,14,14,14,14,14,1,3,7,14,14,14,14,14,,
14,14,14,14,1,14,14,14,14,14,14,14,14,14,,
1,14,14,14,14,14,14,14,14,14,14,14,14,14,,
14,14,14,14,14,14,14,14,14,14,14,1,14,14,,
3,1,13,2,6,14,7,5,12,5,9,10,4,8,,
5,1,13,9,8,11,3,7,2,12,6,10,4,14,,
14,2,14,14,14,14,14,14,3,14,14,14,1,14,,
2,1,14,4,13,12,11,5,9,7,10,3,6,8,,
3,1,14,14,14,14,14,2,14,14,14,14,14,14,,
14,14,14,14,14,14,1,14,14,14,14,14,14,14,,
14,14,14,14,14,14,14,14,1,14,14,14,14,14,,
1,14,14,14,14,14,14,14,14,14,14,14,14,14,,
2,1,14,11,4,9,10,3,7,12,6,5,8,13,,
2,1,14,2,14,14,14,3,14,4,14,14,14,14,,
14,14,14,14,14,14,1,14,14,14,14,14,14,14,,
1,7,8,14,10,6,2,7,10,14,3,14,7,14,,
