rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,numSeats,numCands
19,19,19,19,19,19,19,19,19,19,19,3,19,19,19,2,1,19,19,1.0,19.0
19,19,19,19,19,19,19,19,19,1,19,19,19,19,2,19,19,3,19,,
19,19,2,19,19,19,19,19,19,19,19,19,3,19,19,19,19,1,19,,
19,19,19,19,2,19,19,19,19,3,19,1,19,19,19,19,19,19,19,,
3,19,19,2,6,19,19,19,19,4,19,19,1,19,5,19,19,7,8,,
2,19,19,19,19,19,19,3,19,19,19,19,19,19,19,19,19,1,19,,
3,19,2,19,19,19,19,19,19,19,19,19,1,19,19,19,19,19,19,,
14,19,14,2,14,14,19,19,1,3,14,14,14,14,19,15,14,14,14,,
2,19,19,19,19,19,19,19,19,19,19,3,19,3,19,1,19,19,19,,
1,19,19,19,3,19,19,19,19,19,19,19,19,19,2,19,19,19,19,,
19,2,19,19,3,19,19,19,19,19,19,19,19,19,19,19,19,1,19,,
19,19,19,19,2,19,3,4,19,19,19,19,19,19,19,19,19,19,1,,
19,19,19,19,19,2,19,19,19,19,19,1,3,19,19,19,19,19,19,,
19,19,1,19,19,19,19,19,19,19,19,19,3,19,2,19,19,19,19,,
18,18,18,18,18,1,18,18,18,18,18,3,18,2,18,18,18,18,18,,
18,18,18,18,18,18,1,18,18,18,18,18,18,2,3,18,18,4,18,,
19,19,19,19,19,19,19,19,19,19,3,19,2,1,19,19,19,19,19,,
2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,
19,3,19,19,19,1,19,19,19,19,19,19,19,2,19,19,19,19,19,,
1,19,19,19,19,19,19,19,19,19,19,19,19,19,2,19,19,19,19,,
19,19,3,19,19,19,19,19,19,2,19,19,19,19,19,19,19,1,19,,
19,19,19,19,19,19,19,19,19,19,19,19,2,1,19,19,19,3,19,,
15,19,19,19,19,1,19,19,19,19,19,19,19,3,19,19,19,2,19,,
19,19,19,3,19,19,19,19,19,19,19,19,1,19,19,19,19,2,19,,
19,19,19,19,19,19,19,19,19,19,19,19,19,1,2,19,19,19,19,,
8,9,4,19,19,19,19,19,1,7,19,19,19,3,2,6,19,5,19,,
19,19,19,19,19,19,18,3,2,19,19,1,17,19,19,18,19,19,19,,
19,19,19,19,3,19,19,19,19,2,19,19,19,1,19,19,19,19,19,,
19,19,19,19,1,19,19,3,19,19,19,19,19,19,2,19,19,19,19,,
19,19,19,19,19,19,19,19,19,19,19,3,19,19,2,1,19,19,19,,
19,19,19,19,19,19,19,19,19,19,19,2,19,1,3,19,19,19,19,,
19,19,19,19,19,19,19,19,19,19,19,2,19,1,3,19,19,19,19,,
19,19,19,19,19,19,19,19,19,2,19,19,19,19,1,19,19,3,19,,
17,17,5,19,19,19,19,19,19,6,19,4,1,9,17,9,19,19,2,,
19,19,19,19,2,19,19,19,19,19,19,19,19,1,3,19,19,19,19,,
